date,enterprise_value
"March 19, 2020",4.368B
"March 18, 2020",4.030B
"March 17, 2020",5.062B
"March 16, 2020",4.919B
"March 13, 2020",5.586B
"March 12, 2020",4.977B
"March 11, 2020",6.554B
"March 10, 2020",7.539B
"March 9, 2020",6.861B
"March 6, 2020",7.734B
"March 5, 2020",8.163B
"March 4, 2020",8.190B
"March 3, 2020",8.020B
"March 2, 2020",8.147B
"Feb. 28, 2020",8.385B
"Feb. 27, 2020",8.825B
"Feb. 26, 2020",9.031B
"Feb. 25, 2020",9.481B
"Feb. 24, 2020",9.312B
"Feb. 21, 2020",9.666B
"Feb. 20, 2020",9.629B
"Feb. 19, 2020",9.449B
"Feb. 18, 2020",8.698B
"Feb. 14, 2020",8.756B
"Feb. 13, 2020",9.052B
"Feb. 12, 2020",9.111B
"Feb. 11, 2020",9.656B
"Feb. 10, 2020",9.724B
"Feb. 7, 2020",9.365B
"Feb. 6, 2020",9.095B
"Feb. 5, 2020",9.121B
"Feb. 4, 2020",9.047B
"Feb. 3, 2020",9.322B
"Jan. 31, 2020",8.232B
"Jan. 30, 2020",8.073B
"Jan. 29, 2020",8.147B
"Jan. 28, 2020",8.094B
"Jan. 27, 2020",7.612B
"Jan. 24, 2020",7.734B
"Jan. 23, 2020",7.448B
"Jan. 22, 2020",6.819B
"Jan. 21, 2020",7.184B
"Jan. 17, 2020",7.104B
"Jan. 16, 2020",6.866B
"Jan. 15, 2020",6.930B
"Jan. 14, 2020",6.491B
"Jan. 13, 2020",6.041B
"Jan. 10, 2020",5.580B
"Jan. 9, 2020",5.612B
"Jan. 8, 2020",5.797B
"Jan. 7, 2020",5.781B
"Jan. 6, 2020",5.675B
"Jan. 3, 2020",5.776B
"Jan. 2, 2020",5.924B
"Dec. 31, 2019",5.935B
"Dec. 30, 2019",4.498B
"Dec. 27, 2019",4.307B
"Dec. 26, 2019",4.529B
"Dec. 24, 2019",4.577B
"Dec. 23, 2019",4.572B
"Dec. 20, 2019",4.598B
"Dec. 19, 2019",4.561B
