date,cash_operations_ttm
"Dec. 31, 2019",4.816B
"Sept. 30, 2019",4.583B
"June 30, 2019",4.756B
"March 31, 2019",5.484B
"Dec. 31, 2018",4.752B
"Sept. 30, 2018",5.476B
"June 30, 2018",5.974B
"March 31, 2018",5.915B
"Dec. 31, 2017",5.977B
"Sept. 30, 2017",5.863B
"June 30, 2017",5.35B
"March 31, 2017",4.895B
"Dec. 31, 2016",4.409B
"Sept. 30, 2016",4.121B
"June 30, 2016",3.736B
"March 31, 2016",3.788B
"Dec. 31, 2015",3.78B
"Sept. 30, 2015",3.675B
"June 30, 2015",4.269B
"March 31, 2015",3.999B
"Dec. 31, 2014",3.69B
"Sept. 30, 2014",3.551B
"June 30, 2014",3.248B
"March 31, 2014",3.329B
"Dec. 31, 2013",3.427B
"Sept. 30, 2013",4.263B
"June 30, 2013",4.167B
"March 31, 2013",4.82B
"Dec. 31, 2012",4.882B
"Sept. 30, 2012",3.959B
"June 30, 2012",4.008B
"March 31, 2012",3.582B
"Dec. 31, 2011",3.739B
"Sept. 30, 2011",4.118B
"June 30, 2011",3.738B
"March 31, 2011",3.899B
"Dec. 31, 2010",3.206B
"Sept. 30, 2010",2.552B
"June 30, 2010",2.658B
"March 31, 2010",2.544B
"Dec. 31, 2009",3.039B
"Sept. 30, 2009",3.388B
"June 30, 2009",2.269B
"March 31, 2009",2.615B
"Dec. 31, 2008",2.763B
"Sept. 30, 2008",2.65B
"June 30, 2008",3.558B
"March 31, 2008",2.608B
"Dec. 31, 2007",2.546B
"Sept. 30, 2007",2.552B
"June 30, 2007",2.41B
"March 31, 2007",2.596B
"Dec. 31, 2006",2.714B
"Sept. 30, 2006",2.532B
"June 30, 2006",2.366B
"March 31, 2006",2.551B
"Dec. 31, 2005",2.409B
"Sept. 30, 2005",3.127B
"June 30, 2005",3.315B
"March 31, 2005",2.415B
"Dec. 31, 2004",2.35B
"Sept. 30, 2004",926.00M
"June 30, 2004",1.511B
"March 31, 2004",2.456B
"Dec. 31, 2003",2.502B
"Sept. 30, 2003",2.479B
"June 30, 2003",2.011B
"March 31, 2003",557.00M
"Dec. 31, 2002",814.00M
"Sept. 30, 2002",1.758B
"June 30, 2002",4.996B
"March 31, 2002",4.519B
"Dec. 31, 2001",5.281B
"Sept. 30, 2001",4.269B
"June 30, 2001",-273.00M
"March 31, 2001",1.595B
"Dec. 31, 2000",705.00M
"Sept. 30, 2000",1.342B
"June 30, 2000",2.175B
"March 31, 2000",2.192B
"Dec. 31, 1999",2.155B
"Sept. 30, 1999",1.791B
"June 30, 1999",2.688B
"March 31, 1999",2.456B
"Dec. 31, 1998",2.283B
"Sept. 30, 1998",2.965B
"June 30, 1998",2.725B
"March 31, 1998",2.501B
"Dec. 31, 1997",2.618B
