date,three_year_return
"March 19, 2020",-88.12%
"March 18, 2020",-89.08%
"March 17, 2020",-86.15%
"March 16, 2020",-86.44%
"March 13, 2020",-84.47%
"March 12, 2020",-86.20%
"March 11, 2020",-81.65%
"March 10, 2020",-78.82%
"March 9, 2020",-80.62%
"March 6, 2020",-78.30%
"March 5, 2020",-77.18%
"March 4, 2020",-77.10%
"March 3, 2020",-77.58%
"March 2, 2020",-77.26%
"Feb. 28, 2020",-76.78%
"Feb. 27, 2020",-75.30%
"Feb. 26, 2020",-74.79%
"Feb. 25, 2020",-73.51%
"Feb. 24, 2020",-73.99%
"Feb. 21, 2020",-72.28%
"Feb. 20, 2020",-72.07%
"Feb. 19, 2020",-72.61%
"Feb. 18, 2020",-74.83%
"Feb. 14, 2020",-74.42%
"Feb. 13, 2020",-73.68%
"Feb. 12, 2020",-73.37%
"Feb. 11, 2020",-71.74%
"Feb. 10, 2020",-71.54%
"Feb. 7, 2020",-71.94%
"Feb. 6, 2020",-72.68%
"Feb. 5, 2020",-72.58%
"Feb. 4, 2020",-72.80%
"Feb. 3, 2020",-71.96%
"Jan. 31, 2020",-75.42%
"Jan. 30, 2020",-75.39%
"Jan. 29, 2020",-75.17%
"Jan. 28, 2020",-75.34%
"Jan. 27, 2020",-76.84%
"Jan. 24, 2020",-76.56%
"Jan. 23, 2020",-77.49%
"Jan. 22, 2020",-79.56%
"Jan. 21, 2020",-78.44%
"Jan. 17, 2020",-78.83%
"Jan. 16, 2020",-79.15%
"Jan. 15, 2020",-78.95%
"Jan. 14, 2020",-80.32%
"Jan. 13, 2020",-81.73%
"Jan. 10, 2020",-83.02%
"Jan. 9, 2020",-82.99%
"Jan. 8, 2020",-82.67%
"Jan. 7, 2020",-82.72%
"Jan. 6, 2020",-83.04%
"Jan. 3, 2020",-82.49%
"Jan. 2, 2020",-82.15%
"Dec. 31, 2019",-82.11%
"Dec. 30, 2019",-82.23%
"Dec. 27, 2019",-82.94%
"Dec. 26, 2019",-82.25%
"Dec. 24, 2019",-82.10%
"Dec. 23, 2019",-82.12%
"Dec. 20, 2019",-82.02%
"Dec. 19, 2019",-82.05%
"Dec. 18, 2019",-81.47%
"Dec. 17, 2019",-82.13%
"Dec. 16, 2019",-84.16%
"Dec. 13, 2019",-81.45%
"Dec. 12, 2019",-80.41%
"Dec. 11, 2019",-79.54%
"Dec. 10, 2019",-79.23%
"Dec. 9, 2019",-81.16%
"Dec. 6, 2019",-83.47%
"Dec. 5, 2019",-83.25%
"Dec. 4, 2019",-83.75%
"Dec. 3, 2019",-85.38%
"Dec. 2, 2019",-86.51%
"Nov. 29, 2019",-87.66%
"Nov. 27, 2019",-87.27%
"Nov. 26, 2019",-87.40%
"Nov. 25, 2019",-87.52%
"Nov. 22, 2019",-87.68%
"Nov. 21, 2019",-88.15%
