date,ni_per_employee_annual
"Dec. 31, 2019",-325191.5
"Dec. 31, 2018",-290936.2
"Dec. 31, 2017",70638.30
"Dec. 31, 2016",59872.34
"Dec. 31, 2015",38963.60
"Dec. 31, 2014",66290.26
"Dec. 31, 2013",39656.12
"Dec. 31, 2012",41638.45
"Dec. 31, 2011",44343.38
"Dec. 31, 2010",57298.77
"Dec. 31, 2009",72430.59
"Dec. 31, 2008",77927.32
"Dec. 31, 2007",49740.42
"Dec. 31, 2006",49303.48
"Dec. 31, 2005",45850.00
"Dec. 31, 2004",220784.3
"Dec. 31, 2003",19804.78
"Dec. 31, 2002",-39340.13
"Dec. 31, 2001",50564.77
"Dec. 31, 2000",-155442.1
"Dec. 31, 1999",-3192.44
"Dec. 31, 1998",30726.50
"Dec. 31, 1997",32919.54
"Dec. 31, 1996",36839.02
"Dec. 31, 1995",60859.09
"Dec. 31, 1994",43804.35
"Dec. 31, 1993",42877.26
"Dec. 31, 1992",43842.70
"Dec. 31, 1991",38805.29
"Dec. 31, 1990",37393.94
