date,enterprise_value
"March 19, 2020",23.14B
"March 18, 2020",22.16B
"March 17, 2020",23.79B
"March 16, 2020",24.86B
"March 13, 2020",28.25B
"March 12, 2020",25.82B
"March 11, 2020",30.10B
"March 10, 2020",32.57B
"March 9, 2020",31.73B
"March 6, 2020",33.65B
"March 5, 2020",33.08B
"March 4, 2020",34.08B
"March 3, 2020",34.20B
"March 2, 2020",35.60B
"Feb. 28, 2020",34.94B
"Feb. 27, 2020",34.92B
"Feb. 26, 2020",37.18B
"Feb. 25, 2020",38.29B
"Feb. 24, 2020",39.79B
"Feb. 21, 2020",41.76B
"Feb. 20, 2020",42.28B
"Feb. 19, 2020",41.89B
"Feb. 18, 2020",41.60B
"Feb. 14, 2020",41.65B
"Feb. 13, 2020",42.08B
"Feb. 12, 2020",42.63B
"Feb. 11, 2020",42.30B
"Feb. 10, 2020",42.36B
"Feb. 7, 2020",42.22B
"Feb. 6, 2020",41.91B
"Feb. 5, 2020",42.12B
"Feb. 4, 2020",41.08B
"Feb. 3, 2020",40.67B
"Jan. 31, 2020",42.33B
"Jan. 30, 2020",43.92B
"Jan. 29, 2020",43.21B
"Jan. 28, 2020",43.00B
"Jan. 27, 2020",42.63B
"Jan. 24, 2020",44.36B
"Jan. 23, 2020",44.46B
"Jan. 22, 2020",44.50B
"Jan. 21, 2020",44.76B
"Jan. 17, 2020",45.16B
"Jan. 16, 2020",45.47B
"Jan. 15, 2020",45.58B
"Jan. 14, 2020",46.87B
"Jan. 13, 2020",47.22B
"Jan. 10, 2020",47.48B
"Jan. 9, 2020",46.78B
"Jan. 8, 2020",45.92B
"Jan. 7, 2020",45.78B
"Jan. 6, 2020",45.28B
"Jan. 3, 2020",45.28B
"Jan. 2, 2020",46.76B
"Dec. 31, 2019",46.15B
"Dec. 30, 2019",46.06B
"Dec. 27, 2019",46.19B
"Dec. 26, 2019",46.69B
"Dec. 24, 2019",46.97B
"Dec. 23, 2019",47.03B
"Dec. 20, 2019",47.04B
"Dec. 19, 2019",46.76B
"Dec. 18, 2019",46.73B
"Dec. 17, 2019",47.21B
"Dec. 16, 2019",46.99B
"Dec. 13, 2019",46.44B
"Dec. 12, 2019",46.73B
"Dec. 11, 2019",46.06B
"Dec. 10, 2019",46.75B
"Dec. 9, 2019",45.91B
"Dec. 6, 2019",46.36B
"Dec. 5, 2019",46.10B
"Dec. 4, 2019",46.19B
"Dec. 3, 2019",46.47B
"Dec. 2, 2019",47.17B
"Nov. 29, 2019",47.13B
"Nov. 27, 2019",47.79B
"Nov. 26, 2019",47.93B
"Nov. 25, 2019",47.89B
"Nov. 22, 2019",47.96B
"Nov. 21, 2019",48.33B
"Nov. 20, 2019",47.83B
"Nov. 19, 2019",48.00B
"Nov. 18, 2019",49.42B
"Nov. 15, 2019",49.23B
"Nov. 14, 2019",49.32B
"Nov. 13, 2019",49.08B
