date,cash_investing_ttm
"Dec. 31, 2019",-3.001B
"Sept. 30, 2019",-3.35B
"June 30, 2019",-3.351B
"March 31, 2019",-3.923B
"Dec. 31, 2018",-3.928B
"Sept. 30, 2018",-3.41B
"June 30, 2018",-3.34B
"March 31, 2018",-2.42B
"Dec. 31, 2017",-2.382B
"Sept. 30, 2017",-2.362B
"June 30, 2017",-2.249B
"March 31, 2017",-2.239B
"Dec. 31, 2016",-2.006B
"Sept. 30, 2016",-2.192B
"June 30, 2016",-2.204B
"March 31, 2016",-2.255B
"Dec. 31, 2015",-2.487B
"Sept. 30, 2015",-2.537B
"June 30, 2015",-2.692B
"March 31, 2015",-2.999B
"Dec. 31, 2014",-2.844B
"Sept. 30, 2014",-2.525B
"June 30, 2014",-2.495B
"March 31, 2014",-2.51B
"Dec. 31, 2013",-2.812B
"Sept. 30, 2013",-3.211B
"June 30, 2013",-3.453B
"March 31, 2013",-3.497B
"Dec. 31, 2012",-3.351B
"Sept. 30, 2012",-3.89B
"June 30, 2012",-5.385B
"March 31, 2012",-5.229B
"Dec. 31, 2011",-5.298B
"Sept. 30, 2011",-3.565B
"June 30, 2011",-1.742B
"March 31, 2011",-1.332B
"Dec. 31, 2010",-1.405B
"Sept. 30, 2010",-2.27B
"June 30, 2010",-2.275B
"March 31, 2010",-3.239B
"Dec. 31, 2009",-3.292B
"Sept. 30, 2009",-3.839B
"June 30, 2009",-3.719B
"March 31, 2009",-3.158B
"Dec. 31, 2008",-2.965B
"Sept. 30, 2008",-2.659B
"June 30, 2008",-551.00M
"March 31, 2008",-575.00M
"Dec. 31, 2007",-582.00M
"Sept. 30, 2007",-191.00M
"June 30, 2007",-2.389B
"March 31, 2007",-2.681B
"Dec. 31, 2006",-2.971B
"Sept. 30, 2006",-3.443B
"June 30, 2006",-5.914B
"March 31, 2006",-5.384B
"Dec. 31, 2005",-4.90B
"Sept. 30, 2005",-4.538B
"June 30, 2005",-1.912B
"March 31, 2005",-1.71B
"Dec. 31, 2004",-2.685B
"Sept. 30, 2004",-2.524B
"June 30, 2004",-2.917B
"March 31, 2004",-3.021B
"Dec. 31, 2003",-1.331B
"Sept. 30, 2003",-1.071B
"June 30, 2003",-479.00M
"March 31, 2003",397.40M
"Dec. 31, 2002",248.60M
"Sept. 30, 2002",-2.341B
"June 30, 2002",-2.344B
"March 31, 2002",-3.129B
"Dec. 31, 2001",-3.302B
"Sept. 30, 2001",-662.62M
"June 30, 2001",-602.48M
"March 31, 2001",-1.288B
"Dec. 31, 2000",-1.194B
"Sept. 30, 2000",-1.133B
"June 30, 2000",-1.088B
"March 31, 2000",-145.09M
"Dec. 31, 1999",-172.20M
"Sept. 30, 1999",-206.10M
"June 30, 1999",-559.20M
"March 31, 1999",-570.57M
"Dec. 31, 1998",-566.30M
"Sept. 30, 1998",-522.00M
"June 30, 1998",-165.80M
"March 31, 1998",-510.80M
"Dec. 31, 1997",-486.70M
"Sept. 30, 1997",-517.20M
"June 30, 1997",-532.60M
"March 31, 1997",-174.90M
"Dec. 31, 1996",-162.20M
"Sept. 30, 1996",-146.80M
"June 30, 1996",-135.60M
"March 31, 1996",-133.00M
"Dec. 31, 1995",-163.40M
"Sept. 30, 1995",-181.20M
"June 30, 1995",-170.20M
"March 31, 1995",-273.20M
"Dec. 31, 1994",-229.90M
"Sept. 30, 1994",-237.30M
"June 30, 1994",-209.00M
"March 31, 1994",-97.70M
"Dec. 31, 1993",-134.10M
"Sept. 30, 1993",-129.10M
"June 30, 1993",-213.50M
"March 31, 1993",-316.30M
"Dec. 31, 1992",-328.70M
"Sept. 30, 1992",-380.60M
"June 30, 1992",-376.80M
"March 31, 1992",-282.80M
"Dec. 31, 1991",-287.80M
"Sept. 30, 1991",-286.20M
"June 30, 1991",-285.80M
"March 31, 1991",-274.00M
"Dec. 31, 1990",-212.50M
