date,cash_operations_ttm
"Dec. 31, 2019",5.531B
"Sept. 30, 2019",5.501B
"June 30, 2019",4.568B
"March 31, 2019",5.11B
"Dec. 31, 2018",4.371B
"Sept. 30, 2018",4.353B
"June 30, 2018",4.894B
"March 31, 2018",4.632B
"Dec. 31, 2017",5.482B
"Sept. 30, 2017",4.82B
"June 30, 2017",4.646B
"March 31, 2017",5.168B
"Dec. 31, 2016",4.82B
"Sept. 30, 2016",4.309B
"June 30, 2016",4.808B
"March 31, 2016",4.818B
"Dec. 31, 2015",5.611B
"Sept. 30, 2015",6.121B
"June 30, 2015",6.625B
"March 31, 2015",5.43B
"Dec. 31, 2014",4.241B
"Sept. 30, 2014",5.773B
"June 30, 2014",4.128B
"March 31, 2014",4.259B
"Dec. 31, 2013",5.564B
"Sept. 30, 2013",3.358B
"June 30, 2013",5.25B
"March 31, 2013",5.275B
"Dec. 31, 2012",5.27B
"Sept. 30, 2012",4.657B
"June 30, 2012",3.918B
"March 31, 2012",3.524B
"Dec. 31, 2011",4.038B
"Sept. 30, 2011",4.751B
"June 30, 2011",4.229B
"March 31, 2011",4.121B
"Dec. 31, 2010",3.045B
"Sept. 30, 2010",2.505B
"June 30, 2010",2.186B
"March 31, 2010",2.024B
"Dec. 31, 2009",1.823B
"Sept. 30, 2009",1.558B
"June 30, 2009",2.70B
"March 31, 2009",3.248B
"Dec. 31, 2008",3.095B
"Sept. 30, 2008",4.729B
"June 30, 2008",2.709B
"March 31, 2008",4.00B
"Dec. 31, 2007",5.258B
"Sept. 30, 2007",5.222B
"June 30, 2007",6.84B
"March 31, 2007",6.458B
"Dec. 31, 2006",6.312B
"Sept. 30, 2006",7.012B
"June 30, 2006",7.859B
"March 31, 2006",6.742B
"Dec. 31, 2005",5.799B
"Sept. 30, 2005",4.962B
"June 30, 2005",3.531B
"March 31, 2005",3.426B
"Dec. 31, 2004",2.958B
"Sept. 30, 2004",2.143B
"June 30, 2004",1.867B
"March 31, 2004",1.578B
"Dec. 31, 2003",1.416B
"Sept. 30, 2003",1.357B
"June 30, 2003",989.30M
"March 31, 2003",704.20M
"Dec. 31, 2002",272.30M
"Sept. 30, 2002",273.29M
"June 30, 2002",414.71M
"March 31, 2002",363.88M
"Dec. 31, 2001",905.51M
"Sept. 30, 2001",931.18M
"June 30, 2001",1.021B
"March 31, 2001",866.96M
"Dec. 31, 2000",601.30M
"Sept. 30, 2000",539.84M
"June 30, 2000",380.91M
"March 31, 2000",297.86M
"Dec. 31, 1999",435.10M
"Sept. 30, 1999",162.90M
"June 30, 1999",171.00M
"March 31, 1999",266.92M
"Dec. 31, 1998",165.80M
"Sept. 30, 1998",234.60M
"June 30, 1998",405.70M
"March 31, 1998",233.60M
"Dec. 31, 1997",221.10M
"Sept. 30, 1997",294.60M
"June 30, 1997",40.60M
"March 31, 1997",201.10M
"Dec. 31, 1996",246.50M
"Sept. 30, 1996",219.00M
"June 30, 1996",218.40M
"March 31, 1996",152.60M
"Dec. 31, 1995",166.70M
"Sept. 30, 1995",179.50M
"June 30, 1995",160.50M
"March 31, 1995",131.00M
"Dec. 31, 1994",68.10M
"Sept. 30, 1994",82.90M
"June 30, 1994",103.60M
"March 31, 1994",136.70M
"Dec. 31, 1993",141.30M
"Sept. 30, 1993",153.90M
"June 30, 1993",116.40M
"March 31, 1993",168.90M
"Dec. 31, 1992",152.50M
"Sept. 30, 1992",125.90M
"June 30, 1992",159.10M
"March 31, 1992",99.10M
"Dec. 31, 1991",182.80M
"Sept. 30, 1991",215.30M
"June 30, 1991",249.60M
"March 31, 1991",277.30M
"Dec. 31, 1990",196.40M
