date,shareholders_equity
"Dec. 31, 2019",21.80B
"Sept. 30, 2019",21.11B
"June 30, 2019",21.34B
"March 31, 2019",21.31B
"Dec. 31, 2018",21.67B
"Sept. 30, 2018",21.91B
"June 30, 2018",21.77B
"March 31, 2018",21.88B
"Dec. 31, 2017",21.99B
"Sept. 30, 2017",20.37B
"June 30, 2017",19.92B
"March 31, 2017",19.82B
"Dec. 31, 2016",20.02B
"Sept. 30, 2016",20.34B
"June 30, 2016",20.58B
"March 31, 2016",20.66B
"Dec. 31, 2015",20.53B
"Sept. 30, 2015",21.32B
"June 30, 2015",21.45B
"March 31, 2015",20.77B
"Dec. 31, 2014",20.68B
"Sept. 30, 2014",20.55B
"June 30, 2014",20.21B
"March 31, 2014",19.92B
"Dec. 31, 2013",19.46B
"Sept. 30, 2013",18.27B
"June 30, 2013",17.92B
"March 31, 2013",18.34B
"Dec. 31, 2012",18.03B
"Sept. 30, 2012",17.33B
"June 30, 2012",16.58B
"March 31, 2012",15.96B
"Dec. 31, 2011",16.42B
"Sept. 30, 2011",16.65B
"June 30, 2011",15.98B
"March 31, 2011",15.22B
"Dec. 31, 2010",15.02B
"Sept. 30, 2010",15.40B
"June 30, 2010",15.05B
"March 31, 2010",14.67B
"Dec. 31, 2009",14.72B
"Sept. 30, 2009",15.89B
"June 30, 2009",16.41B
"March 31, 2009",15.80B
"Dec. 31, 2008",15.62B
"Sept. 30, 2008",19.71B
"June 30, 2008",18.68B
"March 31, 2008",18.23B
"Dec. 31, 2007",18.51B
"Sept. 30, 2007",18.97B
"June 30, 2007",18.12B
"March 31, 2007",18.73B
"Dec. 31, 2006",18.60B
"Sept. 30, 2006",17.82B
"June 30, 2006",16.76B
"March 31, 2006",15.40B
"Dec. 31, 2005",15.05B
"Sept. 30, 2005",13.79B
"June 30, 2005",8.899B
"March 31, 2005",7.991B
"Dec. 31, 2004",7.798B
"Sept. 30, 2004",7.222B
"June 30, 2004",6.737B
"March 31, 2004",6.439B
"Dec. 31, 2003",5.735B
"Sept. 30, 2003",5.565B
"June 30, 2003",4.997B
"March 31, 2003",4.80B
"Dec. 31, 2002",4.308B
"Sept. 30, 2002",4.208B
"June 30, 2002",4.246B
"March 31, 2002",4.250B
"Dec. 31, 2001",4.203B
"Sept. 30, 2001",2.041B
"June 30, 2001",1.950B
"March 31, 2001",1.705B
"Dec. 31, 2000",1.527B
"Sept. 30, 2000",1.445B
"June 30, 2000",1.348B
"March 31, 2000",1.109B
"Dec. 31, 1999",1.085B
"Sept. 30, 1999",1.076B
"June 30, 1999",1.056B
"March 31, 1999",1.081B
"Dec. 31, 1998",1.085B
"Sept. 30, 1998",1.172B
"June 30, 1998",1.184B
"March 31, 1998",1.148B
"Dec. 31, 1997",1.159B
"Sept. 30, 1997",1.151B
"June 30, 1997",1.244B
"March 31, 1997",1.099B
"Dec. 31, 1996",1.077B
"Sept. 30, 1996",1.079B
"June 30, 1996",1.072B
"March 31, 1996",1.054B
"Dec. 31, 1995",1.041B
"Sept. 30, 1995",1.051B
"June 30, 1995",1.035B
"March 31, 1995",1.014B
"Dec. 31, 1994",1.025B
"Sept. 30, 1994",1.029B
"June 30, 1994",1.023B
"March 31, 1994",1.026B
"Dec. 31, 1993",856.10M
"Sept. 30, 1993",869.10M
"June 30, 1993",868.60M
"March 31, 1993",848.40M
"Dec. 31, 1992",835.80M
"Sept. 30, 1992",831.90M
"June 30, 1992",807.40M
"March 31, 1992",794.00M
"Dec. 31, 1991",702.60M
"Sept. 30, 1991",705.80M
"June 30, 1991",709.40M
"March 31, 1991",689.30M
"Dec. 31, 1990",675.30M
"Sept. 30, 1990",649.20M
"June 30, 1990",552.80M
"March 31, 1990",536.90M
"Dec. 31, 1989",530.90M
"Dec. 31, 1988",507.90M
"Dec. 31, 1987",492.40M
"Dec. 31, 1986",377.30M
"Dec. 31, 1985",482.90M
"Dec. 31, 1984",438.80M
