date,three_year_return
"March 19, 2020",-45.70%
"March 18, 2020",-49.17%
"March 17, 2020",-43.37%
"March 16, 2020",-39.27%
"March 13, 2020",-26.25%
"March 12, 2020",-33.96%
"March 11, 2020",-18.25%
"March 10, 2020",-9.19%
"March 9, 2020",-12.15%
"March 6, 2020",-5.04%
"March 5, 2020",-6.63%
"March 4, 2020",-2.92%
"March 3, 2020",-2.48%
"March 2, 2020",2.14%
"Feb. 28, 2020",-2.50%
"Feb. 27, 2020",-1.56%
"Feb. 26, 2020",7.49%
"Feb. 25, 2020",11.57%
"Feb. 24, 2020",17.06%
"Feb. 21, 2020",25.09%
"Feb. 20, 2020",28.52%
"Feb. 19, 2020",27.09%
"Feb. 18, 2020",26.00%
"Feb. 14, 2020",22.21%
"Feb. 13, 2020",24.85%
"Feb. 12, 2020",26.04%
"Feb. 11, 2020",24.86%
"Feb. 10, 2020",25.05%
"Feb. 7, 2020",28.42%
"Feb. 6, 2020",27.89%
"Feb. 5, 2020",27.89%
"Feb. 4, 2020",24.01%
"Feb. 3, 2020",22.50%
"Jan. 31, 2020",28.21%
"Jan. 30, 2020",29.25%
"Jan. 29, 2020",28.45%
"Jan. 28, 2020",27.69%
"Jan. 27, 2020",26.36%
"Jan. 24, 2020",31.54%
"Jan. 23, 2020",35.11%
"Jan. 22, 2020",35.30%
"Jan. 21, 2020",36.25%
"Jan. 17, 2020",37.82%
"Jan. 16, 2020",38.54%
"Jan. 15, 2020",38.97%
"Jan. 14, 2020",43.70%
"Jan. 13, 2020",44.98%
"Jan. 10, 2020",45.63%
"Jan. 9, 2020",43.41%
"Jan. 8, 2020",39.65%
"Jan. 7, 2020",39.11%
"Jan. 6, 2020",37.31%
"Jan. 3, 2020",29.96%
"Jan. 2, 2020",39.24%
"Dec. 31, 2019",37.08%
"Dec. 30, 2019",35.95%
"Dec. 27, 2019",34.20%
"Dec. 26, 2019",36.92%
"Dec. 24, 2019",37.91%
"Dec. 23, 2019",38.11%
"Dec. 20, 2019",40.99%
"Dec. 19, 2019",40.24%
"Dec. 18, 2019",38.99%
"Dec. 17, 2019",40.71%
"Dec. 16, 2019",39.91%
"Dec. 13, 2019",39.60%
"Dec. 12, 2019",41.47%
"Dec. 11, 2019",36.60%
"Dec. 10, 2019",39.07%
"Dec. 9, 2019",36.06%
"Dec. 6, 2019",44.64%
"Dec. 5, 2019",44.13%
"Dec. 4, 2019",51.66%
"Dec. 3, 2019",52.77%
"Dec. 2, 2019",55.55%
"Nov. 29, 2019",49.74%
"Nov. 27, 2019",49.71%
"Nov. 26, 2019",50.23%
"Nov. 25, 2019",50.09%
"Nov. 22, 2019",49.44%
"Nov. 21, 2019",52.48%
"Nov. 20, 2019",53.32%
"Nov. 19, 2019",54.00%
"Nov. 18, 2019",59.43%
"Nov. 15, 2019",59.32%
"Nov. 14, 2019",61.11%
"Nov. 13, 2019",60.53%
"Nov. 12, 2019",60.90%
"Nov. 11, 2019",61.22%
"Nov. 8, 2019",73.48%
"Nov. 7, 2019",73.27%
