date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",51.94
"Sept. 30, 2019",51.38
"June 30, 2019",51.48
"March 31, 2019",51.07
"Dec. 31, 2018",50.53
"Sept. 30, 2018",51.60
"June 30, 2018",50.81
"March 31, 2018",50.77
"Dec. 31, 2017",50.36
"Sept. 30, 2017",46.51
"June 30, 2017",45.07
"March 31, 2017",44.34
"Dec. 31, 2016",44.02
"Sept. 30, 2016",44.89
"June 30, 2016",44.51
"March 31, 2016",43.97
"Dec. 31, 2015",43.06
"Sept. 30, 2015",44.14
"June 30, 2015",42.93
"March 31, 2015",40.71
"Dec. 31, 2014",39.90
"Sept. 30, 2014",39.29
"June 30, 2014",38.14
"March 31, 2014",37.33
"Dec. 31, 2013",36.34
"Sept. 30, 2013",33.44
"June 30, 2013",32.76
"March 31, 2013",33.10
"Dec. 31, 2012",32.28
"Sept. 30, 2012",30.93
"June 30, 2012",29.67
"March 31, 2012",28.45
"Dec. 31, 2011",29.09
"Sept. 30, 2011",29.36
"June 30, 2011",27.61
"March 31, 2011",26.31
"Dec. 31, 2010",26.04
"Sept. 30, 2010",26.80
"June 30, 2010",26.19
"March 31, 2010",25.55
"Dec. 31, 2009",25.67
"Sept. 30, 2009",27.81
"June 30, 2009",28.77
"March 31, 2009",30.20
"Dec. 31, 2008",29.84
"Sept. 30, 2008",29.44
"June 30, 2008",27.38
"March 31, 2008",26.30
"Dec. 31, 2007",26.38
"Sept. 30, 2007",26.54
"June 30, 2007",24.79
"March 31, 2007",25.92
"Dec. 31, 2006",23.52
"Sept. 30, 2006",21.85
"June 30, 2006",19.91
"March 31, 2006",16.47
"Dec. 31, 2005",15.80
"Sept. 30, 2005",16.40
"June 30, 2005",11.68
"March 31, 2005",9.984
"Dec. 31, 2004",9.547
"Sept. 30, 2004",8.362
"June 30, 2004",7.432
"March 31, 2004",6.766
"Dec. 31, 2003",5.847
"Sept. 30, 2003",5.661
"June 30, 2003",4.810
"March 31, 2003",4.371
"Dec. 31, 2002",3.237
"Sept. 30, 2002",2.904
"June 30, 2002",3.360
"March 31, 2002",3.817
"Dec. 31, 2001",3.978
"Sept. 30, 2001",8.400
"June 30, 2001",8.010
"March 31, 2001",6.985
"Dec. 31, 2000",6.275
"Sept. 30, 2000",5.930
"June 30, 2000",5.456
"March 31, 2000",4.956
"Dec. 31, 1999",4.837
"Sept. 30, 1999",4.778
"June 30, 1999",4.697
"March 31, 1999",4.814
"Dec. 31, 1998",4.850
"Sept. 30, 1998",5.248
"June 30, 1998",5.264
"March 31, 1998",5.110
"Dec. 31, 1997",5.161
"Sept. 30, 1997",5.127
"June 30, 1997",5.619
