date,revenue_per_employee_annual
"Dec. 31, 2019",10.58M
"Dec. 31, 2018",11.54M
"Dec. 31, 2017",9.393M
"Dec. 31, 2016",7.529M
"Dec. 31, 2015",8.707M
"Dec. 31, 2014",13.04M
"Dec. 31, 2013",8.717M
"Dec. 31, 2012",6.346M
"Dec. 31, 2011",5.963M
"Dec. 31, 2010",3.989M
"Dec. 31, 2009",3.027M
"Dec. 31, 2008",5.212M
"Dec. 31, 2007",4.384M
"Dec. 31, 2006",3.992M
"Dec. 31, 2005",3.851M
"Dec. 31, 2004",2.771M
"Dec. 31, 2003",1.919M
"Dec. 31, 2002",1.370M
"Dec. 31, 2001",1.170M
"Dec. 31, 2000",5.150M
"Dec. 31, 1999",3.173M
"Dec. 31, 1998",2.544M
"Dec. 31, 1997",3.259M
"Dec. 31, 1996",1.653M
"Dec. 31, 1995",1.069M
"Dec. 31, 1994",1.081M
"Dec. 31, 1993",673388.4
"Dec. 31, 1992",653227.5
"Dec. 31, 1991",545444.7
"Dec. 31, 1990",638743.2
