date,capex_ttm
"Dec. 31, 2019",1.994B
"Sept. 30, 2019",1.904B
"June 30, 2019",1.908B
"March 31, 2019",1.831B
"Dec. 31, 2018",1.752B
"Sept. 30, 2018",1.723B
"June 30, 2018",1.625B
"March 31, 2018",1.484B
"Dec. 31, 2017",1.379B
"Sept. 30, 2017",1.279B
"June 30, 2017",1.24B
"March 31, 2017",1.241B
"Dec. 31, 2016",1.278B
"Sept. 30, 2016",1.344B
"June 30, 2016",1.40B
"March 31, 2016",1.476B
"Dec. 31, 2015",1.618B
"Sept. 30, 2015",1.886B
"June 30, 2015",2.027B
"March 31, 2015",2.223B
"Dec. 31, 2014",2.153B
"Sept. 30, 2014",1.884B
"June 30, 2014",1.864B
"March 31, 2014",1.932B
"Dec. 31, 2013",2.121B
"Sept. 30, 2013",2.492B
"June 30, 2013",2.722B
"March 31, 2013",2.782B
"Dec. 31, 2012",2.931B
"Sept. 30, 2012",2.90B
"June 30, 2012",2.374B
"March 31, 2012",2.344B
"Dec. 31, 2011",2.355B
"Sept. 30, 2011",2.088B
"June 30, 2011",2.346B
"March 31, 2011",1.856B
"Dec. 31, 2010",1.73B
"Sept. 30, 2010",1.411B
"June 30, 2010",1.74B
"March 31, 2010",2.169B
"Dec. 31, 2009",2.306B
"Sept. 30, 2009",3.163B
"June 30, 2009",3.066B
"March 31, 2009",3.104B
"Dec. 31, 2008",2.893B
"Sept. 30, 2008",2.558B
"June 30, 2008",2.396B
"March 31, 2008",2.246B
"Dec. 31, 2007",2.26B
"Sept. 30, 2007",2.409B
"June 30, 2007",2.641B
"March 31, 2007",2.963B
"Dec. 31, 2006",3.187B
"Sept. 30, 2006",3.175B
"June 30, 2006",2.945B
"March 31, 2006",2.57B
"Dec. 31, 2005",2.133B
"Sept. 30, 2005",2.327B
"June 30, 2005",2.115B
"March 31, 2005",1.384B
"Dec. 31, 2004",1.859B
"Sept. 30, 2004",1.225B
"June 30, 2004",1.037B
"March 31, 2004",1.661B
"Dec. 31, 2003",975.80M
"Sept. 30, 2003",716.50M
"June 30, 2003",720.80M
"March 31, 2003",745.70M
"Dec. 31, 2002",811.20M
"Sept. 30, 2002",831.48M
"June 30, 2002",804.76M
"March 31, 2002",518.19M
"Dec. 31, 2001",393.56M
"Sept. 30, 2001",291.99M
"June 30, 2001",256.58M
"March 31, 2001",238.43M
"Dec. 31, 2000",194.89M
"Sept. 30, 2000",155.38M
"June 30, 2000",118.31M
"March 31, 2000",86.96M
"Dec. 31, 1999",100.60M
"Sept. 30, 1999",133.10M
"June 30, 1999",490.10M
"March 31, 1999",506.37M
"Dec. 31, 1998",500.70M
"Sept. 30, 1998",110.90M
"June 30, 1998",117.40M
"March 31, 1998",115.30M
"Dec. 31, 1997",122.00M
"Sept. 30, 1997",493.80M
"June 30, 1997",134.60M
"March 31, 1997",136.70M
"Dec. 31, 1996",128.50M
"Sept. 30, 1996",114.90M
"June 30, 1996",126.60M
"March 31, 1996",126.50M
"Dec. 31, 1995",124.60M
"Sept. 30, 1995",134.00M
"June 30, 1995",114.70M
"March 31, 1995",96.20M
"Dec. 31, 1994",80.70M
"Sept. 30, 1994",120.00M
"June 30, 1994",119.40M
"March 31, 1994",130.70M
"Dec. 31, 1993",159.60M
"Sept. 30, 1993",128.70M
"June 30, 1993",165.30M
"March 31, 1993",262.30M
"Dec. 31, 1992",282.80M
"Sept. 30, 1992",320.00M
"June 30, 1992",329.60M
"March 31, 1992",244.50M
"Dec. 31, 1991",229.70M
"Sept. 30, 1991",220.50M
"June 30, 1991",196.10M
"March 31, 1991",178.10M
"Dec. 31, 1990",137.80M
"Sept. 30, 1990",67.20M
"June 30, 1990",30.90M
"March 31, 1990",8.60M
