date,total_employee_number
"Dec. 31, 2019",10222
"Dec. 31, 2018",10261
"Dec. 31, 2017",10015
"Dec. 31, 2016",9996
"Dec. 31, 2015",10103
"Dec. 31, 2014",10065
"Dec. 31, 2013",10007
"Dec. 31, 2012",21671
"Dec. 31, 2011",21942
"Dec. 31, 2010",20313
"Dec. 31, 2009",20920
"Dec. 31, 2008",21765
"Dec. 31, 2007",21651
"Dec. 31, 2006",21836
"Dec. 31, 2005",22068
"Dec. 31, 2004",19797
"Dec. 31, 2003",19621
"Dec. 31, 2002",19947
"Dec. 31, 2001",22452
"Dec. 31, 2000",3180
"Dec. 31, 1999",2518
"Dec. 31, 1998",2500
"Dec. 31, 1997",1855
"Dec. 31, 1996",1678
"Dec. 31, 1995",1658
"Dec. 31, 1994",1658
"Dec. 31, 1993",1740
"Dec. 31, 1992",1890
"Dec. 31, 1991",1890
"Dec. 31, 1990",1820
"Dec. 31, 1989",1840
