date,free_cash_flow
"Dec. 31, 2019",1.123B
"Sept. 30, 2019",994.00M
"June 30, 2019",1.006B
"March 31, 2019",414.00M
"Dec. 31, 2018",1.183B
"Sept. 30, 2018",57.00M
"June 30, 2018",1.625B
"March 31, 2018",-246.00M
"Dec. 31, 2017",1.194B
"Sept. 30, 2017",696.00M
"June 30, 2017",1.504B
"March 31, 2017",709.00M
"Dec. 31, 2016",632.00M
"Sept. 30, 2016",561.00M
"June 30, 2016",2.025B
"March 31, 2016",324.00M
"Dec. 31, 2015",55.00M
"Sept. 30, 2015",1.004B
"June 30, 2015",1.959B
"March 31, 2015",975.00M
"Dec. 31, 2014",297.00M
"Sept. 30, 2014",1.367B
"June 30, 2014",568.00M
"March 31, 2014",-144.00M
"Dec. 31, 2013",2.098B
"Sept. 30, 2013",-258.00M
"June 30, 2013",631.00M
"March 31, 2013",972.00M
"Dec. 31, 2012",-479.00M
"Sept. 30, 2012",1.404B
"June 30, 2012",596.00M
"March 31, 2012",818.00M
"Dec. 31, 2011",-1.061B
"Sept. 30, 2011",1.191B
"June 30, 2011",232.00M
"March 31, 2011",1.321B
"Dec. 31, 2010",-81.00M
"Sept. 30, 2010",411.00M
"June 30, 2010",614.00M
"March 31, 2010",371.00M
"Dec. 31, 2009",-302.00M
"Sept. 30, 2009",-237.00M
"June 30, 2009",23.00M
"March 31, 2009",33.00M
"Dec. 31, 2008",-1.424B
"Sept. 30, 2008",1.002B
"June 30, 2008",533.00M
"March 31, 2008",91.00M
"Dec. 31, 2007",545.00M
"Sept. 30, 2007",-856.00M
"June 30, 2007",1.974B
"March 31, 2007",1.335B
"Dec. 31, 2006",360.00M
"Sept. 30, 2006",530.00M
"June 30, 2006",1.27B
"March 31, 2006",965.00M
"Dec. 31, 2005",1.072B
"Sept. 30, 2005",1.607B
"June 30, 2005",528.00M
"March 31, 2005",459.00M
"Dec. 31, 2004",41.00M
"Sept. 30, 2004",388.00M
"June 30, 2004",1.154B
"March 31, 2004",-484.00M
"Dec. 31, 2003",-140.30M
"Sept. 30, 2003",299.70M
"June 30, 2003",242.00M
"March 31, 2003",39.20M
"Dec. 31, 2002",60.00M
"Sept. 30, 2002",-72.70M
"June 30, 2002",-68.00M
"March 31, 2002",-458.20M
"Dec. 31, 2001",40.71M
"Sept. 30, 2001",95.44M
"June 30, 2001",167.74M
"March 31, 2001",208.06M
"Dec. 31, 2000",167.95M
"Sept. 30, 2000",220.77M
"June 30, 2000",31.75M
"March 31, 2000",-14.05M
"Dec. 31, 1999",146.00M
"Sept. 30, 1999",98.90M
"June 30, 1999",-19.95M
"March 31, 1999",109.55M
"Dec. 31, 1998",-158.70M
"Sept. 30, 1998",-250.00M
"June 30, 1998",59.70M
"March 31, 1998",14.10M
"Dec. 31, 1997",299.90M
"Sept. 30, 1997",-85.40M
"June 30, 1997",-110.30M
"March 31, 1997",-5.10M
"Dec. 31, 1996",1.60M
"Sept. 30, 1996",19.80M
"June 30, 1996",48.10M
"March 31, 1996",48.50M
"Dec. 31, 1995",-12.30M
"Sept. 30, 1995",7.50M
"June 30, 1995",-17.60M
"March 31, 1995",64.50M
"Dec. 31, 1994",-8.90M
"Sept. 30, 1994",7.80M
"June 30, 1994",-28.60M
"March 31, 1994",17.10M
"Dec. 31, 1993",-33.40M
"Sept. 30, 1993",29.10M
"June 30, 1993",-6.80M
"March 31, 1993",-7.20M
"Dec. 31, 1992",10.10M
"Sept. 30, 1992",-45.00M
"June 30, 1992",-51.30M
"March 31, 1992",-44.10M
"Dec. 31, 1991",-53.70M
"Sept. 30, 1991",-21.40M
"June 30, 1991",-26.20M
"March 31, 1991",54.40M
"Dec. 31, 1990",-12.00M
"Sept. 30, 1990",37.30M
"June 30, 1990",19.50M
"March 31, 1990",13.80M
