date,ni_per_employee_annual
"Dec. 31, 2019",236488.8
"Dec. 31, 2018",307950.3
"Dec. 31, 2017",406276.5
"Dec. 31, 2016",227772.5
"Dec. 31, 2015",395676.3
"Dec. 31, 2014",361697.9
"Dec. 31, 2013",171728.0
"Dec. 31, 2012",95521.98
"Dec. 31, 2011",98923.20
"Dec. 31, 2010",15715.57
"Dec. 31, 2009",-92866.35
"Dec. 31, 2008",-52100.61
"Dec. 31, 2007",240715.6
"Dec. 31, 2006",240843.7
"Dec. 31, 2005",165914.2
"Dec. 31, 2004",91491.20
"Dec. 31, 2003",31373.84
"Dec. 31, 2002",4316.14
"Dec. 31, 2001",43972.61
"Dec. 31, 2000",119031.2
"Dec. 31, 1999",5699.48
"Dec. 31, 1998",-21722.16
"Dec. 31, 1997",54401.36
"Dec. 31, 1996",57074.34
"Dec. 31, 1995",71170.08
"Dec. 31, 1994",15832.84
"Dec. 31, 1993",20055.10
"Dec. 31, 1992",44391.53
"Dec. 31, 1991",53207.55
"Dec. 31, 1990",51748.63
