date,return_on_assets
"Dec. 31, 2019",4.67%
"Sept. 30, 2019",4.50%
"June 30, 2019",4.99%
"March 31, 2019",5.50%
"Dec. 31, 2018",6.19%
"Sept. 30, 2018",9.08%
"June 30, 2018",9.27%
"March 31, 2018",8.83%
"Dec. 31, 2017",8.60%
"Sept. 30, 2017",4.43%
"June 30, 2017",3.99%
"March 31, 2017",4.60%
"Dec. 31, 2016",5.06%
"Sept. 30, 2016",4.91%
"June 30, 2016",6.56%
"March 31, 2016",7.73%
"Dec. 31, 2015",8.71%
"Sept. 30, 2015",10.39%
"June 30, 2015",9.66%
"March 31, 2015",8.05%
"Dec. 31, 2014",7.71%
"Sept. 30, 2014",7.97%
"June 30, 2014",6.50%
"March 31, 2014",6.28%
"Dec. 31, 2013",5.97%
"Sept. 30, 2013",5.45%
"June 30, 2013",6.40%
"March 31, 2013",7.28%
"Dec. 31, 2012",4.85%
"Sept. 30, 2012",2.64%
"June 30, 2012",3.96%
"March 31, 2012",3.78%
"Dec. 31, 2011",5.19%
"Sept. 30, 2011",4.11%
"June 30, 2011",1.83%
"March 31, 2011",1.43%
"Dec. 31, 2010",0.88%
"Sept. 30, 2010",-1.77%
"June 30, 2010",-4.29%
"March 31, 2010",-6.61%
"Dec. 31, 2009",-5.51%
"Sept. 30, 2009",-10.24%
"June 30, 2009",-5.31%
"March 31, 2009",-2.73%
"Dec. 31, 2008",-2.75%
"Sept. 30, 2008",6.38%
"June 30, 2008",6.78%
"March 31, 2008",10.68%
"Dec. 31, 2007",13.03%
"Sept. 30, 2007",15.89%
"June 30, 2007",16.69%
"March 31, 2007",16.37%
"Dec. 31, 2006",15.49%
"Sept. 30, 2006",15.08%
"June 30, 2006",14.79%
"March 31, 2006",12.76%
"Dec. 31, 2005",13.68%
"Sept. 30, 2005",12.03%
"June 30, 2005",11.59%
"March 31, 2005",10.94%
"Dec. 31, 2004",9.93%
"Sept. 30, 2004",8.34%
"June 30, 2004",7.36%
"March 31, 2004",4.49%
"Dec. 31, 2003",4.17%
"Sept. 30, 2003",3.98%
"June 30, 2003",2.92%
"March 31, 2003",2.10%
"Dec. 31, 2002",0.64%
"Sept. 30, 2002",0.43%
"June 30, 2002",1.17%
"March 31, 2002",4.42%
"Dec. 31, 2001",8.33%
"Sept. 30, 2001",12.81%
"June 30, 2001",14.03%
"March 31, 2001",10.89%
"Dec. 31, 2000",9.00%
"Sept. 30, 2000",7.48%
"June 30, 2000",4.87%
"March 31, 2000",1.61%
"Dec. 31, 1999",0.50%
"Sept. 30, 1999",-3.09%
"June 30, 1999",-3.88%
"March 31, 1999",-1.67%
"Dec. 31, 1998",-1.83%
"Sept. 30, 1998",2.01%
"June 30, 1998",3.84%
"March 31, 1998",2.84%
"Dec. 31, 1997",3.78%
"Sept. 30, 1997",4.78%
"June 30, 1997",3.21%
"March 31, 1997",3.41%
"Dec. 31, 1996",3.58%
"Sept. 30, 1996",4.44%
"June 30, 1996",4.81%
"March 31, 1996",4.83%
"Dec. 31, 1995",4.23%
"Sept. 30, 1995",1.85%
"June 30, 1995",1.49%
"March 31, 1995",0.95%
"Dec. 31, 1994",1.14%
"Sept. 30, 1994",0.36%
"June 30, 1994",0.33%
"March 31, 1994",1.50%
"Dec. 31, 1993",2.04%
"Sept. 30, 1993",3.35%
"June 30, 1993",4.36%
"March 31, 1993",4.68%
"Dec. 31, 1992",5.13%
"Sept. 30, 1992",6.29%
"June 30, 1992",6.74%
"March 31, 1992",6.87%
"Dec. 31, 1991",7.16%
"Sept. 30, 1991",8.33%
"June 30, 1991",9.01%
"March 31, 1991",9.13%
"Dec. 31, 1990",8.74%
"Sept. 30, 1990",6.59%
"June 30, 1990",4.09%
