date,cash_on_hand
"Dec. 31, 2019",2.583B
"Sept. 30, 2019",2.137B
"June 30, 2019",2.033B
"March 31, 2019",2.777B
"Dec. 31, 2018",2.982B
"Sept. 30, 2018",3.551B
"June 30, 2018",4.451B
"March 31, 2018",4.658B
"Dec. 31, 2017",5.85B
"Sept. 30, 2017",5.176B
"June 30, 2017",5.207B
"March 31, 2017",4.463B
"Dec. 31, 2016",4.816B
"Sept. 30, 2016",5.949B
"June 30, 2016",4.925B
"March 31, 2016",3.778B
"Dec. 31, 2015",4.114B
"Sept. 30, 2015",5.301B
"June 30, 2015",5.764B
"March 31, 2015",4.87B
"Dec. 31, 2014",3.689B
"Sept. 30, 2014",4.191B
"June 30, 2014",3.48B
"March 31, 2014",3.647B
"Dec. 31, 2013",4.292B
"Sept. 30, 2013",1.908B
"June 30, 2013",2.398B
"March 31, 2013",1.857B
"Dec. 31, 2012",1.723B
"Sept. 30, 2012",2.549B
"June 30, 2012",1.295B
"March 31, 2012",1.559B
"Dec. 31, 2011",1.024B
"Sept. 30, 2011",2.829B
"June 30, 2011",4.107B
"March 31, 2011",4.133B
"Dec. 31, 2010",3.334B
"Sept. 30, 2010",2.352B
"June 30, 2010",2.001B
"March 31, 2010",1.887B
"Dec. 31, 2009",825.00M
"Sept. 30, 2009",1.605B
"June 30, 2009",1.623B
"March 31, 2009",1.715B
"Dec. 31, 2008",940.00M
"Sept. 30, 2008",2.767B
"June 30, 2008",1.644B
"March 31, 2008",1.431B
"Dec. 31, 2007",2.464B
"Sept. 30, 2007",3.109B
"June 30, 2007",2.336B
"March 31, 2007",1.696B
"Dec. 31, 2006",1.59B
"Sept. 30, 2006",1.029B
"June 30, 2006",937.00M
"March 31, 2006",436.00M
"Dec. 31, 2005",436.00M
"Sept. 30, 2005",737.00M
"June 30, 2005",949.00M
"March 31, 2005",686.00M
"Dec. 31, 2004",864.00M
"Sept. 30, 2004",680.80M
"June 30, 2004",330.20M
"March 31, 2004",239.00M
"Dec. 31, 2003",369.20M
"Sept. 30, 2003",309.60M
"June 30, 2003",697.50M
"March 31, 2003",740.90M
"Dec. 31, 2002",378.90M
"Sept. 30, 2002",319.60M
"June 30, 2002",360.90M
"March 31, 2002",232.80M
"Dec. 31, 2001",269.40M
"Sept. 30, 2001",91.16M
"June 30, 2001",42.46M
"March 31, 2001",125.74M
"Dec. 31, 2000",14.60M
"Sept. 30, 2000",12.98M
"June 30, 2000",10.38M
"March 31, 2000",8.509M
"Dec. 31, 1999",60.09M
"Sept. 30, 1999",7.80M
"June 30, 1999",5.80M
"March 31, 1999",13.30M
"Dec. 31, 1998",11.20M
"Sept. 30, 1998",8.20M
"June 30, 1998",6.60M
"March 31, 1998",9.80M
"Dec. 31, 1997",9.90M
"Sept. 30, 1997",21.90M
"June 30, 1997",3.20M
"March 31, 1997",16.10M
"Dec. 31, 1996",
"Sept. 30, 1996",14.10M
"June 30, 1996",19.20M
"March 31, 1996",16.90M
"Dec. 31, 1995",28.10M
"Sept. 30, 1995",23.30M
"June 30, 1995",21.30M
"March 31, 1995",15.00M
"Dec. 31, 1994",26.20M
"Sept. 30, 1994",9.70M
"June 30, 1994",48.00M
"March 31, 1994",126.30M
"Dec. 31, 1993",7.30M
"Sept. 30, 1993",39.80M
"June 30, 1993",7.80M
"March 31, 1993",8.10M
"Dec. 31, 1992",8.20M
"Sept. 30, 1992",7.50M
"June 30, 1992",41.90M
"March 31, 1992",9.70M
"Dec. 31, 1991",13.90M
"Sept. 30, 1991",89.20M
"June 30, 1991",142.70M
"March 31, 1991",172.90M
"Dec. 31, 1990",51.70M
"Sept. 30, 1990",9.00M
"June 30, 1990",6.10M
"March 31, 1990",7.60M
"Dec. 31, 1989",15.10M
"Dec. 31, 1988",20.90M
"Dec. 31, 1987",23.30M
"Dec. 31, 1986",19.60M
"Dec. 31, 1985",71.50M
"Dec. 31, 1984",43.80M
