date,return_on_invested_capital
"Dec. 31, 2019",7.64%
"Sept. 30, 2019",7.31%
"June 30, 2019",8.06%
"March 31, 2019",8.76%
"Dec. 31, 2018",9.79%
"Sept. 30, 2018",14.44%
"June 30, 2018",14.65%
"March 31, 2018",13.93%
"Dec. 31, 2017",13.67%
"Sept. 30, 2017",7.01%
"June 30, 2017",6.27%
"March 31, 2017",7.20%
"Dec. 31, 2016",7.87%
"Sept. 30, 2016",7.62%
"June 30, 2016",10.29%
"March 31, 2016",12.15%
"Dec. 31, 2015",13.88%
"Sept. 30, 2015",17.01%
"June 30, 2015",16.14%
"March 31, 2015",13.65%
"Dec. 31, 2014",13.38%
"Sept. 30, 2014",14.15%
"June 30, 2014",11.59%
"March 31, 2014",11.28%
"Dec. 31, 2013",10.75%
"Sept. 30, 2013",10.35%
"June 30, 2013",12.72%
"March 31, 2013",15.42%
"Dec. 31, 2012",10.25%
"Sept. 30, 2012",5.94%
"June 30, 2012",8.26%
"March 31, 2012",7.96%
"Dec. 31, 2011",10.80%
"Sept. 30, 2011",9.08%
"June 30, 2011",4.02%
"March 31, 2011",3.42%
"Dec. 31, 2010",2.09%
"Sept. 30, 2010",-4.15%
"June 30, 2010",-9.98%
"March 31, 2010",-15.21%
"Dec. 31, 2009",-12.44%
"Sept. 30, 2009",-21.19%
"June 30, 2009",-10.36%
"March 31, 2009",-5.01%
"Dec. 31, 2008",-4.82%
"Sept. 30, 2008",10.66%
"June 30, 2008",11.24%
"March 31, 2008",17.45%
"Dec. 31, 2007",21.16%
"Sept. 30, 2007",25.51%
"June 30, 2007",26.93%
"March 31, 2007",26.46%
"Dec. 31, 2006",25.02%
"Sept. 30, 2006",24.46%
"June 30, 2006",24.27%
"March 31, 2006",20.95%
"Dec. 31, 2005",22.43%
"Sept. 30, 2005",19.84%
"June 30, 2005",19.21%
"March 31, 2005",17.85%
"Dec. 31, 2004",15.96%
"Sept. 30, 2004",13.30%
"June 30, 2004",11.56%
"March 31, 2004",7.03%
"Dec. 31, 2003",6.50%
"Sept. 30, 2003",6.19%
"June 30, 2003",4.55%
"March 31, 2003",3.27%
"Dec. 31, 2002",1.03%
"Sept. 30, 2002",0.71%
"June 30, 2002",1.96%
"March 31, 2002",7.54%
"Dec. 31, 2001",14.88%
"Sept. 30, 2001",21.02%
"June 30, 2001",22.25%
"March 31, 2001",16.99%
"Dec. 31, 2000",13.90%
"Sept. 30, 2000",11.54%
"June 30, 2000",7.45%
"March 31, 2000",2.47%
"Dec. 31, 1999",0.72%
"Sept. 30, 1999",-4.41%
"June 30, 1999",-5.44%
"March 31, 1999",-2.33%
"Dec. 31, 1998",-2.57%
"Sept. 30, 1998",2.89%
"June 30, 1998",5.47%
"March 31, 1998",4.01%
"Dec. 31, 1997",5.27%
"Sept. 30, 1997",6.58%
"June 30, 1997",4.37%
"March 31, 1997",4.61%
"Dec. 31, 1996",4.81%
"Sept. 30, 1996",5.95%
"June 30, 1996",6.40%
"March 31, 1996",6.39%
"Dec. 31, 1995",5.61%
"Sept. 30, 1995",2.44%
"June 30, 1995",1.98%
"March 31, 1995",1.26%
"Dec. 31, 1994",1.49%
"Sept. 30, 1994",0.47%
"June 30, 1994",0.43%
"March 31, 1994",1.93%
"Dec. 31, 1993",2.65%
"Sept. 30, 1993",4.38%
"June 30, 1993",5.71%
"March 31, 1993",6.15%
"Dec. 31, 1992",6.81%
"Sept. 30, 1992",8.39%
"June 30, 1992",8.97%
"March 31, 1992",9.15%
"Dec. 31, 1991",9.59%
"Sept. 30, 1991",11.25%
"June 30, 1991",12.14%
"March 31, 1991",12.35%
"Dec. 31, 1990",11.78%
"Sept. 30, 1990",8.87%
"June 30, 1990",5.37%
