date,shares_outstanding
"Jan. 31, 2020",409.34M
"Dec. 31, 2019",409.29M
"Oct. 29, 2019",410.65M
"Sept. 30, 2019",410.81M
"July 31, 2019",414.40M
"June 30, 2019",414.61M
"April 30, 2019",417.24M
"March 31, 2019",417.23M
"March 5, 2019",417.61M
"Jan. 31, 2019",417.61M
"Dec. 31, 2018",417.60M
"Oct. 31, 2018",424.31M
"Sept. 30, 2018",424.65M
"July 31, 2018",427.40M
"June 30, 2018",428.42M
"April 30, 2018",431.02M
"March 31, 2018",430.93M
"March 6, 2018",430.92M
"Jan. 31, 2018",433.18M
"Dec. 31, 2017",433.90M
"Oct. 31, 2017",437.58M
"Sept. 30, 2017",437.97M
"July 31, 2017",441.66M
"June 30, 2017",442.00M
"April 28, 2017",447.23M
"March 31, 2017",447.16M
"March 7, 2017",448.73M
"Jan. 31, 2017",451.05M
"Dec. 31, 2016",451.50M
"Oct. 31, 2016",452.66M
"Sept. 30, 2016",453.08M
"July 29, 2016",461.34M
"June 30, 2016",462.31M
"April 29, 2016",469.80M
"March 31, 2016",469.79M
"March 15, 2016",469.78M
"Jan. 29, 2016",470.39M
"Dec. 31, 2015",473.04M
"Oct. 30, 2015",481.50M
"Sept. 30, 2015",483.02M
"July 31, 2015",497.11M
"June 30, 2015",499.72M
"April 30, 2015",508.62M
"March 31, 2015",510.32M
"March 3, 2015",514.03M
"Jan. 30, 2015",514.89M
"Dec. 31, 2014",514.30M
"Oct. 31, 2014",521.24M
"Sept. 30, 2014",523.14M
"July 31, 2014",527.96M
"June 30, 2014",529.92M
"April 30, 2014",533.62M
"March 31, 2014",533.42M
"March 4, 2014",532.71M
"Jan. 31, 2014",532.51M
"Dec. 31, 2013",535.57M
"Oct. 31, 2013",539.56M
"Sept. 30, 2013",541.63M
"July 31, 2013",542.14M
"June 30, 2013",542.09M
"April 30, 2013",545.37M
"March 31, 2013",548.03M
"March 5, 2013",554.12M
"Jan. 31, 2013",552.93M
"Dec. 31, 2012",552.10M
"Oct. 31, 2012",553.54M
"Sept. 30, 2012",553.47M
"July 31, 2012",551.61M
"June 30, 2012",551.40M
"April 30, 2012",552.87M
"March 31, 2012",552.98M
"March 5, 2012",552.53M
"Jan. 31, 2012",555.07M
"Dec. 31, 2011",556.81M
"Oct. 31, 2011",559.73M
"Sept. 30, 2011",558.65M
"July 29, 2011",572.13M
"June 30, 2011",570.76M
"April 29, 2011",570.25M
"March 31, 2011",570.00M
"March 1, 2011",569.68M
"Jan. 31, 2011",568.97M
"Dec. 31, 2010",568.39M
"Oct. 26, 2010",566.21M
"Sept. 30, 2010",566.33M
"July 30, 2010",566.26M
"June 30, 2010",566.25M
"April 30, 2010",565.48M
"March 31, 2010",565.18M
"March 1, 2010",564.95M
"Jan. 31, 2010",564.81M
"Dec. 31, 2009",564.70M
"Oct. 30, 2009",564.35M
"Sept. 30, 2009",563.05M
"July 31, 2009",562.76M
"June 30, 2009",562.65M
"April 30, 2009",516.40M
"Jan. 31, 2009",516.31M
"Oct. 31, 2008",516.02M
"Sept. 30, 2008",523.36M
"July 31, 2008",523.16M
"June 30, 2008",525.03M
"April 30, 2008",528.50M
"March 31, 2008",528.44M
"Jan. 31, 2008",534.65M
"Dec. 31, 2007",536.66M
"Sept. 30, 2007",550.44M
"June 30, 2007",553.82M
"March 31, 2007",548.99M
"Jan. 31, 2007",604.11M
"Dec. 31, 2006",603.76M
"Oct. 31, 2006",604.62M
"Sept. 30, 2006",606.09M
"July 31, 2006",612.86M
"June 30, 2006",608.15M
"April 30, 2006",615.45M
"March 31, 2006",615.14M
"Jan. 31, 2006",621.84M
"Dec. 31, 2005",617.42M
"Oct. 31, 2005",618.51M
"Sept. 30, 2005",515.23M
"July 29, 2005",522.79M
"June 30, 2005",515.00M
"April 29, 2005",513.47M
"March 31, 2005",510.51M
"Feb. 28, 2005",513.29M
"Dec. 31, 2004",510.95M
"Oct. 29, 2004",513.28M
"Sept. 30, 2004",512.11M
"July 30, 2004",511.38M
"June 30, 2004",510.69M
"April 30, 2004",514.92M
"March 31, 2004",520.88M
"Feb. 29, 2004",519.56M
"Dec. 31, 2003",481.07M
"Oct. 31, 2003",481.07M
"Sept. 30, 2003",457.54M
"July 31, 2003",457.54M
"June 30, 2003",457.27M
"April 30, 2003",457.02M
"March 31, 2003",457.98M
"Feb. 28, 2003",430.54M
"Dec. 31, 2002",428.55M
"Oct. 31, 2002",426.23M
"Sept. 30, 2002",425.38M
"July 31, 2002",423.24M
"June 30, 2002",422.81M
"April 30, 2002",423.67M
"March 31, 2002",423.67M
"Feb. 28, 2002",419.66M
"Dec. 31, 2001",416.79M
"Nov. 1, 2001",242.57M
"Sept. 30, 2001",243.00M
"Aug. 1, 2001",242.71M
"June 30, 2001",243.48M
"April 30, 2001",244.99M
"March 31, 2001",244.06M
"Feb. 1, 2001",244.15M
"Dec. 31, 2000",243.35M
"Nov. 1, 2000",243.41M
"Sept. 30, 2000",243.73M
"Aug. 1, 2000",246.05M
"June 30, 2000",247.09M
"May 1, 2000",223.95M
"March 31, 2000",223.73M
"Feb. 1, 2000",223.01M
"Dec. 31, 1999",224.27M
"Sept. 30, 1999",225.27M
"June 30, 1999",224.86M
"March 31, 1999",224.47M
"Feb. 1, 1999",224.28M
"Dec. 31, 1998",223.75M
"Sept. 30, 1998",223.26M
"June 30, 1998",224.94M
"March 31, 1998",224.70M
"Jan. 30, 1998",223.53M
"Dec. 31, 1997",224.54M
"Sept. 30, 1997",224.45M
"June 30, 1997",221.42M
