date,beneish_m_score
"Dec. 31, 2019",-2.534
"Dec. 31, 2018",-2.456
"Dec. 31, 2017",-2.365
"Dec. 31, 2016",-2.106
"Dec. 31, 2015",-2.939
"Dec. 31, 2014",-2.969
"Dec. 31, 2013",-2.550
"Dec. 31, 2012",-2.789
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",
"Dec. 31, 2007",-1.928
"Dec. 31, 2006",-2.608
"Dec. 31, 2005",-2.021
"Dec. 31, 2004",-2.483
"Dec. 31, 2003",-2.777
"Dec. 31, 2002",-1.795
"Dec. 31, 2001",-2.945
"Dec. 31, 2000",-2.971
"Dec. 31, 1999",-3.860
"Dec. 31, 1998",-2.697
"Dec. 31, 1997",-2.932
"Dec. 31, 1996",-1.915
"Dec. 31, 1995",
"Dec. 31, 1994",
"Dec. 31, 1993",
"Dec. 31, 1992",
"Dec. 31, 1991",-3.801
