date,times_interest_earned
"Dec. 31, 2019",3.676
"Sept. 30, 2019",3.326
"June 30, 2019",3.275
"March 31, 2019",3.329
"Dec. 31, 2018",3.535
"Sept. 30, 2018",1.329
"June 30, 2018",1.225
"March 31, 2018",1.322
"Dec. 31, 2017",1.439
"Sept. 30, 2017",4.365
"June 30, 2017",4.628
"March 31, 2017",5.059
"Dec. 31, 2016",4.765
"Sept. 30, 2016",3.708
"June 30, 2016",3.493
"March 31, 2016",2.621
"Dec. 31, 2015",2.131
"Sept. 30, 2015",3.374
"June 30, 2015",3.389
"March 31, 2015",3.744
"Dec. 31, 2014",3.905
"Sept. 30, 2014",0.91
"June 30, 2014",0.8748
"March 31, 2014",0.9376
"Dec. 31, 2013",0.9388
"Sept. 30, 2013",2.989
"June 30, 2013",3.153
"March 31, 2013",3.063
"Dec. 31, 2012",2.988
"Sept. 30, 2012",2.764
"June 30, 2012",2.679
"March 31, 2012",2.721
"Dec. 31, 2011",2.782
"Sept. 30, 2011",2.542
"June 30, 2011",2.953
"March 31, 2011",3.327
"Dec. 31, 2010",2.850
"Sept. 30, 2010",3.233
"June 30, 2010",3.480
"March 31, 2010",3.546
"Dec. 31, 2009",3.471
"Sept. 30, 2009",5.043
"June 30, 2009",7.594
"March 31, 2009",15.55
