date,three_year_return
"March 19, 2020",9.36%
"March 18, 2020",18.05%
"March 17, 2020",18.21%
"March 16, 2020",1.50%
"March 13, 2020",8.74%
"March 12, 2020",0.28%
"March 11, 2020",11.77%
"March 10, 2020",17.01%
"March 9, 2020",19.60%
"March 6, 2020",19.43%
"March 5, 2020",20.74%
"March 4, 2020",24.79%
"March 3, 2020",19.65%
"March 2, 2020",19.07%
"Feb. 28, 2020",13.66%
"Feb. 27, 2020",14.81%
"Feb. 26, 2020",19.22%
"Feb. 25, 2020",29.46%
"Feb. 24, 2020",30.08%
"Feb. 21, 2020",31.46%
"Feb. 20, 2020",35.86%
"Feb. 19, 2020",34.37%
"Feb. 18, 2020",34.20%
"Feb. 14, 2020",33.47%
"Feb. 13, 2020",32.36%
"Feb. 12, 2020",30.54%
"Feb. 11, 2020",30.88%
"Feb. 10, 2020",30.86%
"Feb. 7, 2020",33.82%
"Feb. 6, 2020",35.56%
"Feb. 5, 2020",35.90%
"Feb. 4, 2020",36.21%
"Feb. 3, 2020",37.33%
"Jan. 31, 2020",37.27%
"Jan. 30, 2020",42.35%
"Jan. 29, 2020",41.21%
"Jan. 28, 2020",40.55%
"Jan. 27, 2020",38.45%
"Jan. 24, 2020",35.26%
"Jan. 23, 2020",34.95%
"Jan. 22, 2020",33.07%
"Jan. 21, 2020",33.53%
"Jan. 17, 2020",29.64%
"Jan. 16, 2020",28.93%
"Jan. 15, 2020",29.16%
"Jan. 14, 2020",28.55%
"Jan. 13, 2020",28.47%
"Jan. 10, 2020",29.28%
"Jan. 9, 2020",31.68%
"Jan. 8, 2020",29.95%
"Jan. 7, 2020",30.57%
"Jan. 6, 2020",30.91%
"Jan. 3, 2020",33.67%
"Jan. 2, 2020",34.13%
"Dec. 31, 2019",35.06%
"Dec. 30, 2019",34.35%
"Dec. 27, 2019",34.90%
"Dec. 26, 2019",33.54%
"Dec. 24, 2019",33.72%
"Dec. 23, 2019",35.67%
"Dec. 20, 2019",37.40%
"Dec. 19, 2019",33.33%
"Dec. 18, 2019",36.16%
"Dec. 17, 2019",34.60%
"Dec. 16, 2019",32.77%
"Dec. 13, 2019",32.68%
"Dec. 12, 2019",30.91%
"Dec. 11, 2019",31.42%
"Dec. 10, 2019",32.07%
"Dec. 9, 2019",31.34%
"Dec. 6, 2019",35.14%
"Dec. 5, 2019",35.46%
"Dec. 4, 2019",37.42%
"Dec. 3, 2019",35.88%
"Dec. 2, 2019",34.71%
"Nov. 29, 2019",29.86%
"Nov. 27, 2019",30.64%
"Nov. 26, 2019",30.64%
"Nov. 25, 2019",29.34%
"Nov. 22, 2019",29.08%
"Nov. 21, 2019",30.69%
"Nov. 20, 2019",31.62%
"Nov. 19, 2019",31.00%
"Nov. 18, 2019",31.97%
"Nov. 15, 2019",31.72%
"Nov. 14, 2019",33.60%
"Nov. 13, 2019",33.36%
"Nov. 12, 2019",31.61%
"Nov. 11, 2019",32.05%
"Nov. 8, 2019",21.93%
"Nov. 7, 2019",23.93%
"Nov. 6, 2019",27.72%
"Nov. 5, 2019",27.67%
"Nov. 4, 2019",27.65%
"Nov. 1, 2019",29.26%
"Oct. 31, 2019",27.00%
"Oct. 30, 2019",27.33%
"Oct. 29, 2019",28.87%
"Oct. 28, 2019",27.95%
"Oct. 25, 2019",30.64%
"Oct. 24, 2019",28.39%
"Oct. 23, 2019",29.31%
"Oct. 22, 2019",28.63%
"Oct. 21, 2019",28.12%
"Oct. 18, 2019",24.54%
"Oct. 17, 2019",24.51%
"Oct. 16, 2019",24.08%
"Oct. 15, 2019",23.85%
"Oct. 14, 2019",23.88%
"Oct. 11, 2019",25.93%
"Oct. 10, 2019",24.17%
"Oct. 9, 2019",27.64%
"Oct. 8, 2019",28.14%
"Oct. 7, 2019",28.90%
"Oct. 4, 2019",29.63%
"Oct. 3, 2019",23.97%
"Oct. 2, 2019",23.14%
"Oct. 1, 2019",24.29%
"Sept. 30, 2019",25.06%
"Sept. 27, 2019",22.28%
"Sept. 26, 2019",21.19%
"Sept. 25, 2019",20.91%
"Sept. 24, 2019",21.12%
"Sept. 23, 2019",20.54%
"Sept. 20, 2019",22.84%
"Sept. 19, 2019",22.54%
"Sept. 18, 2019",24.22%
"Sept. 17, 2019",23.79%
"Sept. 16, 2019",23.40%
