date,net_income_annual_cs_rev
"Dec. 31, 2019",11.04%
"Dec. 31, 2018",9.18%
"Dec. 31, 2017",6.39%
"Dec. 31, 2016",10.50%
"Dec. 31, 2015",6.25%
"Dec. 31, 2014",9.23%
"Dec. 31, 2013",-1.18%
"Dec. 31, 2012",6.98%
"Dec. 31, 2011",6.35%
"Dec. 31, 2010",5.50%
"Dec. 31, 2009",6.06%
"Dec. 31, 2008",5.08%
"Dec. 31, 2007",4.55%
"Dec. 31, 2006",-7.70%
"Dec. 31, 2005",3.85%
"Dec. 31, 2004",11.41%
"Dec. 31, 2003",2.42%
"Dec. 31, 2002",4.24%
"Dec. 31, 2001",5.78%
"Dec. 31, 2000",8.62%
"Dec. 31, 1999",7.68%
"Dec. 31, 1998",6.15%
"Dec. 31, 1997",6.45%
"Dec. 31, 1996",5.39%
"Dec. 31, 1995",7.30%
"Dec. 31, 1994",7.13%
"Dec. 31, 1993",6.20%
"Dec. 31, 1992",8.51%
"Dec. 31, 1991",7.16%
"Dec. 31, 1990",9.10%
"Dec. 31, 1989",-13.82%
"Dec. 31, 1988",15.15%
"Dec. 31, 1987",19.13%
"Dec. 31, 1986",21.57%
"Dec. 31, 1985",19.34%
"Dec. 31, 1984",17.33%
