date,cash_operations_ttm
"Dec. 31, 2019",1.593B
"Sept. 30, 2019",1.718B
"June 30, 2019",1.625B
"March 31, 2019",1.509B
"Dec. 31, 2018",1.791B
"Sept. 30, 2018",1.758B
"June 30, 2018",1.821B
"March 31, 2018",1.919B
"Dec. 31, 2017",1.763B
"Sept. 30, 2017",1.669B
"June 30, 2017",1.58B
"March 31, 2017",1.606B
"Dec. 31, 2016",1.561B
"Sept. 30, 2016",1.614B
"June 30, 2016",1.487B
"March 31, 2016",1.299B
"Dec. 31, 2015",1.363B
"Sept. 30, 2015",1.970B
"June 30, 2015",1.832B
"March 31, 2015",1.635B
"Dec. 31, 2014",1.331B
"Sept. 30, 2014",1.233B
"June 30, 2014",1.224B
"March 31, 2014",1.201B
"Dec. 31, 2013",1.177B
"Sept. 30, 2013",353.91M
"June 30, 2013",363.08M
"March 31, 2013",369.29M
"Dec. 31, 2012",333.94M
"Sept. 30, 2012",283.14M
"June 30, 2012",248.39M
"March 31, 2012",237.52M
"Dec. 31, 2011",222.86M
"Sept. 30, 2011",248.35M
"June 30, 2011",308.25M
"March 31, 2011",251.36M
"Dec. 31, 2010",215.33M
"Sept. 30, 2010",211.61M
"June 30, 2010",184.52M
"March 31, 2010",186.27M
"Dec. 31, 2009",172.11M
"Sept. 30, 2009",154.40M
"June 30, 2009",148.13M
"March 31, 2009",138.39M
"Dec. 31, 2008",141.74M
"Sept. 30, 2008",137.11M
"June 30, 2008",154.02M
"March 31, 2008",156.77M
"Dec. 31, 2007",104.62M
"Sept. 30, 2007",63.50M
"June 30, 2007",41.33M
"March 31, 2007",8.029M
"Dec. 31, 2006",47.12M
"Sept. 30, 2006",107.78M
"June 30, 2006",93.80M
"March 31, 2006",103.75M
"Dec. 31, 2005",85.53M
"Sept. 30, 2005",74.12M
"June 30, 2005",52.45M
"March 31, 2005",77.92M
"Dec. 31, 2004",102.73M
"Sept. 30, 2004",41.65M
"June 30, 2004",95.04M
"March 31, 2004",106.45M
"Dec. 31, 2003",88.14M
"Sept. 30, 2003",160.22M
"June 30, 2003",195.30M
"March 31, 2003",161.27M
"Dec. 31, 2002",147.62M
"Sept. 30, 2002",171.30M
"June 30, 2002",135.46M
"March 31, 2002",155.94M
"Dec. 31, 2001",156.95M
"Sept. 30, 2001",128.48M
"June 30, 2001",104.38M
"March 31, 2001",73.15M
"Dec. 31, 2000",101.32M
"Sept. 30, 2000",86.63M
"June 30, 2000",112.53M
"March 31, 2000",105.77M
"Dec. 31, 1999",98.50M
"Sept. 30, 1999",111.00M
"June 30, 1999",91.10M
"March 31, 1999",111.10M
"Dec. 31, 1998",110.10M
"Sept. 30, 1998",123.20M
"June 30, 1998",139.90M
"March 31, 1998",149.20M
"Dec. 31, 1997",168.40M
"Sept. 30, 1997",142.00M
"June 30, 1997",153.10M
"March 31, 1997",159.00M
"Dec. 31, 1996",144.80M
"Sept. 30, 1996",154.00M
"June 30, 1996",138.70M
"March 31, 1996",157.30M
"Dec. 31, 1995",161.50M
"Sept. 30, 1995",172.70M
"June 30, 1995",168.40M
"March 31, 1995",150.20M
"Dec. 31, 1994",137.00M
