date,operating_margin_ttm
"Dec. 31, 2019",15.83%
"Sept. 30, 2019",16.20%
"June 30, 2019",16.29%
"March 31, 2019",16.67%
"Dec. 31, 2018",17.64%
"Sept. 30, 2018",18.03%
"June 30, 2018",18.04%
"March 31, 2018",18.58%
"Dec. 31, 2017",19.24%
"Sept. 30, 2017",20.32%
"June 30, 2017",20.04%
"March 31, 2017",20.83%
"Dec. 31, 2016",19.84%
"Sept. 30, 2016",17.13%
"June 30, 2016",17.33%
"March 31, 2016",14.10%
"Dec. 31, 2015",12.02%
"Sept. 30, 2015",17.73%
"June 30, 2015",17.80%
"March 31, 2015",19.02%
"Dec. 31, 2014",19.81%
"Sept. 30, 2014",18.43%
"June 30, 2014",18.46%
"March 31, 2014",18.69%
"Dec. 31, 2013",18.53%
"Sept. 30, 2013",15.60%
"June 30, 2013",15.47%
"March 31, 2013",15.40%
"Dec. 31, 2012",15.75%
"Sept. 30, 2012",14.70%
"June 30, 2012",14.38%
"March 31, 2012",14.32%
"Dec. 31, 2011",14.17%
"Sept. 30, 2011",14.29%
"June 30, 2011",15.62%
"March 31, 2011",16.27%
"Dec. 31, 2010",15.11%
"Sept. 30, 2010",14.61%
"June 30, 2010",14.39%
"March 31, 2010",14.36%
"Dec. 31, 2009",13.63%
"Sept. 30, 2009",13.92%
"June 30, 2009",13.76%
"March 31, 2009",12.98%
"Dec. 31, 2008",11.96%
"Sept. 30, 2008",10.86%
"June 30, 2008",10.76%
"March 31, 2008",10.03%
"Dec. 31, 2007",9.01%
"Sept. 30, 2007",8.09%
"June 30, 2007",7.93%
"March 31, 2007",8.31%
"Dec. 31, 2006",9.07%
"Sept. 30, 2006",9.84%
"June 30, 2006",9.45%
"March 31, 2006",9.11%
"Dec. 31, 2005",8.50%
"Sept. 30, 2005",12.32%
"June 30, 2005",11.07%
"March 31, 2005",10.64%
"Dec. 31, 2004",11.30%
"Sept. 30, 2004",9.33%
"June 30, 2004",9.78%
"March 31, 2004",9.50%
"Dec. 31, 2003",9.94%
"Sept. 30, 2003",9.63%
"June 30, 2003",10.39%
"March 31, 2003",11.33%
"Dec. 31, 2002",11.88%
"Sept. 30, 2002",12.14%
"June 30, 2002",12.83%
"March 31, 2002",13.62%
"Dec. 31, 2001",13.97%
"Sept. 30, 2001",-4.25%
"June 30, 2001",-5.03%
"March 31, 2001",-4.62%
"Dec. 31, 2000",-3.56%
"Sept. 30, 2000",18.97%
"June 30, 2000",21.56%
"March 31, 2000",22.04%
"Dec. 31, 1999",23.21%
"Sept. 30, 1999",22.76%
"June 30, 1999",23.02%
"March 31, 1999",21.94%
"Dec. 31, 1998",21.45%
"Sept. 30, 1998",21.48%
"June 30, 1998",21.71%
"March 31, 1998",20.53%
"Dec. 31, 1997",20.16%
"Sept. 30, 1997",21.06%
"June 30, 1997",19.32%
"March 31, 1997",21.02%
"Dec. 31, 1996",22.19%
"Sept. 30, 1996",23.33%
"June 30, 1996",26.51%
"March 31, 1996",26.54%
"Dec. 31, 1995",26.64%
"Sept. 30, 1995",26.40%
"June 30, 1995",25.96%
"March 31, 1995",25.82%
"Dec. 31, 1994",26.27%
"Sept. 30, 1994",44.65%
"June 30, 1994",63.07%
"March 31, 1994",81.19%
