date,long_term_debt
"Dec. 31, 2019",6.716B
"Sept. 30, 2019",6.718B
"June 30, 2019",6.282B
"March 31, 2019",5.487B
"Dec. 31, 2018",5.368B
"Sept. 30, 2018",5.096B
"June 30, 2018",5.261B
"March 31, 2018",5.16B
"Dec. 31, 2017",5.196B
"Sept. 30, 2017",4.767B
"June 30, 2017",4.773B
"March 31, 2017",4.507B
"Dec. 31, 2016",4.51B
"Sept. 30, 2016",4.399B
"June 30, 2016",4.507B
"March 31, 2016",4.519B
"Dec. 31, 2015",4.53B
"Sept. 30, 2015",1.730B
"June 30, 2015",1.759B
"March 31, 2015",1.710B
"Dec. 31, 2014",2.489B
"Sept. 30, 2014",1.714B
"June 30, 2014",1.721B
"March 31, 2014",1.723B
"Dec. 31, 2013",1.724B
"Sept. 30, 2013",1.592B
"June 30, 2013",1.598B
"March 31, 2013",1.599B
"Dec. 31, 2012",1.600B
"Sept. 30, 2012",1.623B
"June 30, 2012",1.645B
"March 31, 2012",1.547B
"Dec. 31, 2011",1.548B
"Sept. 30, 2011",1.551B
"June 30, 2011",1.508B
"March 31, 2011",1.510B
"Dec. 31, 2010",1.512B
"Sept. 30, 2010",
"June 30, 2010",676.24M
"March 31, 2010",675.46M
"Dec. 31, 2009",673.55M
"Sept. 30, 2009",604.19M
"June 30, 2009",594.44M
"March 31, 2009",569.69M
"Dec. 31, 2008",549.03M
"Sept. 30, 2008",475.03M
"June 30, 2008",475.03M
"March 31, 2008",475.03M
"Dec. 31, 2007",479.32M
"Sept. 30, 2007",504.32M
"June 30, 2007",404.32M
"March 31, 2007",404.32M
"Dec. 31, 2006",408.60M
"Sept. 30, 2006",482.60M
"June 30, 2006",482.60M
"March 31, 2006",482.60M
"Dec. 31, 2005",486.89M
"Sept. 30, 2005",486.89M
"June 30, 2005",486.89M
"March 31, 2005",489.41M
"Dec. 31, 2004",491.17M
"Sept. 30, 2004",491.17M
"June 30, 2004",491.17M
"March 31, 2004",491.17M
"Dec. 31, 2003",495.46M
"Sept. 30, 2003",395.45M
"June 30, 2003",395.45M
"March 31, 2003",395.44M
"Dec. 31, 2002",395.43M
"Sept. 30, 2002",500.56M
"June 30, 2002",518.44M
"March 31, 2002",513.73M
"Dec. 31, 2001",511.34M
"Sept. 30, 2001",598.54M
"June 30, 2001",598.52M
"March 31, 2001",598.50M
"Dec. 31, 2000",522.22M
"Sept. 30, 2000",522.20M
"June 30, 2000",522.18M
"March 31, 2000",522.16M
"Dec. 31, 1999",518.20M
"Sept. 30, 1999",518.20M
"June 30, 1999",518.20M
"March 31, 1999",643.20M
"Dec. 31, 1998",664.50M
"Sept. 30, 1998",564.60M
"June 30, 1998",564.60M
"March 31, 1998",644.60M
"Dec. 31, 1997",644.70M
"Sept. 30, 1997",728.60M
"June 30, 1997",655.10M
"March 31, 1997",659.70M
"Dec. 31, 1996",759.70M
"Sept. 30, 1996",780.60M
"June 30, 1996",788.10M
"March 31, 1996",780.50M
"Dec. 31, 1995",845.70M
"Sept. 30, 1995",847.60M
"June 30, 1995",697.60M
"March 31, 1995",697.60M
"Dec. 31, 1994",708.30M
"Sept. 30, 1994",759.20M
"June 30, 1994",759.20M
"March 31, 1994",759.20M
