date,cash_dividend_payout_ratio
"Dec. 31, 2019",-47.52%
"Sept. 30, 2019",-57.81%
"June 30, 2019",-72.46%
"March 31, 2019",-177.0%
"Dec. 31, 2018",13.42K%
"Sept. 30, 2018",-421.3%
"June 30, 2018",-192.8%
"March 31, 2018",-144.2%
"Dec. 31, 2017",-81.93%
"Sept. 30, 2017",-75.78%
"June 30, 2017",-102.5%
"March 31, 2017",-152.9%
"Dec. 31, 2016",-274.7%
"Sept. 30, 2016",160.8%
"June 30, 2016",51.34%
"March 31, 2016",0.00%
"Dec. 31, 2015",0.00%
"Sept. 30, 2015",15.70%
"June 30, 2015",12.28%
"March 31, 2015",8.00%
"Dec. 31, 2014",0.00%
"Sept. 30, 2014",2.40%
"June 30, 2014",1.70%
"March 31, 2014",0.95%
"Dec. 31, 2013",0.00%
"Sept. 30, 2013",158.2%
"June 30, 2013",115.7%
"March 31, 2013",109.2%
"Dec. 31, 2012",193.1%
"Sept. 30, 2012",-271.2%
"June 30, 2012",-136.8%
"March 31, 2012",-107.1%
"Dec. 31, 2011",-82.95%
"Sept. 30, 2011",-152.1%
"June 30, 2011",238.1%
"March 31, 2011",534.7%
"Dec. 31, 2010",439.2%
"Sept. 30, 2010",119.3%
"June 30, 2010",150.5%
"March 31, 2010",104.3%
"Dec. 31, 2009",98.24%
"Sept. 30, 2009",1.30K%
"June 30, 2009",-277.8%
"March 31, 2009",-88.36%
"Dec. 31, 2008",-58.74%
"Sept. 30, 2008",-42.92%
"June 30, 2008",-36.10%
"March 31, 2008",-39.39%
"Dec. 31, 2007",-22.60%
"Sept. 30, 2007",-33.42%
"June 30, 2007",-45.31%
"March 31, 2007",-42.46%
"Dec. 31, 2006",-178.4%
"Sept. 30, 2006",88.40%
"June 30, 2006",147.2%
"March 31, 2006",97.49%
"Dec. 31, 2005",162.0%
"Sept. 30, 2005",386.9%
"June 30, 2005",-806.2%
"March 31, 2005",169.9%
"Dec. 31, 2004",76.88%
"Sept. 30, 2004",387.0%
"June 30, 2004",71.76%
"March 31, 2004",68.21%
"Dec. 31, 2003",114.8%
"Sept. 30, 2003",39.14%
"June 30, 2003",28.93%
"March 31, 2003",46.21%
"Dec. 31, 2002",43.20%
"Sept. 30, 2002",36.34%
"June 30, 2002",49.93%
"March 31, 2002",39.12%
"Dec. 31, 2001",37.03%
"Sept. 30, 2001",0.04%
"June 30, 2001",0.04%
"March 31, 2001",49.99%
"Dec. 31, 2000",0.00%
"Sept. 30, 2000",108.7%
"June 30, 2000",56.69%
"March 31, 2000",75.55%
"Dec. 31, 1999",63.74%
"Sept. 30, 1999",61.24%
"June 30, 1999",86.02%
"March 31, 1999",40.16%
"Dec. 31, 1998",56.17%
"Sept. 30, 1998",40.87%
"June 30, 1998",50.62%
"March 31, 1998",33.14%
"Dec. 31, 1997",30.07%
"Sept. 30, 1997",40.68%
"June 30, 1997",19.77%
"March 31, 1997",37.79%
"Dec. 31, 1996",41.80%
"Sept. 30, 1996",41.07%
"June 30, 1996",47.71%
"March 31, 1996",41.68%
"Dec. 31, 1995",40.65%
"Sept. 30, 1995",36.15%
"June 30, 1995",39.98%
"March 31, 1995",60.30%
"Dec. 31, 1994",57.03%
