date,total_employee_number
"Dec. 31, 2019",6597
"Sept. 30, 2019",6500
"June 30, 2019",6500
"Dec. 31, 2018",6449
"Dec. 31, 2017",6578
"Sept. 30, 2017",6800
"June 30, 2017",6800
"Dec. 31, 2016",6801
"Dec. 31, 2015",6809
"Dec. 31, 2014",1902
"Dec. 31, 2013",1895
"Dec. 31, 2012",1865
"Dec. 31, 2011",1868
"Dec. 31, 2010",1824
"Dec. 31, 2009",1066
"Sept. 30, 2009",1039
"Dec. 31, 2008",1039
"Feb. 20, 2008",981
"Dec. 31, 2007",981
"Dec. 31, 2006",920
"Dec. 31, 2005",2865
"Dec. 31, 2004",2882
"Dec. 31, 2003",2912
"Dec. 31, 2002",2890
"Dec. 31, 2001",2589
"Dec. 31, 2000",2277
"Dec. 31, 1999",827
"Dec. 31, 1998",1193
"Dec. 31, 1997",1175
"Dec. 31, 1996",1287
"Dec. 31, 1995",1358
"Dec. 31, 1994",1377
"Dec. 31, 1993",1490
"Dec. 31, 1992",1554
"Dec. 31, 1991",1571
"Dec. 31, 1990",1587
"Dec. 31, 1989",1627
