date,cash_financing_ttm
"Dec. 31, 2019",1.261B
"Sept. 30, 2019",1.037B
"June 30, 2019",900.00M
"March 31, 2019",251.00M
"Dec. 31, 2018",-230.00M
"Sept. 30, 2018",-45.00M
"June 30, 2018",96.00M
"March 31, 2018",241.00M
"Dec. 31, 2017",528.00M
"Sept. 30, 2017",507.00M
"June 30, 2017",96.00M
"March 31, 2017",-140.00M
"Dec. 31, 2016",-372.00M
"Sept. 30, 2016",-712.00M
"June 30, 2016",-513.00M
"March 31, 2016",-182.00M
"Dec. 31, 2015",102.00M
"Sept. 30, 2015",111.57M
"June 30, 2015",82.14M
"March 31, 2015",-91.57M
"Dec. 31, 2014",-180.00M
"Sept. 30, 2014",-172.32M
"June 30, 2014",-106.81M
"March 31, 2014",-112.90M
"Dec. 31, 2013",-144.00M
"Sept. 30, 2013",-36.98M
"June 30, 2013",-48.97M
"March 31, 2013",-54.93M
"Dec. 31, 2012",-40.82M
"Sept. 30, 2012",22.78M
"June 30, 2012",56.35M
"March 31, 2012",56.02M
"Dec. 31, 2011",43.89M
"Sept. 30, 2011",402.95M
"June 30, 2011",843.78M
"March 31, 2011",887.39M
"Dec. 31, 2010",941.96M
"Sept. 30, 2010",516.31M
"June 30, 2010",10.13M
"March 31, 2010",-2.349M
"Dec. 31, 2009",22.81M
"Sept. 30, 2009",54.03M
"June 30, 2009",74.42M
"March 31, 2009",111.54M
"Dec. 31, 2008",112.63M
"Sept. 30, 2008",81.12M
"June 30, 2008",106.52M
"March 31, 2008",73.11M
"Dec. 31, 2007",79.95M
"Sept. 30, 2007",60.12M
"June 30, 2007",6.265M
"March 31, 2007",4.634M
"Dec. 31, 2006",-68.59M
"Sept. 30, 2006",-57.77M
"June 30, 2006",-56.82M
"March 31, 2006",-64.94M
"Dec. 31, 2005",-28.84M
"Sept. 30, 2005",-24.84M
"June 30, 2005",-24.61M
"March 31, 2005",-89.42M
"Dec. 31, 2004",-92.73M
"Sept. 30, 2004",-83.54M
"June 30, 2004",-93.41M
"March 31, 2004",-13.25M
"Dec. 31, 2003",-28.86M
"Sept. 30, 2003",-191.89M
"June 30, 2003",-202.70M
"March 31, 2003",-213.04M
"Dec. 31, 2002",-209.95M
"Sept. 30, 2002",-58.07M
"June 30, 2002",-48.92M
"March 31, 2002",-69.37M
"Dec. 31, 2001",-42.99M
"Sept. 30, 2001",-21.45M
"June 30, 2001",5.166M
"March 31, 2001",22.78M
"Dec. 31, 2000",-23.42M
"Sept. 30, 2000",-61.19M
"June 30, 2000",-82.19M
"March 31, 2000",-245.17M
"Dec. 31, 1999",-307.40M
"Sept. 30, 1999",-234.70M
"June 30, 1999",-234.80M
"March 31, 1999",-78.30M
"Dec. 31, 1998",-11.10M
"Sept. 30, 1998",-140.80M
"June 30, 1998",-96.30M
"March 31, 1998",-109.20M
"Dec. 31, 1997",-74.80M
"Sept. 30, 1997",21.50M
"June 30, 1997",-60.70M
"March 31, 1997",-23.60M
"Dec. 31, 1996",-25.20M
"Sept. 30, 1996",-105.60M
"June 30, 1996",-88.40M
"March 31, 1996",-110.10M
"Dec. 31, 1995",-108.50M
"Sept. 30, 1995",-95.90M
"June 30, 1995",-74.00M
"March 31, 1995",-81.20M
"Dec. 31, 1994",-110.70M
