date,cash_on_hand
"Dec. 31, 2019",178.00M
"Sept. 30, 2019",103.00M
"June 30, 2019",166.00M
"March 31, 2019",33.00M
"Dec. 31, 2018",36.00M
"Sept. 30, 2018",32.00M
"June 30, 2018",52.00M
"March 31, 2018",40.00M
"Dec. 31, 2017",41.00M
"Sept. 30, 2017",27.00M
"June 30, 2017",36.00M
"March 31, 2017",30.00M
"Dec. 31, 2016",91.00M
"Sept. 30, 2016",182.00M
"June 30, 2016",396.00M
"March 31, 2016",403.00M
"Dec. 31, 2015",427.00M
"Sept. 30, 2015",83.72M
"June 30, 2015",179.13M
"March 31, 2015",80.12M
"Dec. 31, 2014",482.00M
"Sept. 30, 2014",102.80M
"June 30, 2014",175.61M
"March 31, 2014",137.37M
"Dec. 31, 2013",69.15M
"Sept. 30, 2013",18.70M
"June 30, 2013",24.57M
"March 31, 2013",20.85M
"Dec. 31, 2012",17.86M
"Sept. 30, 2012",15.20M
"June 30, 2012",12.19M
"March 31, 2012",48.30M
"Dec. 31, 2011",31.00M
"Sept. 30, 2011",26.30M
"June 30, 2011",23.66M
"March 31, 2011",33.96M
"Dec. 31, 2010",90.28M
"Sept. 30, 2010",
"June 30, 2010",21.26M
"March 31, 2010",14.72M
"Dec. 31, 2009",15.27M
"Sept. 30, 2009",9.466M
"June 30, 2009",12.29M
"March 31, 2009",25.54M
"Dec. 31, 2008",7.73M
"Sept. 30, 2008",26.61M
"June 30, 2008",29.70M
"March 31, 2008",17.12M
"Dec. 31, 2007",13.36M
"Sept. 30, 2007",52.87M
"June 30, 2007",32.19M
"March 31, 2007",41.26M
"Dec. 31, 2006",63.73M
"Sept. 30, 2006",107.81M
"June 30, 2006",101.66M
"March 31, 2006",121.43M
"Dec. 31, 2005",28.86M
"Sept. 30, 2005",5.011M
"June 30, 2005",13.95M
"March 31, 2005",26.47M
"Dec. 31, 2004",40.16M
"Sept. 30, 2004",34.02M
"June 30, 2004",90.11M
"March 31, 2004",29.04M
"Dec. 31, 2003",28.61M
"Sept. 30, 2003",91.42M
"June 30, 2003",59.19M
"March 31, 2003",79.08M
"Dec. 31, 2002",18.91M
"Sept. 30, 2002",72.03M
"June 30, 2002",36.70M
"March 31, 2002",56.00M
"Dec. 31, 2001",86.10M
"Sept. 30, 2001",59.00M
"June 30, 2001",42.81M
"March 31, 2001",46.47M
"Dec. 31, 2000",47.44M
"Sept. 30, 2000",8.446M
"June 30, 2000",5.33M
"March 31, 2000",21.95M
"Dec. 31, 1999",39.10M
"Sept. 30, 1999",18.00M
"June 30, 1999",23.20M
"March 31, 1999",19.00M
"Dec. 31, 1998",97.70M
"Sept. 30, 1998",13.30M
"June 30, 1998",15.00M
"March 31, 1998",16.30M
"Dec. 31, 1997",32.00M
"Sept. 30, 1997",86.70M
"June 30, 1997",17.30M
"March 31, 1997",29.70M
"Dec. 31, 1996",6.40M
"Sept. 30, 1996",36.20M
"June 30, 1996",45.70M
"March 31, 1996",15.80M
"Dec. 31, 1995",5.10M
"Sept. 30, 1995",42.60M
"June 30, 1995",49.00M
"March 31, 1995",27.30M
"Dec. 31, 1994",11.40M
"Sept. 30, 1994",22.80M
"June 30, 1994",17.40M
"March 31, 1994",21.00M
