date,tangible_common_equity_ratio
"Dec. 31, 2019",38.10%
"Sept. 30, 2019",38.89%
"June 30, 2019",39.37%
"March 31, 2019",40.16%
"Dec. 31, 2018",40.58%
"Sept. 30, 2018",41.25%
"June 30, 2018",41.83%
"March 31, 2018",41.80%
"Dec. 31, 2017",41.19%
"Sept. 30, 2017",40.87%
"June 30, 2017",41.58%
"March 31, 2017",41.75%
"Dec. 31, 2016",41.72%
"Sept. 30, 2016",42.23%
"June 30, 2016",42.59%
"March 31, 2016",42.60%
"Dec. 31, 2015",42.04%
"Sept. 30, 2015",22.87%
"June 30, 2015",22.91%
"March 31, 2015",23.39%
"Dec. 31, 2014",47.37%
"Sept. 30, 2014",23.80%
"June 30, 2014",22.87%
"March 31, 2014",23.00%
"Dec. 31, 2013",22.30%
"Sept. 30, 2013",18.77%
"June 30, 2013",19.07%
"March 31, 2013",18.78%
"Dec. 31, 2012",17.89%
"Sept. 30, 2012",18.88%
"June 30, 2012",19.40%
"March 31, 2012",19.52%
"Dec. 31, 2011",18.48%
"Sept. 30, 2011",18.49%
"June 30, 2011",19.14%
"March 31, 2011",19.56%
"Dec. 31, 2010",18.58%
"Sept. 30, 2010",
"June 30, 2010",26.35%
"March 31, 2010",26.75%
"Dec. 31, 2009",25.84%
"Sept. 30, 2009",26.83%
"June 30, 2009",26.83%
"March 31, 2009",22.50%
"Dec. 31, 2008",22.78%
"Sept. 30, 2008",24.71%
"June 30, 2008",24.73%
"March 31, 2008",25.35%
"Dec. 31, 2007",26.14%
"Sept. 30, 2007",26.01%
"June 30, 2007",27.30%
"March 31, 2007",27.50%
"Dec. 31, 2006",28.23%
"Sept. 30, 2006",29.65%
"June 30, 2006",29.06%
"March 31, 2006",28.88%
"Dec. 31, 2005",30.27%
"Sept. 30, 2005",27.54%
"June 30, 2005",27.40%
"March 31, 2005",27.71%
"Dec. 31, 2004",27.83%
"Sept. 30, 2004",27.87%
"June 30, 2004",26.63%
"March 31, 2004",23.00%
"Dec. 31, 2003",23.19%
"Sept. 30, 2003",23.17%
"June 30, 2003",23.09%
"March 31, 2003",23.14%
"Dec. 31, 2002",24.06%
"Sept. 30, 2002",24.39%
"June 30, 2002",24.10%
"March 31, 2002",24.42%
"Dec. 31, 2001",24.25%
"Sept. 30, 2001",23.76%
"June 30, 2001",23.38%
"March 31, 2001",23.07%
"Dec. 31, 2000",23.53%
"Sept. 30, 2000",26.00%
"June 30, 2000",25.71%
"March 31, 2000",26.07%
"Dec. 31, 1999",25.49%
"Sept. 30, 1999",27.32%
"June 30, 1999",26.90%
"March 31, 1999",24.94%
"Dec. 31, 1998",22.95%
"Sept. 30, 1998",25.35%
"June 30, 1998",24.46%
"March 31, 1998",24.63%
"Dec. 31, 1997",23.35%
"Sept. 30, 1997",22.33%
"June 30, 1997",22.83%
"March 31, 1997",22.37%
"Dec. 31, 1996",22.44%
"Sept. 30, 1996",22.58%
"June 30, 1996",21.96%
"March 31, 1996",22.19%
"Dec. 31, 1995",22.16%
"Sept. 30, 1995",21.58%
"June 30, 1995",20.38%
"March 31, 1995",20.46%
"Dec. 31, 1994",20.63%
"Sept. 30, 1994",20.85%
"June 30, 1994",20.13%
"March 31, 1994",20.27%
