Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
03/05/2020,03/06/2020,04/01/2020,02/19/2020,Normal,0.44
12/11/2019,12/12/2019,01/02/2020,12/02/2019,Normal,0.44
09/05/2019,09/06/2019,10/01/2019,07/16/2019,Normal,0.44
06/06/2019,06/07/2019,07/01/2019,04/10/2019,Normal,0.44
03/07/2019,03/08/2019,04/01/2019,02/13/2019,Normal,0.44
12/10/2018,12/11/2018,01/02/2019,12/01/2018,Normal,0.44
09/06/2018,09/07/2018,10/01/2018,07/12/2018,Normal,0.44
06/07/2018,06/08/2018,07/02/2018,04/25/2018,Normal,0.432
03/08/2018,03/09/2018,04/02/2018,02/15/2018,Normal,0.432
12/08/2017,12/11/2017,01/02/2018,12/01/2017,Normal,0.432
09/07/2017,09/08/2017,10/02/2017,07/06/2017,Normal,0.432
06/07/2017,06/09/2017,07/03/2017,04/21/2017,Normal,0.432
03/08/2017,03/10/2017,04/03/2017,02/16/2017,Normal,0.432
12/08/2016,12/12/2016,01/03/2017,12/02/2016,Normal,0.432
09/07/2016,09/09/2016,10/03/2016,07/15/2016,Normal,0.432
06/08/2016,06/10/2016,07/01/2016,04/21/2016,Normal,0.432
03/08/2016,03/10/2016,04/01/2016,02/22/2016,Normal,0.432
