date,revenue_per_employee_annual
"Dec. 31, 2019",971638.8
"Dec. 31, 2018",994549.8
"Dec. 31, 2017",891397.0
"Dec. 31, 2016",884349.7
"Dec. 31, 2015",1.003M
"Dec. 31, 2014",2.420M
"Dec. 31, 2013",2.294M
"Dec. 31, 2012",796410.9
"Dec. 31, 2011",850538.5
"Dec. 31, 2010",690426.3
"Dec. 31, 2009",851829.0
"Dec. 31, 2008",939326.7
"Dec. 31, 2007",1.033M
"Dec. 31, 2006",447408.7
"Dec. 31, 2005",282726.3
"Dec. 31, 2004",263753.9
"Dec. 31, 2003",332187.9
"Dec. 31, 2002",378753.8
"Dec. 31, 2001",422301.7
"Dec. 31, 2000",454053.5
"Dec. 31, 1999",673267.3
"Dec. 31, 1998",579560.8
"Dec. 31, 1997",577010.6
"Dec. 31, 1996",548960.3
"Dec. 31, 1995",504862.9
"Dec. 31, 1994",458109.5
"Dec. 31, 1993",429040.7
"Dec. 31, 1992",427072.0
"Dec. 31, 1991",426472.5
"Dec. 31, 1990",369446.2
