date,one_year_return
"March 19, 2020",-4.54%
"March 18, 2020",1.35%
"March 17, 2020",1.41%
"March 16, 2020",-13.69%
"March 13, 2020",-7.46%
"March 12, 2020",-13.76%
"March 11, 2020",-2.58%
"March 10, 2020",3.13%
"March 9, 2020",3.33%
"March 6, 2020",5.71%
"March 5, 2020",8.06%
"March 4, 2020",10.95%
"March 3, 2020",6.14%
"March 2, 2020",6.75%
"Feb. 28, 2020",2.77%
"Feb. 27, 2020",2.66%
"Feb. 26, 2020",6.47%
"Feb. 25, 2020",14.48%
"Feb. 24, 2020",14.82%
"Feb. 21, 2020",14.60%
"Feb. 20, 2020",14.57%
"Feb. 19, 2020",7.41%
"Feb. 18, 2020",8.43%
"Feb. 14, 2020",6.76%
"Feb. 13, 2020",6.25%
"Feb. 12, 2020",4.48%
"Feb. 11, 2020",4.61%
"Feb. 10, 2020",4.69%
"Feb. 7, 2020",5.05%
"Feb. 6, 2020",6.76%
"Feb. 5, 2020",6.38%
"Feb. 4, 2020",6.88%
"Feb. 3, 2020",7.98%
"Jan. 31, 2020",6.80%
"Jan. 30, 2020",9.37%
"Jan. 29, 2020",10.00%
"Jan. 28, 2020",9.89%
"Jan. 27, 2020",6.90%
"Jan. 24, 2020",5.11%
"Jan. 23, 2020",4.57%
"Jan. 22, 2020",4.80%
"Jan. 21, 2020",4.70%
"Jan. 17, 2020",3.79%
"Jan. 16, 2020",3.96%
"Jan. 15, 2020",4.98%
"Jan. 14, 2020",6.34%
"Jan. 13, 2020",3.63%
"Jan. 10, 2020",2.33%
"Jan. 9, 2020",3.87%
"Jan. 8, 2020",2.19%
"Jan. 7, 2020",4.46%
"Jan. 6, 2020",2.99%
"Jan. 3, 2020",4.94%
"Jan. 2, 2020",4.35%
"Dec. 31, 2019",2.14%
"Dec. 30, 2019",2.13%
"Dec. 27, 2019",2.29%
"Dec. 26, 2019",2.33%
"Dec. 24, 2019",3.03%
"Dec. 23, 2019",0.61%
"Dec. 20, 2019",0.62%
"Dec. 19, 2019",0.37%
"Dec. 18, 2019",0.33%
"Dec. 17, 2019",-1.07%
"Dec. 16, 2019",-5.73%
"Dec. 13, 2019",-6.71%
"Dec. 12, 2019",-5.69%
"Dec. 11, 2019",-6.72%
"Dec. 10, 2019",-5.79%
"Dec. 9, 2019",-6.49%
"Dec. 6, 2019",-5.67%
"Dec. 5, 2019",-3.41%
"Dec. 4, 2019",-3.39%
"Dec. 3, 2019",-4.64%
"Dec. 2, 2019",-4.55%
"Nov. 29, 2019",-2.04%
"Nov. 27, 2019",-0.81%
"Nov. 26, 2019",-0.14%
"Nov. 25, 2019",-1.34%
"Nov. 22, 2019",-1.89%
"Nov. 21, 2019",-1.04%
"Nov. 20, 2019",-3.50%
"Nov. 19, 2019",-4.15%
"Nov. 18, 2019",-2.28%
"Nov. 15, 2019",-1.52%
"Nov. 14, 2019",-2.38%
"Nov. 13, 2019",-2.79%
"Nov. 12, 2019",-2.16%
"Nov. 11, 2019",-1.35%
"Nov. 8, 2019",0.29%
"Nov. 7, 2019",-0.23%
"Nov. 6, 2019",2.91%
"Nov. 5, 2019",4.37%
"Nov. 4, 2019",5.17%
"Nov. 1, 2019",4.97%
"Oct. 31, 2019",6.47%
"Oct. 30, 2019",4.35%
"Oct. 29, 2019",5.04%
"Oct. 28, 2019",4.26%
"Oct. 25, 2019",4.76%
"Oct. 24, 2019",4.03%
"Oct. 23, 2019",6.81%
"Oct. 22, 2019",4.72%
"Oct. 21, 2019",4.48%
"Oct. 18, 2019",4.85%
"Oct. 17, 2019",4.87%
"Oct. 16, 2019",4.86%
"Oct. 15, 2019",6.47%
"Oct. 14, 2019",7.30%
"Oct. 11, 2019",8.04%
"Oct. 10, 2019",6.12%
"Oct. 9, 2019",5.74%
"Oct. 8, 2019",6.65%
"Oct. 7, 2019",8.31%
"Oct. 4, 2019",10.60%
"Oct. 3, 2019",8.79%
"Oct. 2, 2019",6.81%
"Oct. 1, 2019",9.03%
"Sept. 30, 2019",9.01%
"Sept. 27, 2019",10.44%
"Sept. 26, 2019",10.72%
"Sept. 25, 2019",9.32%
"Sept. 24, 2019",7.72%
"Sept. 23, 2019",5.50%
"Sept. 20, 2019",4.97%
"Sept. 19, 2019",4.55%
"Sept. 18, 2019",2.57%
"Sept. 17, 2019",2.49%
"Sept. 16, 2019",2.27%
"Sept. 13, 2019",1.93%
"Sept. 12, 2019",2.70%
"Sept. 11, 2019",2.48%
"Sept. 10, 2019",0.50%
"Sept. 9, 2019",-0.46%
"Sept. 6, 2019",-0.16%
"Sept. 5, 2019",0.50%
"Sept. 4, 2019",4.60%
"Sept. 3, 2019",4.30%
"Aug. 30, 2019",1.32%
"Aug. 29, 2019",0.24%
"Aug. 28, 2019",-0.81%
"Aug. 27, 2019",-0.90%
"Aug. 26, 2019",-1.60%
"Aug. 23, 2019",-1.73%
"Aug. 22, 2019",-0.18%
"Aug. 21, 2019",-1.52%
"Aug. 20, 2019",-2.60%
"Aug. 19, 2019",-1.90%
"Aug. 16, 2019",-1.32%
"Aug. 15, 2019",-1.09%
"Aug. 14, 2019",-2.10%
"Aug. 13, 2019",-0.08%
"Aug. 12, 2019",-1.63%
"Aug. 9, 2019",-0.45%
"Aug. 8, 2019",1.22%
"Aug. 7, 2019",-0.60%
"Aug. 6, 2019",-0.69%
"Aug. 5, 2019",-3.15%
"Aug. 2, 2019",-0.67%
"Aug. 1, 2019",2.10%
"July 31, 2019",0.98%
"July 30, 2019",1.80%
"July 29, 2019",-0.14%
"July 26, 2019",-1.69%
"July 25, 2019",-1.78%
"July 24, 2019",-2.99%
"July 23, 2019",-7.21%
"July 22, 2019",-6.85%
"July 19, 2019",-6.91%
"July 18, 2019",-5.16%
"July 17, 2019",-6.08%
"July 16, 2019",-6.77%
"July 15, 2019",-6.24%
"July 12, 2019",-5.36%
"July 11, 2019",-3.31%
"July 10, 2019",-2.88%
"July 9, 2019",-2.72%
"July 8, 2019",-5.65%
"July 5, 2019",-4.81%
"July 3, 2019",-4.52%
"July 2, 2019",-4.24%
"July 1, 2019",-4.76%
"June 28, 2019",-3.97%
"June 27, 2019",-3.62%
"June 26, 2019",-2.68%
"June 25, 2019",-1.77%
"June 24, 2019",-0.10%
"June 21, 2019",1.49%
"June 20, 2019",1.22%
"June 19, 2019",-0.29%
"June 18, 2019",0.14%
"June 17, 2019",1.70%
"June 14, 2019",2.33%
"June 13, 2019",3.33%
"June 12, 2019",2.29%
"June 11, 2019",2.11%
"June 10, 2019",1.51%
"June 7, 2019",2.46%
"June 6, 2019",2.60%
"June 5, 2019",0.25%
"June 4, 2019",-2.03%
"June 3, 2019",-2.12%
"May 31, 2019",-5.71%
"May 30, 2019",-6.67%
"May 29, 2019",-6.41%
"May 28, 2019",-5.32%
"May 24, 2019",-4.79%
"May 23, 2019",-4.62%
"May 22, 2019",-2.29%
"May 21, 2019",-3.19%
"May 20, 2019",-2.35%
"May 17, 2019",-2.55%
"May 16, 2019",-3.07%
"May 15, 2019",-3.54%
"May 14, 2019",-4.60%
"May 13, 2019",-4.16%
"May 10, 2019",-4.83%
"May 9, 2019",-5.56%
"May 8, 2019",-6.84%
"May 7, 2019",-7.46%
"May 6, 2019",-7.45%
"May 3, 2019",-5.34%
"May 2, 2019",-5.39%
"May 1, 2019",-4.43%
"April 30, 2019",-2.85%
"April 29, 2019",-3.52%
"April 26, 2019",-3.55%
"April 25, 2019",0.55%
"April 24, 2019",1.66%
"April 23, 2019",2.51%
"April 22, 2019",2.58%
"April 18, 2019",0.47%
"April 17, 2019",-0.52%
"April 16, 2019",0.80%
"April 15, 2019",3.40%
"April 12, 2019",3.77%
"April 11, 2019",1.07%
"April 10, 2019",1.09%
"April 9, 2019",-0.51%
"April 8, 2019",-0.86%
"April 5, 2019",-1.37%
"April 4, 2019",-1.83%
"April 3, 2019",-1.76%
"April 2, 2019",-1.04%
"April 1, 2019",-1.98%
"March 29, 2019",-1.51%
"March 28, 2019",-1.46%
"March 27, 2019",-0.47%
"March 26, 2019",1.39%
"March 25, 2019",1.93%
"March 22, 2019",0.26%
"March 21, 2019",-0.22%
"March 20, 2019",-1.77%
"March 19, 2019",-1.87%
"March 18, 2019",-0.70%
"March 15, 2019",-0.76%
"March 14, 2019",-0.28%
"March 13, 2019",0.84%
"March 12, 2019",1.48%
"March 11, 2019",1.39%
"March 8, 2019",0.44%
"March 7, 2019",-0.33%
"March 6, 2019",0.23%
"March 5, 2019",-1.21%
"March 4, 2019",1.12%
"March 1, 2019",0.79%
"Feb. 28, 2019",-0.35%
"Feb. 27, 2019",-0.49%
"Feb. 26, 2019",-1.58%
"Feb. 25, 2019",-1.09%
"Feb. 22, 2019",1.25%
