date,momentum_fractile
"Feb. 29, 2020",7.00
"Jan. 31, 2020",5.00
"Dec. 31, 2019",5.00
"Nov. 30, 2019",6.00
"Oct. 31, 2019",8.00
"Sept. 30, 2019",8.00
"Aug. 31, 2019",7.00
"July 31, 2019",6.00
"June 30, 2019",6.00
"May 31, 2019",6.00
"April 30, 2019",7.00
"March 31, 2019",7.00
"Feb. 28, 2019",8.00
"Jan. 31, 2019",8.00
"Dec. 31, 2018",6.00
"Nov. 30, 2018",6.00
"Oct. 31, 2018",6.00
"Sept. 30, 2018",5.00
"Aug. 31, 2018",7.00
"July 31, 2018",8.00
"June 30, 2018",8.00
"May 31, 2018",8.00
"April 30, 2018",8.00
"Feb. 28, 2018",8.00
"Jan. 31, 2018",8.00
"Dec. 31, 2017",9.00
"Nov. 30, 2017",8.00
"Oct. 31, 2017",6.00
"Sept. 30, 2017",7.00
"Aug. 31, 2017",5.00
"July 31, 2017",4.00
"June 30, 2017",6.00
"May 31, 2017",5.00
"April 30, 2017",5.00
"March 31, 2017",5.00
"Feb. 28, 2017",4.00
"Jan. 31, 2017",5.00
