date,forward_pe_ratio_1y
"March 19, 2020",18.91
"March 18, 2020",20.41
"March 17, 2020",20.44
"March 16, 2020",17.40
"March 13, 2020",18.64
"March 12, 2020",17.37
"March 11, 2020",19.36
"March 10, 2020",20.27
"March 9, 2020",20.31
"March 6, 2020",20.86
"March 5, 2020",21.23
"March 4, 2020",21.94
"March 3, 2020",20.60
"March 2, 2020",20.72
"Feb. 28, 2020",19.80
"Feb. 27, 2020",19.83
"Feb. 26, 2020",20.66
"Feb. 25, 2020",22.43
"Feb. 24, 2020",22.54
"Feb. 21, 2020",22.33
"Feb. 20, 2020",22.14
"Feb. 19, 2020",21.90
"Feb. 18, 2020",21.87
"Feb. 14, 2020",21.46
"Feb. 13, 2020",21.35
"Feb. 12, 2020",21.01
"Feb. 11, 2020",21.07
"Feb. 10, 2020",21.07
"Feb. 7, 2020",20.97
"Feb. 6, 2020",21.08
"Feb. 5, 2020",21.11
"Feb. 4, 2020",21.16
"Feb. 3, 2020",21.34
"Jan. 31, 2020",21.22
"Jan. 30, 2020",21.44
"Jan. 29, 2020",21.35
"Jan. 28, 2020",21.25
"Jan. 27, 2020",20.93
"Jan. 24, 2020",20.80
"Jan. 23, 2020",20.60
"Jan. 22, 2020",20.44
"Jan. 21, 2020",20.51
"Jan. 17, 2020",20.39
"Jan. 16, 2020",20.29
"Jan. 15, 2020",20.33
"Jan. 14, 2020",20.23
"Jan. 13, 2020",20.22
"Jan. 10, 2020",20.12
"Jan. 9, 2020",20.22
"Jan. 8, 2020",20.05
"Jan. 7, 2020",20.15
"Jan. 6, 2020",20.20
"Jan. 3, 2020",20.29
"Jan. 2, 2020",20.24
"Dec. 31, 2019",20.38
"Dec. 30, 2019",22.72
"Dec. 27, 2019",22.74
"Dec. 26, 2019",22.58
"Dec. 24, 2019",22.61
"Dec. 23, 2019",22.94
"Dec. 20, 2019",23.13
"Dec. 19, 2019",22.82
"Dec. 18, 2019",22.91
"Dec. 17, 2019",22.65
"Dec. 16, 2019",22.34
"Dec. 13, 2019",22.04
"Dec. 12, 2019",21.84
"Dec. 11, 2019",21.76
"Dec. 10, 2019",21.86
"Dec. 9, 2019",21.74
"Dec. 6, 2019",21.82
"Dec. 5, 2019",21.90
"Dec. 4, 2019",21.90
"Dec. 3, 2019",21.66
"Dec. 2, 2019",21.47
"Nov. 29, 2019",21.67
"Nov. 27, 2019",21.89
"Nov. 26, 2019",21.89
"Nov. 25, 2019",21.67
"Nov. 22, 2019",21.54
"Nov. 21, 2019",21.73
"Nov. 20, 2019",21.76
"Nov. 19, 2019",21.66
"Nov. 18, 2019",21.82
"Nov. 15, 2019",21.76
"Nov. 14, 2019",21.76
"Nov. 13, 2019",21.76
"Nov. 12, 2019",21.47
"Nov. 11, 2019",21.54
"Nov. 8, 2019",21.60
"Nov. 7, 2019",21.76
"Nov. 6, 2019",22.09
"Nov. 5, 2019",22.08
"Nov. 4, 2019",22.08
"Nov. 1, 2019",22.34
"Oct. 31, 2019",22.34
"Oct. 30, 2019",22.05
"Oct. 29, 2019",22.32
"Oct. 28, 2019",22.16
"Oct. 25, 2019",22.40
"Oct. 24, 2019",22.81
"Oct. 23, 2019",22.89
"Oct. 22, 2019",22.77
"Oct. 21, 2019",22.68
"Oct. 18, 2019",22.50
"Oct. 17, 2019",22.30
"Oct. 16, 2019",22.16
"Oct. 15, 2019",22.12
"Oct. 14, 2019",22.12
"Oct. 11, 2019",22.26
"Oct. 10, 2019",22.29
"Oct. 9, 2019",22.54
"Oct. 8, 2019",22.63
"Oct. 7, 2019",22.76
"Oct. 4, 2019",23.01
"Oct. 3, 2019",22.77
"Oct. 2, 2019",22.97
"Oct. 1, 2019",23.18
"Sept. 30, 2019",23.33
"Sept. 27, 2019",23.32
"Sept. 26, 2019",23.23
"Sept. 25, 2019",23.21
"Sept. 24, 2019",23.25
"Sept. 23, 2019",23.14
"Sept. 20, 2019",23.02
"Sept. 19, 2019",22.89
"Sept. 18, 2019",22.85
"Sept. 17, 2019",22.77
"Sept. 16, 2019",22.70
"Sept. 13, 2019",22.68
"Sept. 12, 2019",22.75
"Sept. 11, 2019",22.68
"Sept. 10, 2019",22.30
"Sept. 9, 2019",22.12
"Sept. 6, 2019",22.42
"Sept. 5, 2019",22.60
"Sept. 4, 2019",23.17
"Sept. 3, 2019",22.97
"Aug. 30, 2019",22.56
"Aug. 29, 2019",22.38
"Aug. 28, 2019",21.97
"Aug. 27, 2019",22.01
"Aug. 26, 2019",22.01
"Aug. 23, 2019",21.84
"Aug. 22, 2019",22.10
"Aug. 21, 2019",22.00
"Aug. 20, 2019",21.95
"Aug. 19, 2019",22.08
"Aug. 16, 2019",22.00
"Aug. 15, 2019",21.83
"Aug. 14, 2019",21.62
"Aug. 13, 2019",22.04
"Aug. 12, 2019",22.10
"Aug. 9, 2019",22.49
"Aug. 8, 2019",22.68
"Aug. 7, 2019",22.36
"Aug. 6, 2019",22.49
"Aug. 5, 2019",21.97
"Aug. 2, 2019",22.40
"Aug. 1, 2019",22.78
"July 31, 2019",22.57
"July 30, 2019",22.46
"July 29, 2019",22.15
"July 26, 2019",21.86
"July 25, 2019",21.87
"July 24, 2019",21.69
"July 23, 2019",21.65
"July 22, 2019",21.81
"July 19, 2019",21.95
"July 18, 2019",22.22
"July 17, 2019",22.13
"July 16, 2019",22.05
"July 15, 2019",22.14
"July 12, 2019",22.29
"July 11, 2019",22.79
"July 10, 2019",22.86
"July 9, 2019",22.68
"July 8, 2019",22.80
"July 5, 2019",22.81
"July 3, 2019",22.72
"July 2, 2019",22.71
"July 1, 2019",22.51
"June 30, 2019",
"June 28, 2019",22.55
"June 27, 2019",22.45
"June 26, 2019",22.54
"June 25, 2019",22.85
"June 24, 2019",22.97
"June 21, 2019",23.14
"June 20, 2019",23.05
"June 19, 2019",22.88
"June 18, 2019",22.71
"June 17, 2019",22.93
"June 14, 2019",22.97
"June 13, 2019",22.98
"June 12, 2019",22.90
"June 11, 2019",22.65
"June 10, 2019",22.87
"June 7, 2019",23.05
"June 6, 2019",23.10
"June 5, 2019",23.07
"June 4, 2019",22.66
"June 3, 2019",22.84
"May 31, 2019",22.35
"May 30, 2019",22.13
"May 29, 2019",22.23
"May 28, 2019",22.58
"May 24, 2019",22.69
"May 23, 2019",22.59
"May 22, 2019",22.51
"May 21, 2019",22.37
"May 20, 2019",22.44
"May 17, 2019",22.39
"May 16, 2019",22.39
"May 15, 2019",22.37
"May 14, 2019",22.33
"May 13, 2019",22.51
"May 10, 2019",22.28
"May 9, 2019",21.91
"May 8, 2019",21.89
"May 7, 2019",22.31
"May 6, 2019",22.42
"May 3, 2019",22.72
"May 2, 2019",22.55
"May 1, 2019",22.65
"April 30, 2019",22.86
"April 29, 2019",22.62
"April 26, 2019",22.80
"April 25, 2019",22.89
"April 24, 2019",23.50
"April 23, 2019",23.37
"April 22, 2019",23.23
"April 18, 2019",23.04
"April 17, 2019",22.93
"April 16, 2019",22.92
"April 15, 2019",23.11
"April 12, 2019",22.98
"April 11, 2019",22.79
"April 10, 2019",22.72
"April 9, 2019",22.64
"April 8, 2019",22.56
"April 5, 2019",22.55
"April 4, 2019",22.28
"April 3, 2019",22.43
"April 2, 2019",22.44
"April 1, 2019",22.37
"March 31, 2019",
"March 29, 2019",22.48
"March 28, 2019",22.33
"March 27, 2019",22.46
"March 26, 2019",22.53
"March 25, 2019",22.40
"March 22, 2019",22.34
"March 21, 2019",22.04
"March 20, 2019",21.79
"March 19, 2019",21.74
"March 18, 2019",22.10
"March 15, 2019",22.12
"March 14, 2019",22.07
"March 13, 2019",22.10
"March 12, 2019",22.10
"March 11, 2019",21.80
"March 8, 2019",21.56
"March 7, 2019",21.47
"March 6, 2019",21.65
"March 5, 2019",21.55
"March 4, 2019",21.70
"March 1, 2019",21.75
"Feb. 28, 2019",21.59
"Feb. 27, 2019",21.65
"Feb. 26, 2019",21.74
"Feb. 25, 2019",21.96
"Feb. 22, 2019",22.00
"Feb. 21, 2019",21.83
"Feb. 20, 2019",21.66
"Feb. 19, 2019",22.85
"Feb. 15, 2019",22.60
"Feb. 14, 2019",22.53
"Feb. 13, 2019",22.51
"Feb. 12, 2019",22.54
"Feb. 11, 2019",22.57
"Feb. 8, 2019",22.55
"Feb. 7, 2019",22.37
"Feb. 6, 2019",22.13
"Feb. 5, 2019",22.24
"Feb. 4, 2019",22.19
"Feb. 1, 2019",22.14
"Jan. 31, 2019",22.26
"Jan. 30, 2019",21.97
"Jan. 29, 2019",21.75
"Jan. 28, 2019",21.67
"Jan. 25, 2019",21.94
"Jan. 24, 2019",22.18
"Jan. 23, 2019",22.07
"Jan. 22, 2019",21.86
"Jan. 18, 2019",21.96
"Jan. 17, 2019",22.01
"Jan. 16, 2019",21.88
"Jan. 15, 2019",21.70
"Jan. 14, 2019",21.32
"Jan. 11, 2019",21.87
"Jan. 10, 2019",22.04
"Jan. 9, 2019",21.81
"Jan. 8, 2019",21.99
"Jan. 7, 2019",21.61
"Jan. 4, 2019",21.98
"Jan. 3, 2019",21.67
"Jan. 2, 2019",21.74
"Dec. 31, 2018",22.36
