date,return_on_equity
"Dec. 31, 2019",4.62%
"Sept. 30, 2019",3.94%
"June 30, 2019",3.77%
"March 31, 2019",3.75%
"Dec. 31, 2018",3.93%
"Sept. 30, 2018",2.64%
"June 30, 2018",2.46%
"March 31, 2018",2.54%
"Dec. 31, 2017",2.51%
"Sept. 30, 2017",4.39%
"June 30, 2017",4.47%
"March 31, 2017",4.36%
"Dec. 31, 2016",4.19%
"Sept. 30, 2016",4.26%
"June 30, 2016",4.90%
"March 31, 2016",5.52%
"Dec. 31, 2015",4.31%
"Sept. 30, 2015",14.37%
"June 30, 2015",13.23%
"March 31, 2015",13.20%
"Dec. 31, 2014",11.82%
"Sept. 30, 2014",-3.68%
"June 30, 2014",-4.38%
"March 31, 2014",-3.84%
"Dec. 31, 2013",-4.33%
"Sept. 30, 2013",9.18%
"June 30, 2013",10.15%
"March 31, 2013",9.66%
"Dec. 31, 2012",9.32%
"Sept. 30, 2012",8.68%
"June 30, 2012",8.37%
"March 31, 2012",8.57%
"Dec. 31, 2011",9.10%
"Sept. 30, 2011",8.12%
"June 30, 2011",9.69%
"March 31, 2011",10.89%
"Dec. 31, 2010",7.84%
"Sept. 30, 2010",8.88%
"June 30, 2010",9.73%
"March 31, 2010",10.49%
"Dec. 31, 2009",10.15%
"Sept. 30, 2009",10.93%
"June 30, 2009",11.40%
"March 31, 2009",11.40%
"Dec. 31, 2008",10.29%
"Sept. 30, 2008",10.30%
"June 30, 2008",10.28%
"March 31, 2008",10.00%
"Dec. 31, 2007",9.74%
"Sept. 30, 2007",-1.29%
"June 30, 2007",-3.23%
"March 31, 2007",-4.58%
"Dec. 31, 2006",-13.06%
"Sept. 30, 2006",-3.25%
"June 30, 2006",-1.93%
"March 31, 2006",-1.83%
"Dec. 31, 2005",5.74%
"Sept. 30, 2005",5.50%
"June 30, 2005",5.13%
"March 31, 2005",15.60%
"Dec. 31, 2004",16.64%
"Sept. 30, 2004",15.49%
"June 30, 2004",16.09%
"March 31, 2004",5.22%
"Dec. 31, 2003",4.84%
"Sept. 30, 2003",6.17%
"June 30, 2003",7.10%
"March 31, 2003",7.99%
"Dec. 31, 2002",8.77%
"Sept. 30, 2002",9.97%
"June 30, 2002",10.72%
"March 31, 2002",12.06%
"Dec. 31, 2001",12.16%
"Sept. 30, 2001",11.56%
"June 30, 2001",10.59%
"March 31, 2001",11.22%
"Dec. 31, 2000",12.88%
"Sept. 30, 2000",12.30%
"June 30, 2000",13.62%
"March 31, 2000",12.95%
"Dec. 31, 1999",11.53%
"Sept. 30, 1999",10.51%
"June 30, 1999",10.91%
"March 31, 1999",9.04%
"Dec. 31, 1998",8.86%
"Sept. 30, 1998",10.58%
"June 30, 1998",10.03%
"March 31, 1998",10.72%
"Dec. 31, 1997",10.43%
"Sept. 30, 1997",9.13%
"June 30, 1997",7.87%
"March 31, 1997",7.94%
"Dec. 31, 1996",8.83%
"Sept. 30, 1996",10.18%
"June 30, 1996",12.24%
"March 31, 1996",12.08%
"Dec. 31, 1995",11.64%
"Sept. 30, 1995",10.76%
"June 30, 1995",10.71%
"March 31, 1995",10.40%
"Dec. 31, 1994",10.96%
"Sept. 30, 1994",9.11%
