date,return_on_assets
"Dec. 31, 2019",2.11%
"Sept. 30, 2019",1.83%
"June 30, 2019",1.77%
"March 31, 2019",1.78%
"Dec. 31, 2018",1.88%
"Sept. 30, 2018",1.26%
"June 30, 2018",1.18%
"March 31, 2018",1.22%
"Dec. 31, 2017",1.21%
"Sept. 30, 2017",2.13%
"June 30, 2017",2.18%
"March 31, 2017",2.14%
"Dec. 31, 2016",2.06%
"Sept. 30, 2016",2.06%
"June 30, 2016",2.30%
"March 31, 2016",2.47%
"Dec. 31, 2015",1.94%
"Sept. 30, 2015",5.81%
"June 30, 2015",5.36%
"March 31, 2015",5.35%
"Dec. 31, 2014",4.78%
"Sept. 30, 2014",-0.97%
"June 30, 2014",-1.11%
"March 31, 2014",-0.95%
"Dec. 31, 2013",-1.03%
"Sept. 30, 2013",2.12%
"June 30, 2013",2.36%
"March 31, 2013",2.26%
"Dec. 31, 2012",2.18%
"Sept. 30, 2012",2.06%
"June 30, 2012",2.00%
"March 31, 2012",2.07%
"Dec. 31, 2011",2.19%
"Sept. 30, 2011",1.98%
"June 30, 2011",2.40%
"March 31, 2011",2.74%
"Dec. 31, 2010",1.99%
"Sept. 30, 2010",2.35%
"June 30, 2010",2.58%
"March 31, 2010",2.70%
"Dec. 31, 2009",2.54%
"Sept. 30, 2009",2.70%
"June 30, 2009",2.77%
"March 31, 2009",2.73%
"Dec. 31, 2008",2.54%
"Sept. 30, 2008",2.61%
"June 30, 2008",2.66%
"March 31, 2008",2.64%
"Dec. 31, 2007",2.63%
"Sept. 30, 2007",-0.36%
"June 30, 2007",-0.92%
"March 31, 2007",-1.31%
"Dec. 31, 2006",-3.82%
"Sept. 30, 2006",-0.96%
"June 30, 2006",-0.58%
"March 31, 2006",-0.55%
"Dec. 31, 2005",1.75%
"Sept. 30, 2005",1.68%
"June 30, 2005",1.56%
"March 31, 2005",4.58%
"Dec. 31, 2004",4.73%
"Sept. 30, 2004",4.28%
"June 30, 2004",4.32%
"March 31, 2004",1.37%
"Dec. 31, 2003",1.28%
"Sept. 30, 2003",1.65%
"June 30, 2003",1.91%
"March 31, 2003",2.16%
"Dec. 31, 2002",2.38%
"Sept. 30, 2002",2.69%
"June 30, 2002",2.86%
"March 31, 2002",3.17%
"Dec. 31, 2001",3.15%
"Sept. 30, 2001",2.98%
"June 30, 2001",2.73%
"March 31, 2001",2.90%
"Dec. 31, 2000",3.34%
"Sept. 30, 2000",3.23%
"June 30, 2000",3.60%
"March 31, 2000",3.38%
"Dec. 31, 1999",2.93%
"Sept. 30, 1999",2.67%
"June 30, 1999",2.71%
"March 31, 1999",2.21%
"Dec. 31, 1998",2.14%
"Sept. 30, 1998",2.54%
"June 30, 1998",2.36%
"March 31, 1998",2.47%
"Dec. 31, 1997",2.36%
"Sept. 30, 1997",2.05%
"June 30, 1997",1.76%
"March 31, 1997",1.77%
"Dec. 31, 1996",1.97%
"Sept. 30, 1996",2.25%
"June 30, 1996",2.65%
"March 31, 1996",2.58%
"Dec. 31, 1995",2.45%
"Sept. 30, 1995",2.24%
"June 30, 1995",2.20%
"March 31, 1995",2.13%
"Dec. 31, 1994",2.24%
"Sept. 30, 1994",1.86%
