date,shareholders_equity
"Dec. 31, 2019",15.24B
"Sept. 30, 2019",15.15B
"June 30, 2019",15.14B
"March 31, 2019",15.16B
"Dec. 31, 2018",15.10B
"Sept. 30, 2018",15.13B
"June 30, 2018",15.14B
"March 31, 2018",15.17B
"Dec. 31, 2017",15.08B
"Sept. 30, 2017",15.20B
"June 30, 2017",15.23B
"March 31, 2017",15.24B
"Dec. 31, 2016",15.20B
"Sept. 30, 2016",15.04B
"June 30, 2016",15.05B
"March 31, 2016",15.11B
"Dec. 31, 2015",15.05B
"Sept. 30, 2015",1.389B
"June 30, 2015",1.397B
"March 31, 2015",1.404B
"Dec. 31, 2014",12.46B
"Sept. 30, 2014",1.359B
"June 30, 2014",1.371B
"March 31, 2014",1.385B
"Dec. 31, 2013",1.354B
"Sept. 30, 2013",1.130B
"June 30, 2013",1.145B
"March 31, 2013",1.149B
"Dec. 31, 2012",1.117B
"Sept. 30, 2012",1.109B
"June 30, 2012",1.116B
"March 31, 2012",1.125B
"Dec. 31, 2011",1.095B
"Sept. 30, 2011",1.093B
"June 30, 2011",1.103B
"March 31, 2011",1.109B
"Dec. 31, 2010",1.076B
"Sept. 30, 2010",
"June 30, 2010",578.38M
"March 31, 2010",578.80M
"Dec. 31, 2009",574.18M
"Sept. 30, 2009",579.54M
"June 30, 2009",570.25M
"March 31, 2009",476.94M
"Dec. 31, 2008",474.58M
"Sept. 30, 2008",475.18M
"June 30, 2008",463.24M
"March 31, 2008",461.41M
"Dec. 31, 2007",464.29M
"Sept. 30, 2007",464.13M
"June 30, 2007",453.02M
"March 31, 2007",453.54M
"Dec. 31, 2006",460.58M
"Sept. 30, 2006",498.96M
"June 30, 2006",493.04M
"March 31, 2006",497.93M
"Dec. 31, 2005",544.58M
"Sept. 30, 2005",548.08M
"June 30, 2005",538.28M
"March 31, 2005",542.20M
"Dec. 31, 2004",548.40M
"Sept. 30, 2004",549.22M
"June 30, 2004",540.36M
"March 31, 2004",488.14M
"Dec. 31, 2003",492.77M
"Sept. 30, 2003",479.23M
"June 30, 2003",472.03M
"March 31, 2003",477.57M
"Dec. 31, 2002",482.35M
"Sept. 30, 2002",515.22M
"June 30, 2002",503.83M
"March 31, 2002",503.02M
"Dec. 31, 2001",500.00M
"Sept. 30, 2001",499.26M
"June 30, 2001",484.15M
"March 31, 2001",478.70M
"Dec. 31, 2000",479.04M
"Sept. 30, 2000",482.49M
"June 30, 2000",473.26M
"March 31, 2000",465.34M
"Dec. 31, 1999",458.30M
"Sept. 30, 1999",464.80M
"June 30, 1999",449.60M
"March 31, 1999",445.50M
"Dec. 31, 1998",449.80M
"Sept. 30, 1998",458.20M
"June 30, 1998",441.80M
"March 31, 1998",446.20M
"Dec. 31, 1997",443.40M
"Sept. 30, 1997",443.30M
"June 30, 1997",440.30M
"March 31, 1997",441.90M
"Dec. 31, 1996",444.50M
"Sept. 30, 1996",454.10M
"June 30, 1996",446.40M
"March 31, 1996",451.90M
"Dec. 31, 1995",450.50M
"Sept. 30, 1995",453.70M
"June 30, 1995",437.30M
"March 31, 1995",471.50M
"Dec. 31, 1994",472.70M
"Sept. 30, 1994",481.50M
"June 30, 1994",466.40M
"March 31, 1994",485.40M
