date,operating_earning_yield
"March 19, 2020",6.97%
"March 18, 2020",6.46%
"March 17, 2020",6.45%
"March 16, 2020",7.58%
"March 13, 2020",7.07%
"March 12, 2020",7.59%
"March 11, 2020",6.81%
"March 10, 2020",6.50%
"March 9, 2020",6.49%
"March 6, 2020",6.32%
"March 5, 2020",6.21%
"March 4, 2020",6.01%
"March 3, 2020",6.27%
"March 2, 2020",6.23%
"Feb. 28, 2020",6.52%
"Feb. 27, 2020",6.51%
"Feb. 26, 2020",6.25%
"Feb. 25, 2020",5.75%
"Feb. 24, 2020",5.73%
"Feb. 21, 2020",5.78%
"Feb. 20, 2020",5.83%
"Feb. 19, 2020",5.89%
"Feb. 18, 2020",5.90%
"Feb. 14, 2020",6.01%
"Feb. 13, 2020",6.05%
"Feb. 12, 2020",6.14%
"Feb. 11, 2020",6.13%
"Feb. 10, 2020",6.13%
"Feb. 7, 2020",6.16%
"Feb. 6, 2020",6.12%
"Feb. 5, 2020",6.11%
"Feb. 4, 2020",6.10%
"Feb. 3, 2020",6.05%
"Jan. 31, 2020",6.08%
"Jan. 30, 2020",6.02%
"Jan. 29, 2020",6.05%
"Jan. 28, 2020",6.07%
"Jan. 27, 2020",6.17%
"Jan. 24, 2020",6.21%
"Jan. 23, 2020",6.27%
"Jan. 22, 2020",6.31%
"Jan. 21, 2020",6.29%
"Jan. 17, 2020",6.33%
"Jan. 16, 2020",6.36%
"Jan. 15, 2020",6.35%
"Jan. 14, 2020",6.38%
"Jan. 13, 2020",6.38%
"Jan. 10, 2020",6.41%
"Jan. 9, 2020",6.38%
"Jan. 8, 2020",6.44%
"Jan. 7, 2020",6.41%
"Jan. 6, 2020",6.39%
"Jan. 3, 2020",6.36%
"Jan. 2, 2020",6.38%
"Dec. 31, 2019",6.33%
"Dec. 30, 2019",6.58%
"Dec. 27, 2019",6.57%
"Dec. 26, 2019",6.62%
"Dec. 24, 2019",6.61%
"Dec. 23, 2019",6.51%
"Dec. 20, 2019",6.46%
"Dec. 19, 2019",6.55%
"Dec. 18, 2019",6.52%
"Dec. 17, 2019",6.60%
"Dec. 16, 2019",6.69%
"Dec. 13, 2019",6.78%
"Dec. 12, 2019",6.84%
"Dec. 11, 2019",6.87%
"Dec. 10, 2019",6.83%
"Dec. 9, 2019",6.87%
"Dec. 6, 2019",6.85%
"Dec. 5, 2019",6.82%
"Dec. 4, 2019",6.82%
"Dec. 3, 2019",6.90%
"Dec. 2, 2019",6.96%
"Nov. 29, 2019",6.89%
"Nov. 27, 2019",6.82%
"Nov. 26, 2019",6.82%
"Nov. 25, 2019",6.89%
"Nov. 22, 2019",6.93%
"Nov. 21, 2019",6.88%
"Nov. 20, 2019",6.87%
"Nov. 19, 2019",6.90%
"Nov. 18, 2019",6.85%
"Nov. 15, 2019",6.86%
"Nov. 14, 2019",6.86%
"Nov. 13, 2019",6.87%
"Nov. 12, 2019",6.96%
"Nov. 11, 2019",6.93%
"Nov. 8, 2019",6.92%
"Nov. 7, 2019",6.87%
"Nov. 6, 2019",6.76%
"Nov. 5, 2019",6.77%
"Nov. 4, 2019",6.77%
"Nov. 1, 2019",6.69%
"Oct. 31, 2019",6.69%
"Oct. 30, 2019",6.77%
"Oct. 29, 2019",6.69%
"Oct. 28, 2019",6.74%
"Oct. 25, 2019",6.67%
"Oct. 24, 2019",6.55%
"Oct. 23, 2019",6.53%
"Oct. 22, 2019",6.56%
"Oct. 21, 2019",6.59%
"Oct. 18, 2019",6.64%
"Oct. 17, 2019",6.70%
"Oct. 16, 2019",6.74%
"Oct. 15, 2019",6.75%
"Oct. 14, 2019",6.75%
"Oct. 11, 2019",6.71%
"Oct. 10, 2019",6.70%
"Oct. 9, 2019",6.63%
"Oct. 8, 2019",6.60%
"Oct. 7, 2019",6.56%
"Oct. 4, 2019",6.49%
"Oct. 3, 2019",6.56%
"Oct. 2, 2019",6.50%
"Oct. 1, 2019",6.44%
"Sept. 30, 2019",6.40%
"Sept. 27, 2019",6.50%
"Sept. 26, 2019",6.52%
"Sept. 25, 2019",6.53%
"Sept. 24, 2019",6.52%
"Sept. 23, 2019",6.55%
"Sept. 20, 2019",6.58%
"Sept. 19, 2019",6.62%
"Sept. 18, 2019",6.63%
"Sept. 17, 2019",6.65%
"Sept. 16, 2019",6.68%
"Sept. 13, 2019",6.68%
"Sept. 12, 2019",6.66%
"Sept. 11, 2019",6.68%
"Sept. 10, 2019",6.80%
"Sept. 9, 2019",6.85%
"Sept. 6, 2019",6.76%
"Sept. 5, 2019",6.71%
"Sept. 4, 2019",6.54%
"Sept. 3, 2019",6.60%
"Aug. 30, 2019",6.72%
"Aug. 29, 2019",6.77%
"Aug. 28, 2019",6.90%
"Aug. 27, 2019",6.89%
"Aug. 26, 2019",6.89%
"Aug. 23, 2019",6.94%
"Aug. 22, 2019",6.86%
"Aug. 21, 2019",6.89%
"Aug. 20, 2019",6.90%
"Aug. 19, 2019",6.86%
"Aug. 16, 2019",6.89%
"Aug. 15, 2019",6.94%
"Aug. 14, 2019",7.01%
"Aug. 13, 2019",6.88%
"Aug. 12, 2019",6.86%
"Aug. 9, 2019",6.74%
"Aug. 8, 2019",6.68%
"Aug. 7, 2019",6.78%
"Aug. 6, 2019",6.74%
"Aug. 5, 2019",6.90%
"Aug. 2, 2019",6.76%
"Aug. 1, 2019",6.65%
"July 31, 2019",6.71%
"July 30, 2019",6.75%
"July 29, 2019",6.84%
"July 26, 2019",6.93%
"July 25, 2019",6.93%
"July 24, 2019",6.98%
"July 23, 2019",7.00%
"July 22, 2019",6.95%
"July 19, 2019",6.90%
"July 18, 2019",6.82%
"July 17, 2019",6.85%
"July 16, 2019",6.87%
"July 15, 2019",6.84%
"July 12, 2019",6.80%
"July 11, 2019",6.65%
"July 10, 2019",6.63%
"July 9, 2019",6.68%
"July 8, 2019",6.65%
"July 5, 2019",6.64%
"July 3, 2019",6.67%
"July 2, 2019",6.67%
"July 1, 2019",6.73%
"June 30, 2019",
"June 28, 2019",6.88%
"June 27, 2019",6.91%
"June 26, 2019",6.88%
"June 25, 2019",6.79%
"June 24, 2019",6.75%
"June 21, 2019",6.70%
"June 20, 2019",6.73%
"June 19, 2019",6.78%
"June 18, 2019",6.83%
"June 17, 2019",6.76%
"June 14, 2019",6.75%
"June 13, 2019",6.75%
"June 12, 2019",6.77%
"June 11, 2019",6.85%
"June 10, 2019",6.78%
"June 7, 2019",6.73%
"June 6, 2019",6.71%
"June 5, 2019",6.72%
"June 4, 2019",6.85%
"June 3, 2019",6.79%
"May 31, 2019",6.94%
"May 30, 2019",7.01%
"May 29, 2019",6.98%
"May 28, 2019",6.87%
"May 24, 2019",6.83%
"May 23, 2019",6.87%
"May 22, 2019",6.89%
"May 21, 2019",6.93%
"May 20, 2019",6.91%
"May 17, 2019",6.93%
"May 16, 2019",6.93%
"May 15, 2019",6.93%
"May 14, 2019",6.95%
"May 13, 2019",6.89%
"May 10, 2019",6.96%
"May 9, 2019",7.08%
"May 8, 2019",7.09%
"May 7, 2019",6.95%
"May 6, 2019",6.92%
"May 3, 2019",6.83%
"May 2, 2019",6.88%
"May 1, 2019",6.85%
"April 30, 2019",6.78%
"April 29, 2019",6.86%
"April 26, 2019",6.80%
"April 25, 2019",6.77%
"April 24, 2019",6.60%
"April 23, 2019",6.64%
"April 22, 2019",6.68%
"April 18, 2019",6.73%
"April 17, 2019",6.77%
"April 16, 2019",6.77%
"April 15, 2019",6.71%
"April 12, 2019",6.75%
"April 11, 2019",6.81%
"April 10, 2019",6.83%
"April 9, 2019",6.85%
"April 8, 2019",6.88%
"April 5, 2019",6.88%
"April 4, 2019",6.96%
"April 3, 2019",6.91%
"April 2, 2019",6.91%
"April 1, 2019",6.93%
"March 31, 2019",
"March 29, 2019",7.33%
"March 28, 2019",7.38%
"March 27, 2019",7.34%
"March 26, 2019",7.31%
"March 25, 2019",7.35%
"March 22, 2019",7.37%
"March 21, 2019",7.48%
"March 20, 2019",7.56%
"March 19, 2019",7.58%
"March 18, 2019",7.46%
"March 15, 2019",7.45%
"March 14, 2019",7.47%
"March 13, 2019",7.46%
"March 12, 2019",7.46%
"March 11, 2019",7.56%
"March 8, 2019",7.64%
"March 7, 2019",7.67%
"March 6, 2019",7.61%
"March 5, 2019",7.64%
"March 4, 2019",7.59%
"March 1, 2019",7.58%
"Feb. 28, 2019",7.63%
"Feb. 27, 2019",7.61%
"Feb. 26, 2019",7.58%
"Feb. 25, 2019",7.50%
"Feb. 22, 2019",7.49%
"Feb. 21, 2019",7.55%
"Feb. 20, 2019",7.61%
"Feb. 19, 2019",7.21%
"Feb. 15, 2019",7.29%
"Feb. 14, 2019",7.31%
"Feb. 13, 2019",7.32%
"Feb. 12, 2019",7.31%
"Feb. 11, 2019",7.30%
"Feb. 8, 2019",7.31%
"Feb. 7, 2019",7.37%
"Feb. 6, 2019",7.45%
"Feb. 5, 2019",7.41%
"Feb. 4, 2019",7.43%
"Feb. 1, 2019",7.44%
"Jan. 31, 2019",7.40%
"Jan. 30, 2019",7.50%
"Jan. 29, 2019",7.57%
"Jan. 28, 2019",7.60%
"Jan. 25, 2019",7.51%
"Jan. 24, 2019",7.43%
"Jan. 23, 2019",7.46%
"Jan. 22, 2019",7.54%
"Jan. 18, 2019",7.50%
"Jan. 17, 2019",7.48%
"Jan. 16, 2019",7.53%
"Jan. 15, 2019",7.59%
"Jan. 14, 2019",7.73%
"Jan. 11, 2019",7.53%
"Jan. 10, 2019",7.48%
"Jan. 9, 2019",7.55%
"Jan. 8, 2019",7.49%
