date,return_on_invested_capital
"Dec. 31, 2019",3.09%
"Sept. 30, 2019",2.68%
"June 30, 2019",2.61%
"March 31, 2019",2.63%
"Dec. 31, 2018",2.78%
"Sept. 30, 2018",1.88%
"June 30, 2018",1.77%
"March 31, 2018",1.85%
"Dec. 31, 2017",1.84%
"Sept. 30, 2017",3.27%
"June 30, 2017",3.36%
"March 31, 2017",3.30%
"Dec. 31, 2016",3.18%
"Sept. 30, 2016",3.19%
"June 30, 2016",3.56%
"March 31, 2016",3.83%
"Dec. 31, 2015",3.05%
"Sept. 30, 2015",9.30%
"June 30, 2015",8.58%
"March 31, 2015",8.59%
"Dec. 31, 2014",7.70%
"Sept. 30, 2014",-1.58%
"June 30, 2014",-1.84%
"March 31, 2014",-1.57%
"Dec. 31, 2013",-1.71%
"Sept. 30, 2013",3.52%
"June 30, 2013",3.91%
"March 31, 2013",3.72%
"Dec. 31, 2012",3.57%
"Sept. 30, 2012",3.34%
"June 30, 2012",3.27%
"March 31, 2012",3.37%
"Dec. 31, 2011",3.59%
"Sept. 30, 2011",3.23%
"June 30, 2011",3.92%
"March 31, 2011",4.46%
"Dec. 31, 2010",3.27%
"Sept. 30, 2010",3.89%
"June 30, 2010",4.28%
"March 31, 2010",4.51%
"Dec. 31, 2009",4.27%
"Sept. 30, 2009",4.51%
"June 30, 2009",4.61%
"March 31, 2009",4.53%
"Dec. 31, 2008",4.22%
"Sept. 30, 2008",4.34%
"June 30, 2008",4.45%
"March 31, 2008",4.45%
"Dec. 31, 2007",4.46%
"Sept. 30, 2007",-0.61%
"June 30, 2007",-1.56%
"March 31, 2007",-2.26%
"Dec. 31, 2006",-6.57%
"Sept. 30, 2006",-1.65%
"June 30, 2006",-0.98%
"March 31, 2006",-0.94%
"Dec. 31, 2005",2.95%
"Sept. 30, 2005",2.84%
"June 30, 2005",2.65%
"March 31, 2005",7.92%
"Dec. 31, 2004",8.28%
"Sept. 30, 2004",7.54%
"June 30, 2004",7.66%
"March 31, 2004",2.44%
"Dec. 31, 2003",2.27%
"Sept. 30, 2003",2.89%
"June 30, 2003",3.28%
"March 31, 2003",3.65%
"Dec. 31, 2002",3.95%
"Sept. 30, 2002",4.43%
"June 30, 2002",4.71%
"March 31, 2002",5.25%
"Dec. 31, 2001",5.27%
"Sept. 30, 2001",5.02%
"June 30, 2001",4.61%
"March 31, 2001",4.90%
"Dec. 31, 2000",5.65%
"Sept. 30, 2000",5.39%
"June 30, 2000",5.90%
"March 31, 2000",5.37%
"Dec. 31, 1999",4.52%
"Sept. 30, 1999",3.98%
"June 30, 1999",3.97%
"March 31, 1999",3.18%
"Dec. 31, 1998",3.09%
"Sept. 30, 1998",3.64%
"June 30, 1998",3.39%
"March 31, 1998",3.57%
"Dec. 31, 1997",3.43%
"Sept. 30, 1997",2.97%
"June 30, 1997",2.55%
"March 31, 1997",2.55%
"Dec. 31, 1996",2.83%
"Sept. 30, 1996",3.21%
"June 30, 1996",3.79%
"March 31, 1996",3.69%
"Dec. 31, 1995",3.51%
"Sept. 30, 1995",3.20%
"June 30, 1995",3.14%
"March 31, 1995",3.02%
"Dec. 31, 1994",3.18%
"Sept. 30, 1994",2.62%
