date,gross_profit_margin
"Dec. 31, 2019",38.16%
"Sept. 30, 2019",41.69%
"June 30, 2019",40.57%
"March 31, 2019",39.41%
"Dec. 31, 2018",35.74%
"Sept. 30, 2018",40.75%
"June 30, 2018",42.08%
"March 31, 2018",40.86%
"Dec. 31, 2017",39.60%
"Sept. 30, 2017",41.76%
"June 30, 2017",44.78%
"March 31, 2017",43.86%
"Dec. 31, 2016",41.72%
"Sept. 30, 2016",39.00%
"June 30, 2016",45.87%
"March 31, 2016",41.38%
"Dec. 31, 2015",31.40%
"Sept. 30, 2015",39.69%
"June 30, 2015",37.70%
"March 31, 2015",37.08%
"Dec. 31, 2014",42.91%
"Sept. 30, 2014",35.22%
"June 30, 2014",31.00%
"March 31, 2014",33.15%
"Dec. 31, 2013",40.31%
"Sept. 30, 2013",38.98%
"June 30, 2013",36.66%
"March 31, 2013",33.25%
"Dec. 31, 2012",34.06%
"Sept. 30, 2012",35.28%
"June 30, 2012",36.55%
"March 31, 2012",35.96%
"Dec. 31, 2011",-41.36%
"Sept. 30, 2011",60.53%
"June 30, 2011",62.28%
"March 31, 2011",47.31%
"Dec. 31, 2010",-21.37%
"Sept. 30, 2010",62.31%
"June 30, 2010",66.73%
"March 31, 2010",58.77%
"Dec. 31, 2009",59.18%
"Sept. 30, 2009",58.02%
"June 30, 2009",58.43%
"March 31, 2009",50.73%
"Dec. 31, 2008",36.27%
"Sept. 30, 2008",56.45%
"June 30, 2008",57.44%
"March 31, 2008",49.91%
"Dec. 31, 2007",53.68%
"Sept. 30, 2007",53.02%
"June 30, 2007",48.57%
"March 31, 2007",35.86%
"Dec. 31, 2006",51.80%
"Sept. 30, 2006",52.25%
"June 30, 2006",51.65%
"March 31, 2006",48.50%
"Dec. 31, 2005",47.85%
"Sept. 30, 2005",49.54%
"June 30, 2005",49.49%
"March 31, 2005",65.83%
"Dec. 31, 2004",
"Sept. 30, 2004",62.97%
"June 30, 2004",68.81%
"March 31, 2004",64.74%
"Dec. 31, 2003",54.43%
"Sept. 30, 2003",73.50%
"June 30, 2003",72.96%
"March 31, 2003",71.62%
"Dec. 31, 2002",62.59%
"Sept. 30, 2002",75.66%
"June 30, 2002",78.18%
"March 31, 2002",75.24%
"Dec. 31, 2001",72.00%
"Sept. 30, 2001",75.40%
"June 30, 2001",74.53%
"March 31, 2001",71.38%
"Dec. 31, 2000",-17.33%
"Sept. 30, 2000",69.70%
"June 30, 2000",61.85%
"March 31, 2000",66.26%
"Dec. 31, 1999",70.68%
"Sept. 30, 1999",69.91%
"June 30, 1999",71.31%
"March 31, 1999",74.51%
"Dec. 31, 1998",70.90%
"Sept. 30, 1998",75.43%
"June 30, 1998",73.47%
"March 31, 1998",71.20%
"Dec. 31, 1997",67.92%
"Sept. 30, 1997",73.35%
"June 30, 1997",69.54%
"March 31, 1997",63.51%
"Dec. 31, 1996",66.54%
"Sept. 30, 1996",70.98%
"June 30, 1996",73.28%
"March 31, 1996",75.25%
"Dec. 31, 1995",74.15%
"Sept. 30, 1995",75.99%
"June 30, 1995",71.85%
"March 31, 1995",69.89%
"Dec. 31, 1994",75.05%
"Sept. 30, 1994",76.06%
"June 30, 1994",73.73%
"March 31, 1994",70.23%
