date,net_income_ttm
"Dec. 31, 2019",700.00M
"Sept. 30, 2019",596.00M
"June 30, 2019",571.00M
"March 31, 2019",568.00M
"Dec. 31, 2018",595.00M
"Sept. 30, 2018",399.00M
"June 30, 2018",373.00M
"March 31, 2018",386.00M
"Dec. 31, 2017",381.00M
"Sept. 30, 2017",667.00M
"June 30, 2017",677.00M
"March 31, 2017",659.00M
"Dec. 31, 2016",632.00M
"Sept. 30, 2016",525.00M
"June 30, 2016",470.00M
"March 31, 2016",379.00M
"Dec. 31, 2015",273.00M
"Sept. 30, 2015",517.73M
"June 30, 2015",476.23M
"March 31, 2015",474.54M
"Dec. 31, 2014",424.00M
"Sept. 30, 2014",-48.63M
"June 30, 2014",-55.97M
"March 31, 2014",-47.34M
"Dec. 31, 2013",-51.00M
"Sept. 30, 2013",103.74M
"June 30, 2013",114.35M
"March 31, 2013",108.43M
"Dec. 31, 2012",103.70M
"Sept. 30, 2012",96.15M
"June 30, 2012",92.57M
"March 31, 2012",94.73M
"Dec. 31, 2011",99.71M
"Sept. 30, 2011",88.90M
"June 30, 2011",93.68M
"March 31, 2011",91.00M
"Dec. 31, 2010",54.99M
"Sept. 30, 2010",51.28M
"June 30, 2010",56.05M
"March 31, 2010",58.33M
"Dec. 31, 2009",54.32M
"Sept. 30, 2009",56.30M
"June 30, 2009",56.10M
"March 31, 2009",53.60M
"Dec. 31, 2008",48.15M
"Sept. 30, 2008",47.95M
"June 30, 2008",47.41M
"March 31, 2008",45.93M
"Dec. 31, 2007",44.70M
"Sept. 30, 2007",-6.033M
"June 30, 2007",-15.23M
"March 31, 2007",-22.02M
"Dec. 31, 2006",-65.16M
"Sept. 30, 2006",-16.77M
"June 30, 2006",-10.12M
"March 31, 2006",-9.762M
"Dec. 31, 2005",31.25M
"Sept. 30, 2005",29.99M
"June 30, 2005",27.87M
"March 31, 2005",83.24M
"Dec. 31, 2004",87.15M
"Sept. 30, 2004",78.97M
"June 30, 2004",79.58M
"March 31, 2004",25.16M
"Dec. 31, 2003",23.29M
"Sept. 30, 2003",29.95M
"June 30, 2003",34.80M
"March 31, 2003",39.64M
"Dec. 31, 2002",43.95M
"Sept. 30, 2002",50.25M
"June 30, 2002",53.38M
"March 31, 2002",59.46M
"Dec. 31, 2001",59.36M
"Sept. 30, 2001",56.01M
"June 30, 2001",50.79M
"March 31, 2001",53.37M
"Dec. 31, 2000",60.76M
"Sept. 30, 2000",57.67M
"June 30, 2000",62.96M
"March 31, 2000",59.16M
"Dec. 31, 1999",52.20M
"Sept. 30, 1999",47.50M
"June 30, 1999",48.70M
"March 31, 1999",40.20M
"Dec. 31, 1998",39.30M
"Sept. 30, 1998",46.80M
"June 30, 1998",44.00M
"March 31, 1998",47.00M
"Dec. 31, 1997",45.70M
"Sept. 30, 1997",40.20M
"June 30, 1997",34.70M
"March 31, 1997",35.10M
"Dec. 31, 1996",39.10M
"Sept. 30, 1996",45.10M
"June 30, 1996",53.70M
"March 31, 1996",52.60M
"Dec. 31, 1995",50.40M
"Sept. 30, 1995",46.50M
"June 30, 1995",45.80M
"March 31, 1995",44.40M
"Dec. 31, 1994",46.80M
"Sept. 30, 1994",38.90M
"June 30, 1994",35.90M
"March 31, 1994",39.90M
"Dec. 31, 1993",40.60M
"Sept. 30, 1993",51.30M
"June 30, 1993",44.50M
"March 31, 1993",55.70M
"Dec. 31, 1992",56.80M
"Sept. 30, 1992",56.30M
"June 30, 1992",54.10M
"March 31, 1992",42.20M
"Dec. 31, 1991",48.30M
"Sept. 30, 1991",55.40M
"June 30, 1991",64.80M
"March 31, 1991",64.60M
"Dec. 31, 1990",54.00M
"Sept. 30, 1990",48.80M
"June 30, 1990",-65.20M
"March 31, 1990",-74.00M
"Dec. 31, 1989",-73.50M
"Sept. 30, 1989",-56.80M
"June 30, 1989",31.70M
"March 31, 1989",56.60M
"Dec. 31, 1988",78.70M
"Sept. 30, 1988",69.30M
"June 30, 1988",100.60M
"March 31, 1988",98.50M
"Dec. 31, 1987",95.20M
"Sept. 30, 1987",106.60M
"June 30, 1987",114.10M
"March 31, 1987",108.80M
"Dec. 31, 1986",101.60M
"Sept. 30, 1986",100.30M
"June 30, 1986",90.00M
"March 31, 1986",93.80M
"Dec. 31, 1985",99.60M
"Sept. 30, 1985",99.20M
"June 30, 1985",92.70M
"March 31, 1985",90.40M
"Dec. 31, 1984",88.30M
