date,shares_outstanding
"Feb. 28, 2020",309.01M
"Dec. 31, 2019",309.01M
"Oct. 30, 2019",309.01M
"Sept. 30, 2019",309.01M
"July 31, 2019",309.01M
"June 30, 2019",309.01M
"April 30, 2019",309.01M
"April 29, 2019",309.49M
"March 31, 2019",309.01M
"Feb. 27, 2019",309.01M
"Dec. 31, 2018",309.01M
"Oct. 31, 2018",309.01M
"Sept. 30, 2018",309.01M
"July 31, 2018",309.01M
"June 30, 2018",309.01M
"May 1, 2018",309.01M
"April 13, 2018",309.57M
"March 31, 2018",309.09M
"March 20, 2018",309.09M
"Dec. 31, 2017",309.01M
"Nov. 1, 2017",309.01M
"Sept. 30, 2017",309.01M
"July 31, 2017",309.01M
"June 30, 2017",309.01M
"May 3, 2017",309.07M
"April 24, 2017",366.18M
"March 31, 2017",309.07M
"March 9, 2017",309.07M
"Dec. 31, 2016",308.99M
"Nov. 2, 2016",309.00M
"Sept. 30, 2016",309.00M
"Aug. 1, 2016",309.00M
"June 30, 2016",309.00M
"May 9, 2016",309.10M
"April 21, 2016",366.22M
"March 31, 2016",309.09M
"March 28, 2016",308.96M
"Dec. 31, 2015",308.86M
"Oct. 29, 2015",56.63M
"Sept. 30, 2015",56.63M
"Aug. 31, 2015",113.18M
"July 31, 2015",56.63M
"June 30, 2015",56.63M
"April 27, 2015",56.62M
"March 31, 2015",56.62M
"March 10, 2015",113.17M
"Feb. 20, 2015",56.55M
"Dec. 31, 2014",56.55M
"Oct. 31, 2014",56.55M
"Sept. 30, 2014",56.55M
"Aug. 1, 2014",56.55M
"June 30, 2014",56.55M
"May 2, 2014",56.53M
"March 31, 2014",56.53M
"March 10, 2014",56.53M
"Feb. 14, 2014",56.46M
"Dec. 31, 2013",56.46M
"Oct. 30, 2013",56.46M
"Sept. 30, 2013",50.71M
"Sept. 20, 2013",50.71M
"Sept. 6, 2013",50.71M
"Aug. 1, 2013",50.71M
"June 30, 2013",50.71M
"April 29, 2013",50.70M
"March 31, 2013",50.70M
"March 11, 2013",50.70M
"Feb. 15, 2013",50.67M
"Dec. 31, 2012",50.87M
"Nov. 1, 2012",50.67M
"Sept. 30, 2012",50.67M
"July 31, 2012",50.67M
"June 30, 2012",50.67M
"April 27, 2012",50.65M
"March 31, 2012",50.65M
"March 12, 2012",50.65M
"Feb. 17, 2012",50.56M
"Dec. 31, 2011",50.65M
"Oct. 28, 2011",50.54M
"Sept. 30, 2011",50.54M
"Aug. 1, 2011",50.54M
"June 30, 2011",50.54M
"April 28, 2011",50.53M
"March 31, 2011",50.52M
"March 8, 2011",50.50M
"Feb. 18, 2011",50.46M
"Dec. 31, 2010",50.51M
"Oct. 27, 2010",50.43M
"Sept. 30, 2010",50.43M
"Aug. 2, 2010",30.07M
"June 30, 2010",30.04M
"April 29, 2010",29.98M
"March 31, 2010",29.98M
"Feb. 12, 2010",29.93M
"Dec. 31, 2009",29.98M
"Oct. 29, 2009",29.93M
"Sept. 30, 2009",29.93M
"Aug. 3, 2009",29.93M
"May 1, 2009",25.33M
