date,forward_ps_ratio
"March 19, 2020",2.164
"March 18, 2020",2.336
"March 17, 2020",2.339
"March 16, 2020",1.991
"March 13, 2020",2.132
"March 12, 2020",1.988
"March 11, 2020",2.215
"March 10, 2020",2.319
"March 9, 2020",2.324
"March 6, 2020",2.387
"March 5, 2020",2.429
"March 4, 2020",2.510
"March 3, 2020",2.394
"March 2, 2020",2.408
"Feb. 28, 2020",2.301
"Feb. 27, 2020",2.305
"Feb. 26, 2020",2.401
"Feb. 25, 2020",2.607
"Feb. 24, 2020",2.620
"Feb. 21, 2020",2.595
"Feb. 20, 2020",2.574
"Feb. 19, 2020",2.545
"Feb. 18, 2020",2.542
"Feb. 14, 2020",2.494
"Feb. 13, 2020",2.481
"Feb. 12, 2020",2.443
"Feb. 11, 2020",2.449
"Feb. 10, 2020",2.449
"Feb. 7, 2020",2.437
"Feb. 6, 2020",2.45
"Feb. 5, 2020",2.454
"Feb. 4, 2020",2.460
"Feb. 3, 2020",2.480
"Jan. 31, 2020",2.466
"Jan. 30, 2020",2.492
"Jan. 29, 2020",2.482
"Jan. 28, 2020",2.470
"Jan. 27, 2020",2.433
"Jan. 24, 2020",2.418
"Jan. 23, 2020",2.394
"Jan. 22, 2020",2.376
"Jan. 21, 2020",2.384
"Jan. 17, 2020",2.370
"Jan. 16, 2020",2.359
"Jan. 15, 2020",2.363
"Jan. 14, 2020",2.352
"Jan. 13, 2020",2.350
"Jan. 10, 2020",2.339
"Jan. 9, 2020",2.35
"Jan. 8, 2020",2.330
"Jan. 7, 2020",2.342
"Jan. 6, 2020",2.348
"Jan. 3, 2020",2.359
"Jan. 2, 2020",2.353
"Dec. 31, 2019",2.369
"Dec. 30, 2019",2.426
"Dec. 27, 2019",2.428
"Dec. 26, 2019",2.411
"Dec. 24, 2019",2.414
"Dec. 23, 2019",2.449
"Dec. 20, 2019",2.469
"Dec. 19, 2019",2.437
"Dec. 18, 2019",2.446
"Dec. 17, 2019",2.418
"Dec. 16, 2019",2.385
"Dec. 13, 2019",2.353
"Dec. 12, 2019",2.332
"Dec. 11, 2019",2.323
"Dec. 10, 2019",2.334
"Dec. 9, 2019",2.322
"Dec. 6, 2019",2.330
"Dec. 5, 2019",2.338
"Dec. 4, 2019",2.339
"Dec. 3, 2019",2.312
"Dec. 2, 2019",2.292
"Nov. 29, 2019",2.314
"Nov. 27, 2019",2.337
"Nov. 26, 2019",2.337
"Nov. 25, 2019",2.314
"Nov. 22, 2019",2.300
"Nov. 21, 2019",2.320
"Nov. 20, 2019",2.323
"Nov. 19, 2019",2.312
"Nov. 18, 2019",2.330
"Nov. 15, 2019",2.324
"Nov. 14, 2019",2.324
"Nov. 13, 2019",2.323
"Nov. 12, 2019",2.292
"Nov. 11, 2019",2.300
"Nov. 8, 2019",2.306
"Nov. 7, 2019",2.323
"Nov. 6, 2019",2.359
"Nov. 5, 2019",2.358
"Nov. 4, 2019",2.357
"Nov. 1, 2019",2.386
"Oct. 31, 2019",2.386
"Oct. 30, 2019",2.354
"Oct. 29, 2019",2.383
"Oct. 28, 2019",2.366
"Oct. 25, 2019",2.392
"Oct. 24, 2019",2.436
"Oct. 23, 2019",2.444
"Oct. 22, 2019",2.431
"Oct. 21, 2019",2.422
"Oct. 18, 2019",2.402
"Oct. 17, 2019",2.381
"Oct. 16, 2019",2.366
"Oct. 15, 2019",2.362
