date,three_month_return
"March 19, 2020",-9.08%
"March 18, 2020",-2.24%
"March 17, 2020",-0.97%
"March 16, 2020",-14.55%
"March 13, 2020",-7.23%
"March 12, 2020",-12.74%
"March 11, 2020",-2.36%
"March 10, 2020",1.72%
"March 9, 2020",2.48%
"March 6, 2020",4.89%
"March 5, 2020",6.36%
"March 4, 2020",9.91%
"March 3, 2020",6.58%
"March 2, 2020",8.13%
"Feb. 28, 2020",1.35%
"Feb. 27, 2020",1.53%
"Feb. 26, 2020",5.75%
"Feb. 25, 2020",15.99%
"Feb. 24, 2020",17.24%
"Feb. 21, 2020",15.14%
"Feb. 20, 2020",14.03%
"Feb. 19, 2020",13.32%
"Feb. 18, 2020",12.34%
"Feb. 14, 2020",10.50%
"Feb. 13, 2020",9.95%
"Feb. 12, 2020",9.69%
"Feb. 11, 2020",9.62%
"Feb. 10, 2020",9.30%
"Feb. 7, 2020",7.98%
"Feb. 6, 2020",6.93%
"Feb. 5, 2020",7.16%
"Feb. 4, 2020",7.42%
"Feb. 3, 2020",7.01%
"Jan. 31, 2020",6.41%
"Jan. 30, 2020",8.95%
"Jan. 29, 2020",7.20%
"Jan. 28, 2020",7.48%
"Jan. 27, 2020",4.70%
"Jan. 24, 2020",2.17%
"Jan. 23, 2020",0.84%
"Jan. 22, 2020",0.61%
"Jan. 21, 2020",1.36%
"Jan. 17, 2020",2.48%
"Jan. 16, 2020",2.64%
"Jan. 15, 2020",3.01%
"Jan. 14, 2020",2.50%
"Jan. 13, 2020",1.78%
"Jan. 10, 2020",1.16%
"Jan. 9, 2020",0.53%
"Jan. 8, 2020",-0.69%
"Jan. 7, 2020",-0.80%
"Jan. 6, 2020",-1.63%
"Jan. 3, 2020",-0.12%
"Jan. 2, 2020",-1.24%
"Dec. 31, 2019",-2.09%
"Dec. 30, 2019",-2.60%
"Dec. 27, 2019",-2.49%
"Dec. 26, 2019",-2.82%
"Dec. 24, 2019",-2.75%
"Dec. 23, 2019",-0.85%
"Dec. 20, 2019",0.45%
"Dec. 19, 2019",-0.27%
"Dec. 18, 2019",0.27%
"Dec. 17, 2019",-0.53%
"Dec. 16, 2019",-1.57%
"Dec. 13, 2019",-2.83%
"Dec. 12, 2019",-3.98%
"Dec. 11, 2019",-4.09%
"Dec. 10, 2019",-1.94%
"Dec. 9, 2019",-1.70%
"Dec. 6, 2019",-2.65%
"Dec. 5, 2019",-3.08%
"Dec. 4, 2019",-5.45%
"Dec. 3, 2019",-5.73%
"Dec. 2, 2019",-4.85%
"Nov. 29, 2019",-3.15%
"Nov. 27, 2019",-0.53%
"Nov. 26, 2019",-0.53%
"Nov. 25, 2019",-0.78%
"Nov. 22, 2019",-2.53%
"Nov. 21, 2019",-1.24%
"Nov. 20, 2019",-0.87%
"Nov. 19, 2019",-1.92%
"Nov. 18, 2019",-0.81%
"Nov. 15, 2019",-0.29%
"Nov. 14, 2019",0.68%
"Nov. 13, 2019",-1.28%
"Nov. 12, 2019",-2.83%
"Nov. 11, 2019",-4.21%
"Nov. 8, 2019",-4.74%
"Nov. 7, 2019",-2.68%
"Nov. 6, 2019",-1.77%
"Nov. 5, 2019",0.49%
"Nov. 4, 2019",-1.44%
"Nov. 1, 2019",-1.90%
"Oct. 31, 2019",-0.99%
"Oct. 30, 2019",-1.83%
"Oct. 29, 2019",0.75%
"Oct. 28, 2019",1.35%
"Oct. 25, 2019",2.45%
"Oct. 24, 2019",5.17%
"Oct. 23, 2019",5.71%
"Oct. 22, 2019",4.40%
"Oct. 21, 2019",3.32%
"Oct. 18, 2019",1.25%
"Oct. 17, 2019",0.77%
"Oct. 16, 2019",0.47%
"Oct. 15, 2019",-0.12%
"Oct. 14, 2019",-0.76%
"Oct. 11, 2019",-2.31%
"Oct. 10, 2019",-2.48%
"Oct. 9, 2019",-0.63%
"Oct. 8, 2019",-0.76%
"Oct. 7, 2019",-0.22%
"Oct. 4, 2019",1.26%
"Oct. 3, 2019",0.20%
"Oct. 2, 2019",1.14%
"Oct. 1, 2019",3.02%
"Sept. 30, 2019",3.47%
"Sept. 27, 2019",3.90%
"Sept. 26, 2019",3.07%
"Sept. 25, 2019",1.58%
"Sept. 24, 2019",1.21%
"Sept. 23, 2019",-0.04%
"Sept. 20, 2019",-0.10%
"Sept. 19, 2019",0.02%
"Sept. 18, 2019",0.61%
"Sept. 17, 2019",-0.72%
"Sept. 16, 2019",-1.19%
"Sept. 13, 2019",-1.28%
"Sept. 12, 2019",-0.66%
"Sept. 11, 2019",0.16%
"Sept. 10, 2019",-2.50%
"Sept. 9, 2019",-4.07%
"Sept. 6, 2019",-2.98%
"Sept. 5, 2019",-2.05%
"Sept. 4, 2019",2.25%
"Sept. 3, 2019",0.61%
"Aug. 30, 2019",1.98%
"Aug. 29, 2019",0.64%
"Aug. 28, 2019",-2.69%
"Aug. 27, 2019",-3.03%
"Aug. 26, 2019",-3.03%
"Aug. 23, 2019",-3.32%
"Aug. 22, 2019",-1.82%
"Aug. 21, 2019",-1.64%
"Aug. 20, 2019",-2.17%
"Aug. 19, 2019",-1.40%
"Aug. 16, 2019",-1.77%
"Aug. 15, 2019",-2.43%
"Aug. 14, 2019",-3.18%
"Aug. 13, 2019",-2.08%
"Aug. 12, 2019",-0.82%
"Aug. 9, 2019",2.65%
"Aug. 8, 2019",3.61%
"Aug. 7, 2019",0.22%
"Aug. 6, 2019",0.30%
"Aug. 5, 2019",-3.26%
"Aug. 2, 2019",-0.69%
"Aug. 1, 2019",0.55%
"July 31, 2019",-1.29%
"July 30, 2019",-1.76%
"July 29, 2019",-2.05%
"July 26, 2019",-4.09%
"July 25, 2019",-4.49%
"July 24, 2019",-7.68%
"July 23, 2019",-7.35%
"July 22, 2019",-6.13%
"July 19, 2019",-4.71%
"July 18, 2019",-3.53%
"July 17, 2019",-3.49%
"July 16, 2019",-3.78%
"July 15, 2019",-4.19%
"July 12, 2019",-3.01%
"July 11, 2019",0.02%
"July 10, 2019",0.59%
"July 9, 2019",0.16%
"July 8, 2019",1.07%
