date,sales_est_0q
"March 13, 2020",1.892B
"Feb. 27, 2020",1.892B
"Feb. 26, 2020",1.895B
"Jan. 16, 2020",1.940B
"Dec. 31, 2019",1.761B
"Nov. 5, 2019",1.757B
"Nov. 1, 2019",1.730B
"Oct. 30, 2019",1.724B
"Oct. 24, 2019",1.631B
"Oct. 14, 2019",1.631B
"Oct. 11, 2019",1.633B
"Oct. 7, 2019",1.651B
"Sept. 30, 2019",1.544B
"Sept. 9, 2019",1.541B
"Aug. 22, 2019",1.543B
"Aug. 14, 2019",1.522B
"Aug. 13, 2019",1.522B
"July 29, 2019",1.522B
"July 25, 2019",1.522B
"July 24, 2019",1.530B
"July 18, 2019",1.502B
"July 15, 2019",1.480B
"July 12, 2019",1.480B
"June 30, 2019",1.378B
"May 13, 2019",1.371B
"May 6, 2019",1.371B
"April 30, 2019",1.371B
"April 26, 2019",1.371B
"April 25, 2019",1.445B
"April 17, 2019",1.382B
"April 15, 2019",1.362B
"April 8, 2019",1.362B
"April 3, 2019",1.362B
"March 31, 2019",1.841B
"March 13, 2019",1.821B
"March 4, 2019",1.821B
"Feb. 28, 2019",1.861B
"Feb. 27, 2019",1.873B
"Feb. 25, 2019",1.873B
"Jan. 30, 2019",1.826B
"Jan. 29, 2019",1.829B
"Jan. 20, 2019",1.829B
"Jan. 4, 2019",1.803B
"Dec. 31, 2018",1.440B
"Dec. 10, 2018",1.324B
"Oct. 28, 2018",1.300B
"Oct. 27, 2018",1.174B
"Oct. 25, 2018",1.261B
"Oct. 24, 2018",1.503B
"Oct. 15, 2018",1.507B
"Oct. 9, 2018",1.511B
"Sept. 30, 2018",1.318B
"Sept. 6, 2018",1.350B
"July 25, 2018",1.350B
"July 17, 2018",1.314B
"July 11, 2018",1.314B
"July 9, 2018",1.301B
"June 30, 2018",1.328B
"May 11, 2018",1.306B
"April 27, 2018",1.331B
"April 26, 2018",1.365B
"April 25, 2018",1.365B
"April 24, 2018",1.403B
"April 19, 2018",1.319B
"April 12, 2018",1.325B
"April 6, 2018",1.325B
"March 31, 2018",1.735B
"March 13, 2018",1.722B
"Feb. 22, 2018",1.699B
"Feb. 21, 2018",1.727B
"Feb. 15, 2018",1.776B
"Feb. 13, 2018",1.786B
"Feb. 1, 2018",1.782B
"Jan. 10, 2018",1.788B
