date,return_on_assets
"Dec. 31, 2019",7.64%
"Sept. 30, 2019",8.52%
"June 30, 2019",10.42%
"March 31, 2019",10.28%
"Dec. 31, 2018",10.67%
"Sept. 30, 2018",15.98%
"June 30, 2018",12.82%
"March 31, 2018",10.80%
"Dec. 31, 2017",8.82%
"Sept. 30, 2017",0.03%
"June 30, 2017",-1.01%
"March 31, 2017",-2.19%
"Dec. 31, 2016",-4.09%
"Sept. 30, 2016",-4.69%
"June 30, 2016",-18.26%
"March 31, 2016",-16.18%
"Dec. 31, 2015",-14.36%
"Sept. 30, 2015",-11.49%
"June 30, 2015",4.04%
"March 31, 2015",6.15%
"Dec. 31, 2014",8.82%
"Sept. 30, 2014",9.50%
"June 30, 2014",7.76%
"March 31, 2014",7.87%
"Dec. 31, 2013",7.56%
"Sept. 30, 2013",3.89%
"June 30, 2013",3.62%
"March 31, 2013",2.74%
"Dec. 31, 2012",2.16%
"Sept. 30, 2012",4.63%
"June 30, 2012",5.52%
"March 31, 2012",5.22%
"Dec. 31, 2011",4.59%
"Sept. 30, 2011",4.50%
"June 30, 2011",1.90%
"March 31, 2011",0.86%
"Dec. 31, 2010",0.82%
"Sept. 30, 2010",2.72%
"June 30, 2010",3.23%
"March 31, 2010",2.92%
"Dec. 31, 2009",3.25%
"Sept. 30, 2009",3.72%
"June 30, 2009",13.71%
"March 31, 2009",15.71%
"Dec. 31, 2008",17.15%
"Sept. 30, 2008",17.55%
"June 30, 2008",8.03%
"March 31, 2008",9.79%
"Dec. 31, 2007",10.22%
"Sept. 30, 2007",9.64%
"June 30, 2007",11.21%
"March 31, 2007",12.05%
"Dec. 31, 2006",15.04%
"Sept. 30, 2006",18.62%
"June 30, 2006",20.55%
"March 31, 2006",20.86%
"Dec. 31, 2005",19.01%
"Sept. 30, 2005",16.28%
"June 30, 2005",14.38%
"March 31, 2005",13.25%
"Dec. 31, 2004",11.99%
"Sept. 30, 2004",9.98%
"June 30, 2004",9.31%
"March 31, 2004",8.95%
"Dec. 31, 2003",10.10%
"Sept. 30, 2003",9.88%
"June 30, 2003",8.03%
"March 31, 2003",6.46%
"Dec. 31, 2002",2.42%
"Sept. 30, 2002",0.51%
"June 30, 2002",1.79%
"March 31, 2002",4.82%
"Dec. 31, 2001",12.44%
"Sept. 30, 2001",18.89%
"June 30, 2001",21.34%
"March 31, 2001",20.16%
"Dec. 31, 2000",14.43%
"Sept. 30, 2000",9.96%
"June 30, 2000",24.65%
"March 31, 2000",21.98%
"Dec. 31, 1999",20.07%
"Sept. 30, 1999",18.88%
"June 30, 1999",1.41%
"March 31, 1999",1.18%
"Dec. 31, 1998",1.98%
"Sept. 30, 1998",3.24%
"June 30, 1998",4.29%
"March 31, 1998",4.82%
"Dec. 31, 1997",4.77%
"Sept. 30, 1997",4.63%
"June 30, 1997",4.81%
"March 31, 1997",5.97%
"Dec. 31, 1996",6.26%
"Sept. 30, 1996",6.29%
"June 30, 1996",6.47%
"March 31, 1996",6.62%
"Dec. 31, 1995",6.99%
"Sept. 30, 1995",7.77%
"June 30, 1995",8.44%
"March 31, 1995",7.94%
"Dec. 31, 1994",8.13%
"Sept. 30, 1994",8.00%
"June 30, 1994",7.85%
"March 31, 1994",7.92%
"Dec. 31, 1993",7.95%
"Sept. 30, 1993",8.19%
"June 30, 1993",7.55%
"March 31, 1993",6.62%
"Dec. 31, 1992",6.30%
"Sept. 30, 1992",5.37%
"June 30, 1992",5.05%
"March 31, 1992",4.57%
"Dec. 31, 1991",3.85%
"Sept. 30, 1991",3.73%
"June 30, 1991",3.39%
"March 31, 1991",3.30%
"Dec. 31, 1990",3.28%
"Sept. 30, 1990",1.98%
"June 30, 1990",1.14%
