date,shares_outstanding
"Feb. 13, 2020",582.05M
"Dec. 31, 2019",581.91M
"Oct. 25, 2019",581.76M
"Sept. 30, 2019",581.78M
"July 26, 2019",580.66M
"June 30, 2019",580.63M
"April 26, 2019",580.32M
"March 31, 2019",580.31M
"March 1, 2019",580.06M
"Feb. 28, 2019",580.05M
"Feb. 15, 2019",580.05M
"Dec. 31, 2018",580.02M
"Nov. 30, 2018",579.92M
"Oct. 26, 2018",579.90M
"Sept. 30, 2018",579.83M
"July 25, 2018",579.20M
"June 30, 2018",579.19M
"April 26, 2018",578.86M
"March 31, 2018",578.81M
"Feb. 28, 2018",578.64M
"Feb. 27, 2018",578.64M
"Feb. 16, 2018",578.64M
"Dec. 31, 2017",578.48M
"Oct. 26, 2017",578.22M
"Sept. 30, 2017",578.14M
"July 25, 2017",577.45M
"June 30, 2017",577.40M
"May 1, 2017",577.27M
"March 31, 2017",577.26M
"Feb. 28, 2017",577.16M
"Feb. 27, 2017",577.16M
"Feb. 17, 2017",576.83M
"Dec. 31, 2016",576.70M
"Oct. 26, 2016",576.46M
"Sept. 30, 2016",551.23M
"July 27, 2016",550.64M
"June 30, 2016",550.63M
"April 28, 2016",550.28M
"March 31, 2016",550.19M
"Feb. 26, 2016",549.89M
"Feb. 18, 2016",549.88M
"Dec. 31, 2015",549.86M
"Oct. 29, 2015",549.71M
"Sept. 30, 2015",549.67M
"July 30, 2015",549.17M
"June 30, 2015",549.15M
"April 24, 2015",548.93M
"March 31, 2015",548.82M
"March 2, 2015",548.47M
"Feb. 28, 2015",548.47M
"Feb. 10, 2015",548.44M
"Dec. 31, 2014",548.29M
"Oct. 27, 2014",548.01M
"Sept. 30, 2014",547.90M
"July 29, 2014",547.46M
"June 30, 2014",547.44M
"April 28, 2014",546.51M
"March 31, 2014",546.50M
"March 7, 2014",546.26M
"Feb. 28, 2014",546.28M
"Feb. 14, 2014",546.24M
"Dec. 31, 2013",546.17M
"Oct. 30, 2013",545.95M
"Sept. 30, 2013",545.84M
"July 31, 2013",544.84M
"June 30, 2013",544.67M
"May 1, 2013",544.16M
"March 31, 2013",544.12M
"March 8, 2013",543.81M
"Feb. 28, 2013",543.63M
"Feb. 15, 2013",543.49M
"Dec. 31, 2012",543.26M
"Oct. 31, 2012",541.76M
"Sept. 30, 2012",541.70M
"July 26, 2012",540.05M
"June 30, 2012",539.61M
"May 1, 2012",539.19M
"March 31, 2012",539.16M
"March 9, 2012",538.71M
"Feb. 29, 2012",538.34M
"Feb. 17, 2012",538.17M
"Dec. 31, 2011",538.04M
"Oct. 26, 2011",537.70M
"Sept. 30, 2011",537.69M
"July 29, 2011",537.26M
"June 30, 2011",537.11M
"April 29, 2011",536.87M
"March 31, 2011",536.84M
"March 9, 2011",536.38M
"Feb. 28, 2011",508.64M
"Feb. 18, 2011",508.56M
