date,payout_ratio
"Dec. 31, 2019",21.51%
"Sept. 30, 2019",18.31%
"June 30, 2019",13.71%
"March 31, 2019",13.72%
"Dec. 31, 2018",12.81%
"Sept. 30, 2018",8.24%
"June 30, 2018",10.27%
"March 31, 2018",12.12%
"Dec. 31, 2017",14.97%
"Sept. 30, 2017",3.95K%
"June 30, 2017",-136.0%
"March 31, 2017",-63.28%
"Dec. 31, 2016",-34.00%
"Sept. 30, 2016",-29.80%
"June 30, 2016",-7.18%
"March 31, 2016",-7.61%
"Dec. 31, 2015",-8.11%
"Sept. 30, 2015",-9.66%
"June 30, 2015",24.80%
"March 31, 2015",15.33%
"Dec. 31, 2014",9.59%
"Sept. 30, 2014",7.84%
"June 30, 2014",9.21%
"March 31, 2014",8.66%
"Dec. 31, 2013",9.07%
"Sept. 30, 2013",17.48%
"June 30, 2013",18.83%
"March 31, 2013",24.84%
"Dec. 31, 2012",31.75%
"Sept. 30, 2012",14.84%
"June 30, 2012",12.63%
"March 31, 2012",13.38%
"Dec. 31, 2011",15.32%
"Sept. 30, 2011",15.93%
"June 30, 2011",38.71%
"March 31, 2011",88.30%
"Dec. 31, 2010",95.39%
"Sept. 30, 2010",29.67%
"June 30, 2010",25.39%
"March 31, 2010",28.67%
"Dec. 31, 2009",26.03%
"Sept. 30, 2009",23.00%
"June 30, 2009",6.16%
"March 31, 2009",5.38%
"Dec. 31, 2008",4.73%
"Sept. 30, 2008",4.46%
"June 30, 2008",9.88%
"March 31, 2008",8.14%
"Dec. 31, 2007",7.71%
"Sept. 30, 2007",8.00%
"June 30, 2007",6.67%
"March 31, 2007",5.92%
"Dec. 31, 2006",4.65%
"Sept. 30, 2006",3.64%
"June 30, 2006",3.22%
"March 31, 2006",3.07%
"Dec. 31, 2005",3.41%
"Sept. 30, 2005",4.12%
"June 30, 2005",4.67%
"March 31, 2005",5.23%
"Dec. 31, 2004",6.02%
"Sept. 30, 2004",7.36%
"June 30, 2004",8.17%
"March 31, 2004",8.10%
"Dec. 31, 2003",7.28%
"Sept. 30, 2003",7.54%
"June 30, 2003",9.33%
"March 31, 2003",12.09%
"Dec. 31, 2002",33.44%
"Sept. 30, 2002",162.3%
"June 30, 2002",47.76%
"March 31, 2002",18.33%
"Dec. 31, 2001",7.17%
"Sept. 30, 2001",4.81%
"June 30, 2001",4.38%
"March 31, 2001",4.63%
"Dec. 31, 2000",6.57%
"Sept. 30, 2000",8.59%
"June 30, 2000",3.13%
"March 31, 2000",3.16%
"Dec. 31, 1999",3.06%
"Sept. 30, 1999",3.35%
"June 30, 1999",44.26%
"March 31, 1999",53.98%
"Dec. 31, 1998",32.94%
"Sept. 30, 1998",20.81%
"June 30, 1998",16.30%
"March 31, 1998",14.84%
"Dec. 31, 1997",15.48%
"Sept. 30, 1997",16.67%
"June 30, 1997",16.72%
"March 31, 1997",13.99%
"Dec. 31, 1996",13.71%
"Sept. 30, 1996",14.09%
"June 30, 1996",13.92%
"March 31, 1996",13.87%
"Dec. 31, 1995",13.51%
"Sept. 30, 1995",12.52%
"June 30, 1995",11.90%
"March 31, 1995",13.03%
"Dec. 31, 1994",12.96%
"Sept. 30, 1994",13.33%
"June 30, 1994",13.83%
"March 31, 1994",13.90%
"Dec. 31, 1993",13.91%
"Sept. 30, 1993",13.18%
"June 30, 1993",13.99%
"March 31, 1993",15.54%
"Dec. 31, 1992",15.78%
"Sept. 30, 1992",19.05%
"June 30, 1992",20.94%
"March 31, 1992",23.28%
"Dec. 31, 1991",27.69%
"Sept. 30, 1991",28.79%
"June 30, 1991",31.73%
"March 31, 1991",32.90%
"Dec. 31, 1990",33.41%
"Sept. 30, 1990",41.61%
"June 30, 1990",48.72%
"March 31, 1990",50.67%
"Dec. 31, 1989",0.00%
