date,days_payables_outstanding
"Dec. 31, 2019",156.04
"Sept. 30, 2019",161.03
"June 30, 2019",156.65
"March 31, 2019",161.13
"Dec. 31, 2018",145.00
"Sept. 30, 2018",150.20
"June 30, 2018",142.80
"March 31, 2018",137.25
"Dec. 31, 2017",117.98
"Sept. 30, 2017",130.27
"June 30, 2017",122.93
"March 31, 2017",130.35
"Dec. 31, 2016",121.18
"Sept. 30, 2016",108.68
"June 30, 2016",106.37
"March 31, 2016",106.38
"Dec. 31, 2015",139.00
"Sept. 30, 2015",150.30
"June 30, 2015",163.26
"March 31, 2015",168.19
"Dec. 31, 2014",175.38
"Sept. 30, 2014",170.39
"June 30, 2014",172.12
"March 31, 2014",162.83
"Dec. 31, 2013",167.30
"Sept. 30, 2013",173.86
"June 30, 2013",174.64
"March 31, 2013",174.47
"Dec. 31, 2012",180.11
"Sept. 30, 2012",175.08
"June 30, 2012",181.30
"March 31, 2012",195.94
"Dec. 31, 2011",73.52
"Sept. 30, 2011",394.58
"June 30, 2011",427.00
"March 31, 2011",338.83
"Dec. 31, 2010",85.72
"Sept. 30, 2010",298.60
"June 30, 2010",329.19
"March 31, 2010",243.51
"Dec. 31, 2009",250.26
"Sept. 30, 2009",253.17
"June 30, 2009",240.88
"March 31, 2009",255.00
"Dec. 31, 2008",307.93
"Sept. 30, 2008",391.70
"June 30, 2008",422.25
"March 31, 2008",384.57
"Dec. 31, 2007",316.86
"Sept. 30, 2007",355.32
"June 30, 2007",398.90
"March 31, 2007",363.24
"Dec. 31, 2006",336.40
"Sept. 30, 2006",352.73
"June 30, 2006",334.10
"March 31, 2006",344.75
"Dec. 31, 2005",483.68
"Sept. 30, 2005",263.58
"June 30, 2005",272.25
"March 31, 2005",267.12
"Dec. 31, 2004",353.72
"Sept. 30, 2004",230.46
"June 30, 2004",253.91
"March 31, 2004",258.22
"Dec. 31, 2003",697.47
"Sept. 30, 2003",200.24
"June 30, 2003",194.51
"March 31, 2003",269.97
"Dec. 31, 2002",353.59
"Sept. 30, 2002",195.43
"June 30, 2002",187.09
"March 31, 2002",233.80
"Dec. 31, 2001",183.06
"Sept. 30, 2001",250.13
"June 30, 2001",236.56
"March 31, 2001",227.20
"Dec. 31, 2000",243.96
"Sept. 30, 2000",269.98
"June 30, 2000",272.96
"March 31, 2000",278.57
"Dec. 31, 1999",57.39
"Sept. 30, 1999",507.54
"June 30, 1999",376.74
"March 31, 1999",363.57
"Dec. 31, 1998",293.42
"Sept. 30, 1998",324.99
"June 30, 1998",377.19
"March 31, 1998",281.14
"Dec. 31, 1997",336.74
"Sept. 30, 1997",379.23
"June 30, 1997",311.39
"March 31, 1997",360.52
"Dec. 31, 1996",425.99
"Sept. 30, 1996",330.10
"June 30, 1996",293.84
"March 31, 1996",223.37
"Dec. 31, 1995",333.22
"Sept. 30, 1995",316.20
"June 30, 1995",258.19
"March 31, 1995",295.40
"Dec. 31, 1994",161.71
"Sept. 30, 1994",198.33
"June 30, 1994",
"March 31, 1994",
"Dec. 31, 1993",
"Sept. 30, 1993",
"June 30, 1993",350.26
"March 31, 1993",442.71
"Dec. 31, 1992",347.43
"Sept. 30, 1992",298.05
"June 30, 1992",271.49
"March 31, 1992",278.50
"Dec. 31, 1991",227.72
"Sept. 30, 1991",263.99
"June 30, 1991",304.29
"March 31, 1991",358.37
"Dec. 31, 1990",237.88
"Sept. 30, 1990",221.09
"June 30, 1990",224.99
"March 31, 1990",229.80
