date,revenues_growth
"Dec. 31, 2019",-7.47%
"Sept. 30, 2019",-7.69%
"June 30, 2019",10.64%
"March 31, 2019",9.68%
"Dec. 31, 2018",32.84%
"Sept. 30, 2018",76.06%
"June 30, 2018",61.84%
"March 31, 2018",40.80%
"Dec. 31, 2017",49.41%
"Sept. 30, 2017",31.94%
"June 30, 2017",47.30%
"March 31, 2017",95.11%
"Dec. 31, 2016",26.60%
"Sept. 30, 2016",-7.71%
"June 30, 2016",-28.14%
"March 31, 2016",-42.17%
"Dec. 31, 2015",-57.34%
"Sept. 30, 2015",-57.15%
"June 30, 2015",-41.06%
"March 31, 2015",-43.19%
"Dec. 31, 2014",12.70%
"Sept. 30, 2014",43.11%
"June 30, 2014",9.71%
"March 31, 2014",27.65%
"Dec. 31, 2013",21.89%
"Sept. 30, 2013",22.34%
"June 30, 2013",36.63%
"March 31, 2013",16.57%
"Dec. 31, 2012",12.09%
"Sept. 30, 2012",13.85%
"June 30, 2012",16.98%
"March 31, 2012",43.81%
"Dec. 31, 2011",76.87%
"Sept. 30, 2011",59.80%
"June 30, 2011",75.31%
"March 31, 2011",38.40%
"Dec. 31, 2010",-12.43%
"Sept. 30, 2010",57.13%
"June 30, 2010",57.71%
"March 31, 2010",18.35%
"Dec. 31, 2009",7.78%
"Sept. 30, 2009",-69.15%
"June 30, 2009",-21.40%
"March 31, 2009",2.13%
"Dec. 31, 2008",32.65%
"Sept. 30, 2008",246.3%
"June 30, 2008",8.56%
"March 31, 2008",24.48%
"Dec. 31, 2007",104.2%
"Sept. 30, 2007",-2.70%
"June 30, 2007",9.80%
"March 31, 2007",-16.00%
"Dec. 31, 2006",-49.76%
"Sept. 30, 2006",3.67%
"June 30, 2006",17.24%
"March 31, 2006",57.60%
"Dec. 31, 2005",74.05%
"Sept. 30, 2005",57.25%
"June 30, 2005",51.04%
"March 31, 2005",48.21%
"Dec. 31, 2004",57.90%
"Sept. 30, 2004",37.32%
"June 30, 2004",22.19%
"March 31, 2004",-0.01%
"Dec. 31, 2003",13.29%
"Sept. 30, 2003",54.62%
"June 30, 2003",46.21%
"March 31, 2003",149.0%
"Dec. 31, 2002",62.40%
"Sept. 30, 2002",-20.98%
"June 30, 2002",-37.67%
"March 31, 2002",-68.77%
"Dec. 31, 2001",-53.00%
"Sept. 30, 2001",-11.93%
"June 30, 2001",44.41%
"March 31, 2001",129.8%
"Dec. 31, 2000",87.64%
"Sept. 30, 2000",77.32%
"June 30, 2000",72.40%
"March 31, 2000",63.50%
"Dec. 31, 1999",15.12%
"Sept. 30, 1999",18.56%
"June 30, 1999",2.13%
"March 31, 1999",-20.44%
"Dec. 31, 1998",-1.74%
"Sept. 30, 1998",-0.93%
"June 30, 1998",6.69%
"March 31, 1998",10.57%
"Dec. 31, 1997",16.50%
"Sept. 30, 1997",13.45%
"June 30, 1997",-12.84%
"March 31, 1997",13.65%
"Dec. 31, 1996",30.63%
"Sept. 30, 1996",11.24%
"June 30, 1996",7.12%
"March 31, 1996",2.32%
"Dec. 31, 1995",-21.05%
"Sept. 30, 1995",20.09%
"June 30, 1995",29.12%
"March 31, 1995",2.10%
"Dec. 31, 1994",32.69%
"Sept. 30, 1994",-9.71%
"June 30, 1994",1.42%
"March 31, 1994",11.26%
"Dec. 31, 1993",5.07%
"Sept. 30, 1993",26.09%
"June 30, 1993",39.80%
"March 31, 1993",38.74%
"Dec. 31, 1992",18.61%
"Sept. 30, 1992",33.21%
"June 30, 1992",14.20%
"March 31, 1992",2.82%
"Dec. 31, 1991",1.53%
"Sept. 30, 1991",7.01%
"June 30, 1991",11.96%
"March 31, 1991",-0.42%
"Dec. 31, 1990",38.66%
"Sept. 30, 1990",21.89%
"June 30, 1990",12.29%
"March 31, 1990",37.77%
