date,times_interest_earned
"Dec. 31, 2019",20.15
"Sept. 30, 2019",20.93
"June 30, 2019",20.92
"March 31, 2019",18.84
"Dec. 31, 2018",18.31
"Sept. 30, 2018",14.02
"June 30, 2018",9.227
"March 31, 2018",5.936
"Dec. 31, 2017",3.410
"Sept. 30, 2017",1.536
"June 30, 2017",0.1169
"March 31, 2017",-1.343
"Dec. 31, 2016",-4.529
"Sept. 30, 2016",-28.09
"June 30, 2016",-28.39
"March 31, 2016",-28.34
"Dec. 31, 2015",-28.16
"Sept. 30, 2015",5.102
"June 30, 2015",13.31
"March 31, 2015",19.08
"Dec. 31, 2014",25.80
"Sept. 30, 2014",25.13
"June 30, 2014",19.63
"March 31, 2014",18.49
"Dec. 31, 2013",15.60
"Sept. 30, 2013",9.579
"June 30, 2013",8.789
"March 31, 2013",7.066
"Dec. 31, 2012",6.997
"Sept. 30, 2012",10.05
"June 30, 2012",10.45
"March 31, 2012",11.02
"Dec. 31, 2011",9.354
"Sept. 30, 2011",9.686
"June 30, 2011",6.872
"March 31, 2011",3.826
"Dec. 31, 2010",4.148
"Sept. 30, 2010",8.744
"June 30, 2010",9.298
"March 31, 2010",8.451
"Dec. 31, 2009",9.642
"Sept. 30, 2009",11.67
"June 30, 2009",46.78
"March 31, 2009",63.95
"Dec. 31, 2008",73.53
"Sept. 30, 2008",108.82
"June 30, 2008",74.74
"March 31, 2008",147.49
