date,free_cash_flow
"Dec. 31, 2019",438.91M
"Sept. 30, 2019",570.81M
"June 30, 2019",1.124B
"March 31, 2019",-392.67M
"Dec. 31, 2018",783.07M
"Sept. 30, 2018",540.42M
"June 30, 2018",257.68M
"March 31, 2018",110.96M
"Dec. 31, 2017",270.85M
"Sept. 30, 2017",-132.69M
"June 30, 2017",51.45M
"March 31, 2017",-48.51M
"Dec. 31, 2016",63.84M
"Sept. 30, 2016",105.82M
"June 30, 2016",-111.80M
"March 31, 2016",-281.60M
"Dec. 31, 2015",-226.99M
"Sept. 30, 2015",-225.48M
"June 30, 2015",-380.47M
"March 31, 2015",-585.05M
"Dec. 31, 2014",103.85M
"Sept. 30, 2014",223.71M
"June 30, 2014",-290.29M
"March 31, 2014",365.08M
"Dec. 31, 2013",296.07M
"Sept. 30, 2013",90.61M
"June 30, 2013",153.49M
"March 31, 2013",-271.39M
"Dec. 31, 2012",-323.69M
"Sept. 30, 2012",-304.04M
"June 30, 2012",-518.69M
"March 31, 2012",-971.91M
"Dec. 31, 2011",-546.28M
"Sept. 30, 2011",-432.66M
"June 30, 2011",-663.31M
"March 31, 2011",-730.16M
"Dec. 31, 2010",-994.55M
"Sept. 30, 2010",-775.64M
"June 30, 2010",-598.00M
"March 31, 2010",-504.59M
"Dec. 31, 2009",-165.75M
"Sept. 30, 2009",-106.60M
"June 30, 2009",-26.46M
"March 31, 2009",-281.76M
"Dec. 31, 2008",-308.87M
"Sept. 30, 2008",25.14M
"June 30, 2008",-57.96M
"March 31, 2008",-220.54M
"Dec. 31, 2007",-289.77M
"Sept. 30, 2007",-169.13M
"June 30, 2007",-157.34M
"March 31, 2007",-169.46M
"Dec. 31, 2006",-267.02M
"Sept. 30, 2006",-160.17M
"June 30, 2006",-11.21M
"March 31, 2006",197.72M
"Dec. 31, 2005",364.17M
"Sept. 30, 2005",57.44M
"June 30, 2005",104.98M
"March 31, 2005",118.08M
"Dec. 31, 2004",-48.54M
"Sept. 30, 2004",-4.623M
"June 30, 2004",-44.08M
"March 31, 2004",124.90M
"Dec. 31, 2003",-445.99M
"Sept. 30, 2003",121.46M
"June 30, 2003",181.82M
"March 31, 2003",146.35M
"Dec. 31, 2002",-71.22M
"Sept. 30, 2002",-0.333M
"June 30, 2002",-26.67M
"March 31, 2002",-51.00M
"Dec. 31, 2001",-76.00M
"Sept. 30, 2001",-101.46M
"June 30, 2001",91.10M
"March 31, 2001",309.76M
"Dec. 31, 2000",175.29M
"Sept. 30, 2000",41.50M
"June 30, 2000",51.39M
"March 31, 2000",96.59M
"Dec. 31, 1999",58.87M
"Sept. 30, 1999",12.50M
"June 30, 1999",-1.90M
"March 31, 1999",-22.40M
"Dec. 31, 1998",-25.60M
"Sept. 30, 1998",-184.40M
"June 30, 1998",-71.20M
"March 31, 1998",-5.60M
"Dec. 31, 1997",4.60M
"Sept. 30, 1997",-45.60M
"June 30, 1997",-53.40M
"March 31, 1997",-0.90M
"Dec. 31, 1996",-138.70M
"Sept. 30, 1996",-42.40M
"June 30, 1996",-10.10M
"March 31, 1996",17.00M
"Dec. 31, 1995",6.60M
"Sept. 30, 1995",-79.80M
"June 30, 1995",-39.10M
"March 31, 1995",2.70M
"Dec. 31, 1994",4.20M
"Sept. 30, 1994",-54.60M
"June 30, 1994",18.90M
"March 31, 1994",15.30M
"Dec. 31, 1993",-13.60M
"Sept. 30, 1993",85.10M
"June 30, 1993",46.40M
"March 31, 1993",-21.30M
"Dec. 31, 1992",-52.90M
"Sept. 30, 1992",-21.10M
"June 30, 1992",-5.80M
"March 31, 1992",23.80M
"Dec. 31, 1991",20.80M
"Sept. 30, 1991",-10.70M
"June 30, 1991",5.90M
"March 31, 1991",14.20M
"Dec. 31, 1990",-34.70M
"Sept. 30, 1990",5.80M
"June 30, 1990",-50.10M
"March 31, 1990",9.70M
