date,ncavps
"Dec. 31, 2019",-17.55
"Sept. 30, 2019",-18.22
"June 30, 2019",-18.30
"March 31, 2019",-18.70
"Dec. 31, 2018",-16.40
"Sept. 30, 2018",-17.73
"June 30, 2018",-17.97
"March 31, 2018",-17.82
"Dec. 31, 2017",-17.75
"Sept. 30, 2017",-20.96
"June 30, 2017",-20.75
"March 31, 2017",-20.60
"Dec. 31, 2016",-20.69
"Sept. 30, 2016",-19.99
"June 30, 2016",-20.57
"March 31, 2016",-21.02
"Dec. 31, 2015",-20.80
"Sept. 30, 2015",-20.32
"June 30, 2015",-23.16
"March 31, 2015",-22.65
"Dec. 31, 2014",-21.22
"Sept. 30, 2014",-21.71
"June 30, 2014",-21.68
"March 31, 2014",-20.65
"Dec. 31, 2013",-20.29
"Sept. 30, 2013",-20.32
"June 30, 2013",-19.19
"March 31, 2013",-19.10
"Dec. 31, 2012",-19.26
"Sept. 30, 2012",-18.90
"June 30, 2012",-17.97
"March 31, 2012",-17.66
"Dec. 31, 2011",-16.62
"Sept. 30, 2011",-15.93
"June 30, 2011",-15.35
"March 31, 2011",-15.20
"Dec. 31, 2010",-17.45
"Sept. 30, 2010",-16.33
"June 30, 2010",-14.64
"March 31, 2010",-13.44
"Dec. 31, 2009",-12.44
"Sept. 30, 2009",-11.64
"June 30, 2009",-10.63
"March 31, 2009",-10.11
"Dec. 31, 2008",-9.673
"Sept. 30, 2008",-8.887
"June 30, 2008",-9.467
"March 31, 2008",-8.202
"Dec. 31, 2007",-7.721
"Sept. 30, 2007",-7.176
"June 30, 2007",-6.47
"March 31, 2007",-5.832
"Dec. 31, 2006",-5.031
"Sept. 30, 2006",-4.329
"June 30, 2006",-3.906
"March 31, 2006",-3.783
"Dec. 31, 2005",-3.870
"Sept. 30, 2005",-4.204
"June 30, 2005",-4.505
"March 31, 2005",-4.666
"Dec. 31, 2004",-4.765
"Sept. 30, 2004",-4.522
"June 30, 2004",-4.458
"March 31, 2004",-4.592
"Dec. 31, 2003",-4.593
"Sept. 30, 2003",-3.840
"June 30, 2003",-3.712
"March 31, 2003",-3.824
"Dec. 31, 2002",-3.807
"Sept. 30, 2002",-3.709
"June 30, 2002",-3.504
"March 31, 2002",-3.423
"Dec. 31, 2001",-3.246
"Sept. 30, 2001",-2.943
"June 30, 2001",-2.517
"March 31, 2001",-2.411
"Dec. 31, 2000",-2.621
"Sept. 30, 2000",-2.770
"June 30, 2000",-2.622
"March 31, 2000",-2.656
"Dec. 31, 1999",-2.688
"Sept. 30, 1999",-3.028
"June 30, 1999",-2.318
"March 31, 1999",-2.403
"Dec. 31, 1998",-2.426
"Sept. 30, 1998",-2.359
"June 30, 1998",-1.967
"March 31, 1998",-1.866
"Dec. 31, 1997",-1.871
"Sept. 30, 1997",-1.685
"June 30, 1997",-1.605
"March 31, 1997",-1.496
"Dec. 31, 1996",-1.357
"Sept. 30, 1996",-1.183
"June 30, 1996",-1.107
"March 31, 1996",-1.174
"Dec. 31, 1995",-1.198
"Sept. 30, 1995",-1.187
"June 30, 1995",-1.121
"March 31, 1995",-1.121
"Dec. 31, 1994",-1.097
"Sept. 30, 1994",-0.9842
"June 30, 1994",-0.9482
"March 31, 1994",-0.9734
"Dec. 31, 1993",-0.9833
"Sept. 30, 1993",-0.9738
"June 30, 1993",-1.019
"March 31, 1993",-1.038
"Dec. 31, 1992",-1.016
"Sept. 30, 1992",-0.9476
"June 30, 1992",-1.123
"March 31, 1992",-1.112
"Dec. 31, 1991",-1.146
"Sept. 30, 1991",-1.149
"June 30, 1991",-1.110
"March 31, 1991",-1.143
"Dec. 31, 1990",-1.148
"Sept. 30, 1990",-1.149
"June 30, 1990",-1.180
"March 31, 1990",-1.119
"Dec. 31, 1989",-1.105
