date,graham_number
"Dec. 31, 2019",62.84
"Sept. 30, 2019",64.93
"June 30, 2019",70.12
"March 31, 2019",67.42
"Dec. 31, 2018",66.52
"Sept. 30, 2018",78.43
"June 30, 2018",67.25
"March 31, 2018",60.06
"Dec. 31, 2017",53.15
"Sept. 30, 2017",2.328
"June 30, 2017",
"March 31, 2017",
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",42.42
"March 31, 2015",52.17
"Dec. 31, 2014",62.18
"Sept. 30, 2014",63.66
"June 30, 2014",55.03
"March 31, 2014",53.46
"Dec. 31, 2013",50.59
"Sept. 30, 2013",35.26
"June 30, 2013",33.02
"March 31, 2013",27.81
"Dec. 31, 2012",24.04
"Sept. 30, 2012",35.58
"June 30, 2012",37.76
"March 31, 2012",35.88
"Dec. 31, 2011",32.80
"Sept. 30, 2011",31.68
"June 30, 2011",19.80
"March 31, 2011",13.06
"Dec. 31, 2010",11.95
"Sept. 30, 2010",21.23
"June 30, 2010",22.79
"March 31, 2010",21.26
"Dec. 31, 2009",21.98
"Sept. 30, 2009",22.66
"June 30, 2009",42.29
"March 31, 2009",43.84
"Dec. 31, 2008",44.42
"Sept. 30, 2008",43.26
"June 30, 2008",25.69
"March 31, 2008",26.97
"Dec. 31, 2007",26.42
"Sept. 30, 2007",24.23
"June 30, 2007",24.80
"March 31, 2007",24.18
"Dec. 31, 2006",25.90
"Sept. 30, 2006",27.66
"June 30, 2006",27.27
"March 31, 2006",25.48
"Dec. 31, 2005",22.42
"Sept. 30, 2005",18.93
"June 30, 2005",16.24
"March 31, 2005",14.66
"Dec. 31, 2004",13.18
"Sept. 30, 2004",11.16
"June 30, 2004",10.07
"March 31, 2004",9.37
"Dec. 31, 2003",9.520
"Sept. 30, 2003",8.94
"June 30, 2003",7.610
"March 31, 2003",6.364
"Dec. 31, 2002",3.485
"Sept. 30, 2002",1.053
"June 30, 2002",2.829
"March 31, 2002",4.751
"Dec. 31, 2001",7.729
"Sept. 30, 2001",9.528
"June 30, 2001",9.762
"March 31, 2001",8.874
"Dec. 31, 2000",6.934
"Sept. 30, 2000",5.524
"June 30, 2000",7.874
"March 31, 2000",7.347
"Dec. 31, 1999",7.029
"Sept. 30, 1999",6.644
"June 30, 1999",1.764
"March 31, 1999",1.608
"Dec. 31, 1998",2.053
"Sept. 30, 1998",2.579
"June 30, 1998",2.936
"March 31, 1998",3.073
"Dec. 31, 1997",2.991
"Sept. 30, 1997",2.867
"June 30, 1997",2.821
"March 31, 1997",3.055
"Dec. 31, 1996",3.095
"Sept. 30, 1996",3.023
"June 30, 1996",3.030
"March 31, 1996",2.998
"Dec. 31, 1995",3.035
"Sept. 30, 1995",3.119
"June 30, 1995",3.158
"March 31, 1995",2.954
"Dec. 31, 1994",3.008
"Sept. 30, 1994",2.826
"June 30, 1994",2.725
"March 31, 1994",2.684
"Dec. 31, 1993",2.657
"Sept. 30, 1993",2.637
"June 30, 1993",2.465
"March 31, 1993",2.255
"Dec. 31, 1992",2.166
"Sept. 30, 1992",1.982
"June 30, 1992",1.734
"March 31, 1992",1.629
"Dec. 31, 1991",1.473
"Sept. 30, 1991",1.433
"June 30, 1991",1.390
"March 31, 1991",1.332
"Dec. 31, 1990",1.324
