date,revenues_ttm
"Dec. 31, 2019",17.12B
"Sept. 30, 2019",17.46B
"June 30, 2019",17.81B
"March 31, 2019",17.37B
"Dec. 31, 2018",17.01B
"Sept. 30, 2018",15.90B
"June 30, 2018",13.90B
"March 31, 2018",12.29B
"Dec. 31, 2017",11.23B
"Sept. 30, 2017",10.11B
"June 30, 2017",9.469B
"March 31, 2017",8.632B
"Dec. 31, 2016",7.363B
"Sept. 30, 2016",6.887B
"June 30, 2016",7.053B
"March 31, 2016",7.746B
"Dec. 31, 2015",8.718B
"Sept. 30, 2015",11.13B
"June 30, 2015",14.01B
"March 31, 2015",15.72B
"Dec. 31, 2014",17.47B
"Sept. 30, 2014",17.00B
"June 30, 2014",15.48B
"March 31, 2014",15.11B
"Dec. 31, 2013",14.23B
"Sept. 30, 2013",13.56B
"June 30, 2013",12.92B
"March 31, 2013",11.90B
"Dec. 31, 2012",11.45B
"Sept. 30, 2012",11.12B
"June 30, 2012",10.77B
"March 31, 2012",10.36B
"Dec. 31, 2011",9.533B
"Sept. 30, 2011",8.348B
"June 30, 2011",7.402B
"March 31, 2011",6.379B
"Dec. 31, 2010",5.853B
"Sept. 30, 2010",6.072B
"June 30, 2010",5.496B
"March 31, 2010",4.999B
"Dec. 31, 2009",4.787B
"Sept. 30, 2009",4.660B
"June 30, 2009",6.917B
"March 31, 2009",7.151B
"Dec. 31, 2008",7.127B
"Sept. 30, 2008",6.725B
"June 30, 2008",4.404B
"March 31, 2008",4.317B
"Dec. 31, 2007",4.094B
"Sept. 30, 2007",3.466B
"June 30, 2007",3.492B
"March 31, 2007",3.402B
"Dec. 31, 2006",3.575B
"Sept. 30, 2006",4.173B
"June 30, 2006",4.139B
"March 31, 2006",4.003B
"Dec. 31, 2005",3.607B
"Sept. 30, 2005",3.096B
"June 30, 2005",2.756B
"March 31, 2005",2.491B
"Dec. 31, 2004",2.267B
"Sept. 30, 2004",2.014B
"June 30, 2004",1.853B
"March 31, 2004",1.759B
"Dec. 31, 2003",1.759B
"Sept. 30, 2003",1.707B
"June 30, 2003",1.555B
"March 31, 2003",1.420B
"Dec. 31, 2002",1.142B
"Sept. 30, 2002",994.29M
"June 30, 2002",1.069B
"March 31, 2002",1.244B
"Dec. 31, 2001",1.655B
"Sept. 30, 2001",1.923B
"June 30, 2001",1.971B
"March 31, 2001",1.827B
"Dec. 31, 2000",1.490B
"Sept. 30, 2000",1.254B
"June 30, 2000",1.079B
"March 31, 2000",943.10M
"Dec. 31, 1999",842.15M
"Sept. 30, 1999",806.81M
"June 30, 1999",771.31M
"March 31, 1999",767.41M
"Dec. 31, 1998",808.25M
"Sept. 30, 1998",812.40M
"June 30, 1998",814.20M
"March 31, 1998",802.70M
"Dec. 31, 1997",783.60M
"Sept. 30, 1997",749.90M
"June 30, 1997",727.00M
"March 31, 1997",752.30M
"Dec. 31, 1996",730.60M
"Sept. 30, 1996",682.70M
"June 30, 1996",665.50M
"March 31, 1996",652.40M
"Dec. 31, 1995",648.80M
"Sept. 30, 1995",690.50M
"June 30, 1995",664.90M
"March 31, 1995",623.40M
"Dec. 31, 1994",620.20M
"Sept. 30, 1994",571.40M
"June 30, 1994",585.10M
"March 31, 1994",583.10M
"Dec. 31, 1993",567.70M
"Sept. 30, 1993",560.50M
"June 30, 1993",531.30M
"March 31, 1993",491.30M
"Dec. 31, 1992",453.10M
"Sept. 30, 1992",430.80M
"June 30, 1992",402.90M
"March 31, 1992",390.40M
"Dec. 31, 1991",387.70M
"Sept. 30, 1991",385.90M
"June 30, 1991",380.40M
"March 31, 1991",371.00M
"Dec. 31, 1990",371.40M
"Sept. 30, 1990",338.50M
"June 30, 1990",324.40M
"March 31, 1990",315.80M
"Dec. 31, 1989",289.40M
