date,enterprise_value
"March 19, 2020",22.48B
"March 18, 2020",20.47B
"March 17, 2020",21.13B
"March 16, 2020",21.25B
"March 13, 2020",23.40B
"March 12, 2020",22.06B
"March 11, 2020",25.77B
"March 10, 2020",27.36B
"March 9, 2020",25.03B
"March 6, 2020",35.34B
"March 5, 2020",39.16B
"March 4, 2020",40.45B
"March 3, 2020",39.49B
"March 2, 2020",39.74B
"Feb. 28, 2020",39.97B
"Feb. 27, 2020",38.07B
"Feb. 26, 2020",39.93B
"Feb. 25, 2020",42.14B
"Feb. 24, 2020",43.84B
"Feb. 21, 2020",46.34B
"Feb. 20, 2020",47.38B
"Feb. 19, 2020",48.13B
"Feb. 18, 2020",46.53B
"Feb. 14, 2020",46.75B
"Feb. 13, 2020",47.20B
"Feb. 12, 2020",47.01B
"Feb. 11, 2020",46.67B
"Feb. 10, 2020",46.03B
"Feb. 7, 2020",46.41B
"Feb. 6, 2020",47.30B
"Feb. 5, 2020",47.98B
"Feb. 4, 2020",45.99B
"Feb. 3, 2020",44.68B
"Jan. 31, 2020",45.57B
"Jan. 30, 2020",47.27B
"Jan. 29, 2020",46.87B
"Jan. 28, 2020",47.98B
"Jan. 27, 2020",47.75B
"Jan. 24, 2020",49.61B
"Jan. 23, 2020",50.77B
"Jan. 22, 2020",51.50B
"Jan. 21, 2020",52.05B
"Jan. 17, 2020",52.79B
"Jan. 16, 2020",53.79B
"Jan. 15, 2020",53.62B
"Jan. 14, 2020",53.38B
"Jan. 13, 2020",52.91B
"Jan. 10, 2020",53.35B
"Jan. 9, 2020",54.50B
"Jan. 8, 2020",53.97B
"Jan. 7, 2020",55.11B
"Jan. 6, 2020",54.61B
"Jan. 3, 2020",52.60B
"Jan. 2, 2020",52.11B
"Dec. 31, 2019",51.89B
"Dec. 30, 2019",51.53B
"Dec. 27, 2019",51.96B
"Dec. 26, 2019",52.26B
"Dec. 24, 2019",52.35B
"Dec. 23, 2019",52.10B
"Dec. 20, 2019",51.68B
"Dec. 19, 2019",50.86B
"Dec. 18, 2019",50.48B
"Dec. 17, 2019",49.44B
"Dec. 16, 2019",48.92B
"Dec. 13, 2019",47.51B
"Dec. 12, 2019",48.22B
"Dec. 11, 2019",47.03B
"Dec. 10, 2019",47.13B
"Dec. 9, 2019",46.94B
"Dec. 6, 2019",46.62B
