date,ebitda_margin_ttm
"Dec. 31, 2019",43.69%
"Sept. 30, 2019",45.28%
"June 30, 2019",46.99%
"March 31, 2019",46.36%
"Dec. 31, 2018",46.57%
"Sept. 30, 2018",43.62%
"June 30, 2018",41.04%
"March 31, 2018",39.99%
"Dec. 31, 2017",38.70%
"Sept. 30, 2017",37.84%
"June 30, 2017",36.72%
"March 31, 2017",35.43%
"Dec. 31, 2016",30.93%
"Sept. 30, 2016",-61.24%
"June 30, 2016",-59.34%
"March 31, 2016",-49.38%
"Dec. 31, 2015",-38.66%
"Sept. 30, 2015",42.26%
"June 30, 2015",47.94%
"March 31, 2015",50.06%
"Dec. 31, 2014",52.62%
"Sept. 30, 2014",53.12%
"June 30, 2014",51.58%
"March 31, 2014",51.86%
"Dec. 31, 2013",51.10%
"Sept. 30, 2013",42.71%
"June 30, 2013",42.13%
"March 31, 2013",40.83%
"Dec. 31, 2012",40.74%
"Sept. 30, 2012",46.73%
"June 30, 2012",47.32%
"March 31, 2012",48.38%
"Dec. 31, 2011",47.04%
"Sept. 30, 2011",50.99%
"June 30, 2011",46.26%
"March 31, 2011",41.84%
"Dec. 31, 2010",42.36%
"Sept. 30, 2010",46.24%
"June 30, 2010",49.72%
"March 31, 2010",50.09%
"Dec. 31, 2009",52.69%
"Sept. 30, 2009",55.61%
"June 30, 2009",71.18%
"March 31, 2009",71.57%
"Dec. 31, 2008",71.91%
"Sept. 30, 2008",72.36%
"June 30, 2008",62.67%
"March 31, 2008",67.55%
"Dec. 31, 2007",69.42%
"Sept. 30, 2007",75.02%
"June 30, 2007",76.01%
"March 31, 2007",76.33%
"Dec. 31, 2006",78.87%
"Sept. 30, 2006",77.22%
"June 30, 2006",77.53%
"March 31, 2006",77.85%
"Dec. 31, 2005",76.88%
"Sept. 30, 2005",73.73%
"June 30, 2005",72.61%
"March 31, 2005",71.49%
"Dec. 31, 2004",70.50%
"Sept. 30, 2004",68.39%
"June 30, 2004",68.90%
"March 31, 2004",68.32%
"Dec. 31, 2003",70.52%
"Sept. 30, 2003",64.69%
"June 30, 2003",61.93%
"March 31, 2003",59.63%
"Dec. 31, 2002",50.68%
"Sept. 30, 2002",48.52%
"June 30, 2002",51.27%
"March 31, 2002",57.22%
"Dec. 31, 2001",65.63%
"Sept. 30, 2001",71.59%
"June 30, 2001",73.32%
"March 31, 2001",73.49%
"Dec. 31, 2000",71.10%
"Sept. 30, 2000",54.07%
"June 30, 2000",48.87%
"March 31, 2000",42.59%
"Dec. 31, 1999",36.79%
"Sept. 30, 1999",53.41%
"June 30, 1999",50.51%
"March 31, 1999",52.33%
"Dec. 31, 1998",53.04%
"Sept. 30, 1998",57.57%
"June 30, 1998",62.23%
"March 31, 1998",59.45%
"Dec. 31, 1997",60.09%
"Sept. 30, 1997",59.90%
"June 30, 1997",56.73%
"March 31, 1997",62.33%
"Dec. 31, 1996",62.98%
"Sept. 30, 1996",63.42%
"June 30, 1996",63.34%
"March 31, 1996",61.34%
"Dec. 31, 1995",63.46%
"Sept. 30, 1995",65.03%
"June 30, 1995",64.39%
"March 31, 1995",63.25%
"Dec. 31, 1994",63.88%
"Sept. 30, 1994",59.61%
"June 30, 1994",61.24%
"March 31, 1994",61.79%
"Dec. 31, 1993",61.97%
"Sept. 30, 1993",64.92%
"June 30, 1993",64.50%
"March 31, 1993",62.73%
"Dec. 31, 1992",61.71%
"Sept. 30, 1992",61.03%
"June 30, 1992",57.66%
"March 31, 1992",58.45%
"Dec. 31, 1991",57.96%
"Sept. 30, 1991",56.47%
"June 30, 1991",55.20%
"March 31, 1991",53.61%
"Dec. 31, 1990",53.23%
"Sept. 30, 1990",-20.74%
"June 30, 1990",-11.44%
"March 31, 1990",-2.44%
"Dec. 31, 1989",2.14%
