date,liabilities
"Dec. 31, 2019",15.48B
"Sept. 30, 2019",15.42B
"June 30, 2019",15.12B
"March 31, 2019",15.76B
"Dec. 31, 2018",14.57B
"Sept. 30, 2018",15.10B
"June 30, 2018",14.64B
"March 31, 2018",13.90B
"Dec. 31, 2017",13.55B
"Sept. 30, 2017",14.88B
"June 30, 2017",15.36B
"March 31, 2017",15.28B
"Dec. 31, 2016",15.32B
"Sept. 30, 2016",13.76B
"June 30, 2016",13.77B
"March 31, 2016",13.93B
"Dec. 31, 2015",14.03B
"Sept. 30, 2015",13.99B
"June 30, 2015",16.46B
"March 31, 2015",17.22B
"Dec. 31, 2014",17.05B
"Sept. 30, 2014",16.78B
"June 30, 2014",16.59B
"March 31, 2014",16.11B
"Dec. 31, 2013",15.16B
"Sept. 30, 2013",15.29B
"June 30, 2013",14.69B
"March 31, 2013",14.48B
"Dec. 31, 2012",14.05B
"Sept. 30, 2012",14.24B
"June 30, 2012",12.64B
"March 31, 2012",12.56B
"Dec. 31, 2011",12.20B
"Sept. 30, 2011",12.30B
"June 30, 2011",11.88B
"March 31, 2011",11.76B
"Dec. 31, 2010",11.39B
"Sept. 30, 2010",9.827B
"June 30, 2010",9.335B
"March 31, 2010",8.344B
"Dec. 31, 2009",8.121B
"Sept. 30, 2009",7.704B
"June 30, 2009",7.533B
"March 31, 2009",6.868B
"Dec. 31, 2008",6.937B
"Sept. 30, 2008",6.913B
"June 30, 2008",6.799B
"March 31, 2008",5.760B
"Dec. 31, 2007",5.099B
"Sept. 30, 2007",4.841B
"June 30, 2007",4.232B
"March 31, 2007",3.981B
"Dec. 31, 2006",3.802B
"Sept. 30, 2006",3.691B
"June 30, 2006",3.494B
"March 31, 2006",3.500B
"Dec. 31, 2005",3.437B
"Sept. 30, 2005",3.175B
"June 30, 2005",3.028B
"March 31, 2005",2.963B
"Dec. 31, 2004",2.853B
"Sept. 30, 2004",2.699B
"June 30, 2004",2.649B
"March 31, 2004",2.639B
"Dec. 31, 2003",2.526B
"Sept. 30, 2003",2.326B
"June 30, 2003",2.259B
"March 31, 2003",2.248B
"Dec. 31, 2002",2.142B
"Sept. 30, 2002",2.027B
"June 30, 2002",1.904B
"March 31, 2002",1.854B
"Dec. 31, 2001",1.771B
"Sept. 30, 2001",1.697B
"June 30, 2001",1.552B
"March 31, 2001",1.480B
"Dec. 31, 2000",1.620B
"Sept. 30, 2000",1.624B
"June 30, 2000",1.489B
"March 31, 2000",1.482B
"Dec. 31, 1999",1.481B
"Sept. 30, 1999",1.646B
"June 30, 1999",1.652B
"March 31, 1999",1.706B
"Dec. 31, 1998",1.738B
"Sept. 30, 1998",1.686B
"June 30, 1998",1.463B
"March 31, 1998",1.439B
"Dec. 31, 1997",1.442B
"Sept. 30, 1997",1.336B
"June 30, 1997",1.281B
"March 31, 1997",1.220B
"Dec. 31, 1996",1.193B
"Sept. 30, 1996",988.10M
"June 30, 1996",975.90M
"March 31, 1996",980.70M
"Dec. 31, 1995",983.60M
"Sept. 30, 1995",950.70M
"June 30, 1995",916.10M
"March 31, 1995",905.30M
"Dec. 31, 1994",818.50M
"Sept. 30, 1994",836.10M
"June 30, 1994",822.60M
"March 31, 1994",819.70M
"Dec. 31, 1993",878.10M
"Sept. 30, 1993",860.80M
"June 30, 1993",824.10M
"March 31, 1993",828.00M
"Dec. 31, 1992",897.00M
"Sept. 30, 1992",858.10M
"June 30, 1992",790.20M
"March 31, 1992",771.90M
"Dec. 31, 1991",805.40M
"Sept. 30, 1991",780.40M
"June 30, 1991",764.30M
"March 31, 1991",809.50M
"Dec. 31, 1990",807.90M
"Sept. 30, 1990",811.30M
"June 30, 1990",805.10M
"March 31, 1990",781.60M
"Dec. 31, 1989",783.50M
