date,historical_daily_var_1_all
"Feb. 29, 2020",6.03%
"Jan. 31, 2020",6.03%
"Dec. 31, 2019",6.03%
"Nov. 30, 2019",6.03%
"Oct. 31, 2019",6.03%
"Sept. 30, 2019",6.04%
"Aug. 31, 2019",6.04%
"July 31, 2019",6.04%
"June 30, 2019",6.04%
"May 31, 2019",6.04%
"April 30, 2019",6.04%
"March 31, 2019",6.04%
"Feb. 28, 2019",6.04%
"Jan. 31, 2019",6.04%
"Dec. 31, 2018",6.04%
"Nov. 30, 2018",6.04%
"Oct. 31, 2018",6.04%
"Sept. 30, 2018",6.05%
"Aug. 31, 2018",6.05%
"July 31, 2018",6.04%
"June 30, 2018",6.04%
"May 31, 2018",6.05%
"April 30, 2018",6.05%
"March 31, 2018",6.05%
"Feb. 28, 2018",6.06%
"Jan. 31, 2018",6.07%
"Dec. 31, 2017",6.08%
"Nov. 30, 2017",6.10%
"Oct. 31, 2017",6.12%
"Sept. 30, 2017",6.13%
"Aug. 31, 2017",6.14%
"July 31, 2017",6.14%
"June 30, 2017",6.14%
"May 31, 2017",6.14%
"April 30, 2017",6.14%
"March 31, 2017",6.14%
"Feb. 28, 2017",6.14%
"Jan. 31, 2017",6.14%
"Dec. 31, 2016",6.14%
"Nov. 30, 2016",6.15%
"Oct. 31, 2016",6.15%
"Sept. 30, 2016",6.15%
"Aug. 31, 2016",6.16%
"July 31, 2016",6.16%
"June 30, 2016",6.18%
"May 31, 2016",6.20%
"April 30, 2016",6.22%
"March 31, 2016",6.24%
"Feb. 29, 2016",6.17%
"Jan. 31, 2016",6.19%
"Dec. 31, 2015",6.15%
"Nov. 30, 2015",6.16%
"Oct. 31, 2015",6.16%
"Sept. 30, 2015",6.18%
"Aug. 31, 2015",6.20%
"July 31, 2015",6.15%
"June 30, 2015",6.16%
"May 31, 2015",6.17%
"April 30, 2015",6.19%
"March 31, 2015",6.21%
"Feb. 28, 2015",6.23%
"Jan. 31, 2015",6.24%
"Dec. 31, 2014",6.25%
"Nov. 30, 2014",6.25%
"Oct. 31, 2014",6.21%
"Sept. 30, 2014",6.16%
"Aug. 31, 2014",6.16%
"July 31, 2014",6.18%
"June 30, 2014",6.20%
"May 31, 2014",6.22%
"April 30, 2014",6.24%
"March 31, 2014",6.25%
"Feb. 28, 2014",6.25%
"Jan. 31, 2014",6.26%
"Dec. 31, 2013",6.26%
"Nov. 30, 2013",6.26%
"Oct. 31, 2013",6.27%
"Sept. 30, 2013",6.27%
"Aug. 31, 2013",6.28%
"July 31, 2013",6.28%
"June 30, 2013",6.29%
"May 31, 2013",6.30%
"April 30, 2013",6.31%
"March 31, 2013",6.28%
"Feb. 28, 2013",6.29%
"Jan. 31, 2013",6.29%
"Dec. 31, 2012",6.30%
"Nov. 30, 2012",6.31%
"Oct. 31, 2012",6.32%
"Sept. 30, 2012",6.32%
"Aug. 31, 2012",6.32%
"July 31, 2012",6.33%
"June 30, 2012",6.33%
"May 31, 2012",6.29%
"April 30, 2012",6.29%
"March 31, 2012",6.30%
"Feb. 29, 2012",6.31%
"Jan. 31, 2012",6.31%
"Dec. 31, 2011",6.32%
"Nov. 30, 2011",6.32%
"Oct. 31, 2011",6.32%
"Sept. 30, 2011",6.33%
"Aug. 31, 2011",6.32%
"July 31, 2011",6.26%
"June 30, 2011",6.27%
"May 31, 2011",6.28%
"April 30, 2011",6.28%
"March 31, 2011",6.29%
"Feb. 28, 2011",6.29%
"Jan. 31, 2011",6.30%
"Dec. 31, 2010",6.31%
"Nov. 30, 2010",6.32%
"Oct. 31, 2010",6.29%
"Sept. 30, 2010",6.30%
"Aug. 31, 2010",6.30%
"July 31, 2010",6.31%
"June 30, 2010",6.32%
"May 31, 2010",6.32%
"April 30, 2010",6.32%
"March 31, 2010",6.33%
"Feb. 28, 2010",6.33%
"Jan. 31, 2010",6.32%
"Dec. 31, 2009",6.32%
"Nov. 30, 2009",6.32%
"Oct. 31, 2009",6.33%
"Sept. 30, 2009",6.33%
"Aug. 31, 2009",6.33%
"July 31, 2009",6.34%
"June 30, 2009",6.34%
"May 31, 2009",6.34%
"April 30, 2009",6.35%
"March 31, 2009",6.33%
"Feb. 28, 2009",6.32%
"Jan. 31, 2009",6.28%
"Dec. 31, 2008",6.28%
"Nov. 30, 2008",6.16%
"Oct. 31, 2008",6.04%
"Sept. 30, 2008",5.74%
"Aug. 31, 2008",5.59%
"July 31, 2008",5.56%
"June 30, 2008",5.53%
"May 31, 2008",5.54%
"April 30, 2008",5.55%
"March 31, 2008",5.56%
"Feb. 29, 2008",5.53%
"Jan. 31, 2008",5.53%
"Dec. 31, 2007",5.54%
"Nov. 30, 2007",5.55%
"Oct. 31, 2007",5.56%
"Sept. 30, 2007",5.57%
"Aug. 31, 2007",5.58%
"July 31, 2007",5.58%
"June 30, 2007",5.59%
"May 31, 2007",5.59%
"April 30, 2007",5.60%
"March 31, 2007",5.61%
"Feb. 28, 2007",5.62%
"Jan. 31, 2007",5.62%
"Dec. 31, 2006",5.63%
"Nov. 30, 2006",5.65%
"Oct. 31, 2006",5.67%
"Sept. 30, 2006",5.69%
"Aug. 31, 2006",5.70%
"July 31, 2006",5.72%
"June 30, 2006",5.72%
"May 31, 2006",5.67%
"April 30, 2006",5.62%
"March 31, 2006",5.63%
"Feb. 28, 2006",5.65%
"Jan. 31, 2006",5.59%
"Dec. 31, 2005",5.61%
"Nov. 30, 2005",5.62%
"Oct. 31, 2005",5.63%
"Sept. 30, 2005",5.52%
"Aug. 31, 2005",5.52%
"July 31, 2005",5.53%
"June 30, 2005",5.53%
"May 31, 2005",5.53%
"April 30, 2005",5.52%
"March 31, 2005",5.53%
"Feb. 28, 2005",5.53%
"Jan. 31, 2005",5.53%
"Dec. 31, 2004",5.52%
"Nov. 30, 2004",5.52%
"Oct. 31, 2004",5.53%
"Sept. 30, 2004",5.53%
"Aug. 31, 2004",5.53%
"July 31, 2004",5.54%
"June 30, 2004",5.55%
"May 31, 2004",5.56%
"April 30, 2004",5.57%
"March 31, 2004",5.60%
"Feb. 29, 2004",5.63%
"Jan. 31, 2004",5.66%
"Dec. 31, 2003",5.69%
"Nov. 30, 2003",5.72%
"Oct. 31, 2003",5.72%
"Sept. 30, 2003",5.72%
"Aug. 31, 2003",5.73%
"July 31, 2003",5.73%
"June 30, 2003",5.74%
"May 31, 2003",5.74%
"April 30, 2003",5.74%
"March 31, 2003",5.74%
"Feb. 28, 2003",5.75%
"Jan. 31, 2003",5.75%
"Dec. 31, 2002",5.76%
"Nov. 30, 2002",5.76%
"Oct. 31, 2002",5.77%
"Sept. 30, 2002",5.79%
"Aug. 31, 2002",5.84%
"July 31, 2002",5.88%
"June 30, 2002",5.77%
"May 31, 2002",5.77%
"April 30, 2002",5.81%
"March 31, 2002",5.86%
"Feb. 28, 2002",5.90%
"Jan. 31, 2002",5.94%
"Dec. 31, 2001",5.97%
"Nov. 30, 2001",5.99%
"Oct. 31, 2001",5.87%
"Sept. 30, 2001",5.77%
"Aug. 31, 2001",5.75%
"July 31, 2001",5.75%
"June 30, 2001",5.76%
"May 31, 2001",5.74%
"April 30, 2001",5.73%
"March 31, 2001",5.73%
"Feb. 28, 2001",5.72%
"Jan. 31, 2001",5.72%
"Dec. 31, 2000",5.48%
"Nov. 30, 2000",5.50%
"Oct. 31, 2000",5.53%
"Sept. 30, 2000",5.43%
