date,return_on_equity
"Dec. 31, 2019",13.32%
"Sept. 30, 2019",15.02%
"June 30, 2019",18.60%
"March 31, 2019",18.54%
"Dec. 31, 2018",19.32%
"Sept. 30, 2018",29.85%
"June 30, 2018",24.66%
"March 31, 2018",21.32%
"Dec. 31, 2017",17.93%
"Sept. 30, 2017",0.07%
"June 30, 2017",-2.14%
"March 31, 2017",-4.65%
"Dec. 31, 2016",-8.68%
"Sept. 30, 2016",-9.91%
"June 30, 2016",-37.61%
"March 31, 2016",-32.82%
"Dec. 31, 2015",-28.70%
"Sept. 30, 2015",-22.70%
"June 30, 2015",7.95%
"March 31, 2015",12.17%
"Dec. 31, 2014",17.44%
"Sept. 30, 2014",18.89%
"June 30, 2014",15.57%
"March 31, 2014",15.87%
"Dec. 31, 2013",15.32%
"Sept. 30, 2013",7.93%
"June 30, 2013",7.33%
"March 31, 2013",5.51%
"Dec. 31, 2012",4.32%
"Sept. 30, 2012",9.16%
"June 30, 2012",10.87%
"March 31, 2012",10.33%
"Dec. 31, 2011",9.21%
"Sept. 30, 2011",9.03%
"June 30, 2011",3.79%
"March 31, 2011",1.68%
"Dec. 31, 2010",1.59%
"Sept. 30, 2010",5.08%
"June 30, 2010",5.94%
"March 31, 2010",5.26%
"Dec. 31, 2009",5.83%
"Sept. 30, 2009",6.63%
"June 30, 2009",24.69%
"March 31, 2009",28.26%
"Dec. 31, 2008",30.82%
"Sept. 30, 2008",31.49%
"June 30, 2008",14.30%
"March 31, 2008",16.97%
"Dec. 31, 2007",17.50%
"Sept. 30, 2007",16.44%
"June 30, 2007",19.04%
"March 31, 2007",20.65%
"Dec. 31, 2006",26.17%
"Sept. 30, 2006",33.01%
"June 30, 2006",37.34%
"March 31, 2006",39.11%
"Dec. 31, 2005",36.68%
"Sept. 30, 2005",32.28%
"June 30, 2005",29.46%
"March 31, 2005",28.00%
"Dec. 31, 2004",26.05%
"Sept. 30, 2004",22.19%
"June 30, 2004",21.13%
"March 31, 2004",20.69%
"Dec. 31, 2003",23.74%
"Sept. 30, 2003",23.52%
"June 30, 2003",19.26%
"March 31, 2003",15.57%
"Dec. 31, 2002",5.77%
"Sept. 30, 2002",1.19%
"June 30, 2002",4.03%
"March 31, 2002",10.74%
"Dec. 31, 2001",27.81%
"Sept. 30, 2001",43.17%
"June 30, 2001",50.37%
"March 31, 2001",49.86%
"Dec. 31, 2000",37.30%
"Sept. 30, 2000",26.40%
"June 30, 2000",63.12%
"March 31, 2000",54.89%
"Dec. 31, 1999",48.98%
"Sept. 30, 1999",44.95%
"June 30, 1999",3.22%
"March 31, 1999",2.66%
"Dec. 31, 1998",4.36%
"Sept. 30, 1998",6.95%
"June 30, 1998",8.95%
"March 31, 1998",9.90%
"Dec. 31, 1997",9.65%
"Sept. 30, 1997",9.07%
"June 30, 1997",9.18%
"March 31, 1997",11.17%
"Dec. 31, 1996",11.56%
"Sept. 30, 1996",11.49%
"June 30, 1996",11.88%
"March 31, 1996",12.23%
"Dec. 31, 1995",12.86%
"Sept. 30, 1995",14.24%
"June 30, 1995",15.44%
"March 31, 1995",14.56%
"Dec. 31, 1994",15.02%
"Sept. 30, 1994",15.05%
"June 30, 1994",14.96%
"March 31, 1994",15.31%
"Dec. 31, 1993",15.71%
"Sept. 30, 1993",16.39%
"June 30, 1993",15.41%
"March 31, 1993",13.78%
"Dec. 31, 1992",13.46%
"Sept. 30, 1992",11.65%
"June 30, 1992",11.07%
"March 31, 1992",10.14%
"Dec. 31, 1991",8.67%
"Sept. 30, 1991",8.49%
"June 30, 1991",7.84%
"March 31, 1991",7.72%
"Dec. 31, 1990",7.70%
"Sept. 30, 1990",4.67%
"June 30, 1990",2.67%
