date,sales_est_0q
"March 16, 2020",4.241B
"March 13, 2020",4.392B
"March 10, 2020",4.392B
"March 9, 2020",4.285B
"March 3, 2020",4.396B
"March 2, 2020",4.395B
"Feb. 28, 2020",4.334B
"Feb. 14, 2020",4.340B
"Feb. 3, 2020",4.339B
"Jan. 27, 2020",4.342B
"Jan. 24, 2020",4.348B
"Jan. 23, 2020",4.353B
"Jan. 22, 2020",4.377B
"Jan. 21, 2020",4.377B
"Jan. 14, 2020",4.380B
"Jan. 13, 2020",4.332B
"Jan. 10, 2020",4.309B
"Dec. 31, 2019",4.444B
"Dec. 16, 2019",4.341B
"Dec. 5, 2019",4.335B
"Nov. 21, 2019",4.335B
"Nov. 16, 2019",4.319B
"Nov. 15, 2019",4.324B
"Nov. 13, 2019",4.325B
"Nov. 12, 2019",4.334B
"Nov. 11, 2019",4.313B
"Nov. 9, 2019",4.304B
"Nov. 8, 2019",4.344B
"Nov. 7, 2019",4.313B
"Oct. 22, 2019",4.495B
"Oct. 21, 2019",4.521B
"Oct. 20, 2019",4.547B
"Oct. 19, 2019",4.548B
"Oct. 17, 2019",4.546B
"Oct. 16, 2019",4.540B
"Oct. 15, 2019",4.544B
"Oct. 11, 2019",4.568B
"Oct. 10, 2019",4.574B
"Sept. 30, 2019",4.388B
"Sept. 16, 2019",4.412B
"Aug. 30, 2019",4.413B
"Aug. 28, 2019",4.429B
"Aug. 22, 2019",4.449B
"Aug. 16, 2019",4.473B
"Aug. 15, 2019",4.472B
"Aug. 13, 2019",4.470B
"Aug. 5, 2019",4.467B
"Aug. 3, 2019",4.467B
"Aug. 2, 2019",4.453B
"July 23, 2019",4.415B
"July 22, 2019",4.441B
"July 19, 2019",4.474B
"July 18, 2019",4.457B
"July 17, 2019",4.456B
"July 16, 2019",4.473B
"July 15, 2019",4.477B
"July 12, 2019",4.506B
"July 8, 2019",4.506B
"June 30, 2019",4.413B
"June 28, 2019",4.455B
"June 27, 2019",4.458B
"June 20, 2019",4.458B
"June 14, 2019",4.464B
"May 28, 2019",4.461B
"May 16, 2019",4.469B
"May 15, 2019",4.460B
"May 14, 2019",4.464B
"May 13, 2019",4.469B
"May 6, 2019",4.494B
"May 3, 2019",4.538B
"May 2, 2019",4.466B
"April 29, 2019",4.442B
"April 26, 2019",4.438B
"April 24, 2019",4.314B
"April 22, 2019",4.284B
"April 18, 2019",4.295B
"April 17, 2019",4.252B
"April 16, 2019",4.237B
"April 12, 2019",4.199B
"April 11, 2019",4.283B
"March 31, 2019",3.961B
"March 26, 2019",4.063B
"March 22, 2019",4.049B
"March 19, 2019",4.011B
"March 18, 2019",3.982B
"March 5, 2019",3.976B
"March 4, 2019",4.010B
"March 1, 2019",4.015B
"Feb. 28, 2019",4.004B
"Feb. 27, 2019",4.019B
"Feb. 11, 2019",4.112B
"Feb. 6, 2019",4.135B
"Jan. 31, 2019",4.112B
"Jan. 28, 2019",4.075B
"Jan. 25, 2019",4.069B
"Jan. 23, 2019",4.184B
"Jan. 17, 2019",4.205B
"Jan. 16, 2019",4.257B
"Jan. 9, 2019",4.362B
"Jan. 7, 2019",4.513B
"Dec. 31, 2018",4.444B
"Dec. 17, 2018",4.587B
"Dec. 11, 2018",4.588B
"Dec. 7, 2018",4.425B
"Dec. 4, 2018",4.433B
"Nov. 27, 2018",4.409B
"Nov. 26, 2018",4.601B
"Nov. 16, 2018",4.643B
"Nov. 13, 2018",4.787B
"Nov. 12, 2018",4.807B
"Nov. 9, 2018",4.807B
"Nov. 5, 2018",4.834B
"Nov. 2, 2018",4.841B
"Nov. 1, 2018",4.425B
"Oct. 26, 2018",4.444B
"Oct. 25, 2018",4.517B
"Oct. 23, 2018",4.751B
"Oct. 22, 2018",4.818B
"Oct. 15, 2018",4.778B
"Oct. 13, 2018",4.764B
"Oct. 9, 2018",4.795B
"Oct. 8, 2018",4.785B
"Sept. 30, 2018",4.155B
"Sept. 6, 2018",4.598B
"Aug. 30, 2018",4.612B
"Aug. 28, 2018",4.625B
"Aug. 20, 2018",4.625B
"Aug. 13, 2018",4.605B
"Aug. 8, 2018",4.603B
"Aug. 7, 2018",4.578B
"Aug. 6, 2018",4.659B
"Aug. 4, 2018",4.635B
"Aug. 3, 2018",4.659B
"Aug. 2, 2018",4.308B
"July 25, 2018",4.308B
"July 23, 2018",4.280B
"July 20, 2018",4.295B
"July 19, 2018",4.210B
"July 18, 2018",4.203B
"July 17, 2018",4.203B
"July 16, 2018",4.239B
"July 9, 2018",4.217B
"July 2, 2018",4.203B
"June 30, 2018",3.951B
"June 29, 2018",3.457B
"June 11, 2018",3.463B
"May 28, 2018",3.558B
"May 25, 2018",3.689B
"May 24, 2018",3.712B
"May 21, 2018",3.704B
"May 19, 2018",3.715B
"May 17, 2018",3.684B
"May 9, 2018",3.660B
"May 8, 2018",3.645B
"May 7, 2018",3.795B
"May 4, 2018",3.830B
"May 1, 2018",3.653B
"April 26, 2018",3.635B
"April 24, 2018",3.643B
"April 18, 2018",3.639B
"April 17, 2018",3.560B
"April 11, 2018",3.559B
"March 31, 2018",3.508B
"March 28, 2018",3.409B
"March 12, 2018",3.405B
"March 7, 2018",3.405B
"March 5, 2018",3.369B
"March 1, 2018",3.352B
"Feb. 28, 2018",3.325B
"Feb. 12, 2018",3.293B
"Feb. 11, 2018",3.293B
"Jan. 30, 2018",3.288B
"Jan. 24, 2018",3.263B
"Jan. 23, 2018",3.199B
"Jan. 22, 2018",3.124B
"Jan. 18, 2018",3.028B
"Jan. 17, 2018",3.028B
"Jan. 11, 2018",3.028B
"Jan. 8, 2018",2.976B
