date,revenues_per_share
"Dec. 31, 2019",7.187
"Sept. 30, 2019",7.352
"June 30, 2019",8.038
"March 31, 2019",6.927
"Dec. 31, 2018",7.756
"Sept. 30, 2018",7.961
"June 30, 2018",7.263
"March 31, 2018",6.321
"Dec. 31, 2017",5.849
"Sept. 30, 2017",4.544
"June 30, 2017",4.502
"March 31, 2017",4.498
"Dec. 31, 2016",3.968
"Sept. 30, 2016",3.638
"June 30, 2016",3.231
"March 31, 2016",2.440
"Dec. 31, 2015",3.279
"Sept. 30, 2015",3.956
"June 30, 2015",4.476
"March 31, 2015",4.232
"Dec. 31, 2014",7.650
"Sept. 30, 2014",9.171
"June 30, 2014",7.608
"March 31, 2014",7.407
"Dec. 31, 2013",6.803
"Sept. 30, 2013",6.436
"June 30, 2013",6.976
"March 31, 2013",5.840
"Dec. 31, 2012",5.619
"Sept. 30, 2012",5.311
"June 30, 2012",5.158
"March 31, 2012",5.048
"Dec. 31, 2011",5.063
"Sept. 30, 2011",4.694
"June 30, 2011",4.420
"March 31, 2011",3.665
"Dec. 31, 2010",3.028
"Sept. 30, 2010",3.151
"June 30, 2010",2.668
"March 31, 2010",2.700
"Dec. 31, 2009",3.471
"Sept. 30, 2009",1.994
"June 30, 2009",1.734
"March 31, 2009",2.314
"Dec. 31, 2008",3.269
"Sept. 30, 2008",6.504
"June 30, 2008",2.181
"March 31, 2008",2.270
"Dec. 31, 2007",2.476
"Sept. 30, 2007",1.905
"June 30, 2007",2.041
"March 31, 2007",1.847
"Dec. 31, 2006",1.224
"Sept. 30, 2006",1.968
"June 30, 2006",1.869
"March 31, 2006",2.205
"Dec. 31, 2005",2.447
"Sept. 30, 2005",1.908
"June 30, 2005",1.610
"March 31, 2005",1.421
"Dec. 31, 2004",1.430
"Sept. 30, 2004",1.241
"June 30, 2004",1.093
"March 31, 2004",0.9869
"Dec. 31, 2003",0.9316
"Sept. 30, 2003",0.9296
"June 30, 2003",0.9144
"March 31, 2003",0.9989
"Dec. 31, 2002",0.8226
"Sept. 30, 2002",0.5976
"June 30, 2002",0.6171
"March 31, 2002",0.4037
"Dec. 31, 2001",0.514
"Sept. 30, 2001",0.7559
"June 30, 2001",0.987
"March 31, 2001",1.255
"Dec. 31, 2000",1.004
"Sept. 30, 2000",0.8603
"June 30, 2000",0.677
"March 31, 2000",0.5493
"Dec. 31, 1999",0.5601
"Sept. 30, 1999",0.4101
"June 30, 1999",0.2953
"March 31, 1999",0.2338
"Dec. 31, 1998",0.3741
"Sept. 30, 1998",0.3242
"June 30, 1998",0.3101
"March 31, 1998",0.3145
"Dec. 31, 1997",0.3696
"Sept. 30, 1997",0.3095
"June 30, 1997",0.2794
"March 31, 1997",0.2738
"Dec. 31, 1996",0.3116
"Sept. 30, 1996",0.2575
"June 30, 1996",0.3002
"March 31, 1996",0.2456
"Dec. 31, 1995",0.2437
"Sept. 30, 1995",0.2434
"June 30, 1995",0.2869
"March 31, 1995",0.2494
"Dec. 31, 1994",0.309
"Sept. 30, 1994",0.202
"June 30, 1994",0.2188
"March 31, 1994",0.2386
"Dec. 31, 1993",0.2222
"Sept. 30, 1993",0.2266
"June 30, 1993",0.2202
"March 31, 1993",0.2152
"Dec. 31, 1992",0.2143
"Sept. 30, 1992",0.1901
"June 30, 1992",0.1721
"March 31, 1992",0.1658
"Dec. 31, 1991",0.181
"Sept. 30, 1991",0.141
"June 30, 1991",0.1507
"March 31, 1991",0.1612
"Dec. 31, 1990",0.1841
"Sept. 30, 1990",0.1385
"June 30, 1990",0.1404
"March 31, 1990",0.172
"Dec. 31, 1989",0.1402
"Sept. 30, 1989",0.1082
"June 30, 1989",0.1176
"March 31, 1989",0.1174
